
[00:00:00.000 --> 00:00:03.320]   We wanted to play, because we're trying to get that room for a good sport.
[00:11:12.640 --> 00:11:42.620]   Thank you.
[00:11:42.620 --> 00:12:12.600]   Thank you.
[00:12:12.600 --> 00:12:42.580]   Thank you.
[00:12:42.580 --> 00:13:12.560]   Thank you.
[00:13:12.560 --> 00:13:42.540]   Thank you.
[00:13:42.540 --> 00:14:12.520]   Thank you.
[00:14:12.520 --> 00:14:42.500]   Thank you.
[00:14:42.500 --> 00:15:12.480]   Thank you.
[00:15:12.480 --> 00:15:42.460]   Thank you.
[00:15:42.460 --> 00:16:12.440]   Thank you.
[00:16:12.440 --> 00:16:42.420]   Thank you.
[00:16:42.420 --> 00:17:12.400]   Thank you.
[00:17:12.400 --> 00:17:42.380]   Thank you.
[00:17:42.380 --> 00:18:12.360]   Thank you.
[00:18:12.360 --> 00:18:42.340]   Thank you.
[00:18:42.340 --> 00:19:12.320]   Thank you.
[00:19:12.320 --> 00:19:42.300]   Thank you.
[00:19:42.300 --> 00:20:12.280]   Thank you.
[00:20:12.280 --> 00:20:42.260]   Thank you.
[00:20:42.260 --> 00:21:12.240]   Thank you.
[00:21:12.240 --> 00:21:42.220]   Thank you.
[00:21:42.220 --> 00:22:12.200]   Thank you.
[00:22:12.200 --> 00:22:42.180]   Thank you.
[00:22:42.180 --> 00:23:12.160]   Thank you.
[00:23:12.160 --> 00:23:42.140]   Thank you.
[00:23:42.140 --> 00:24:12.120]   Thank you.
[00:24:12.120 --> 00:24:42.100]   Thank you.
[00:24:42.100 --> 00:25:12.080]   Thank you.
[00:25:12.080 --> 00:25:42.060]   Thank you.
[00:25:42.060 --> 00:26:12.040]   Thank you.
[00:26:12.040 --> 00:26:42.020]   Thank you.
[00:26:42.020 --> 00:27:12.000]   Thank you.
[00:27:12.000 --> 00:27:41.980]   Thank you.
[00:27:41.980 --> 00:28:11.960]   Thank you.
[00:28:11.960 --> 00:28:41.940]   Thank you.
[00:28:41.940 --> 00:29:11.920]   Thank you.
[00:29:11.920 --> 00:29:41.900]   Thank you.
[00:29:41.900 --> 00:30:11.880]   Thank you.
[00:30:11.880 --> 00:30:41.860]   Thank you.
[00:30:41.860 --> 00:31:11.840]   Thank you.
[00:31:11.840 --> 00:31:41.820]   Thank you.
[00:31:41.820 --> 00:32:11.800]   Thank you.
[00:32:11.800 --> 00:32:41.780]   Thank you.
[00:32:41.780 --> 00:33:11.760]   Thank you.
[00:33:11.760 --> 00:33:41.740]   Thank you.
[00:33:41.740 --> 00:34:11.720]   Thank you.
[00:34:11.720 --> 00:34:41.700]   Thank you.
[00:34:41.700 --> 00:35:11.680]   Thank you.
[00:35:11.680 --> 00:35:41.660]   Thank you.
[00:35:41.660 --> 00:36:11.640]   Thank you.
[00:36:11.640 --> 00:36:41.620]   Thank you.
[00:36:41.620 --> 00:37:11.600]   Thank you.
[00:37:11.600 --> 00:37:41.580]   Thank you.
[00:37:41.580 --> 00:38:11.560]   Thank you.
[00:38:11.560 --> 00:38:41.540]   Thank you.
[00:38:41.540 --> 00:39:11.520]   Thank you.
[00:39:11.520 --> 00:39:41.500]   Thank you.
[00:39:41.500 --> 00:40:11.480]   Thank you.
[00:40:11.480 --> 00:40:41.460]   Thank you.
[00:40:41.460 --> 00:41:11.440]   Thank you.
[00:41:11.440 --> 00:41:41.420]   Thank you.
[00:41:41.420 --> 00:42:11.400]   Thank you.
[00:42:11.400 --> 00:42:41.380]   Thank you.
[00:42:41.380 --> 00:43:11.360]   Thank you.
[00:43:11.360 --> 00:43:41.340]   Thank you.
[00:43:41.340 --> 00:44:11.320]   Thank you.
[00:44:11.320 --> 00:44:41.300]   Thank you.
[00:44:41.300 --> 00:45:11.280]   Thank you.
[00:45:11.280 --> 00:45:41.260]   Thank you.
[00:45:41.260 --> 00:46:11.240]   Thank you.
[00:46:11.240 --> 00:46:41.220]   Thank you.
[00:46:41.220 --> 00:47:11.200]   Thank you.
[00:47:11.200 --> 00:47:41.180]   Thank you.
[00:47:41.180 --> 00:48:11.160]   Thank you.
[00:48:11.160 --> 00:48:41.140]   Thank you.
[00:48:41.140 --> 00:49:11.120]   Thank you.
[00:49:11.120 --> 00:49:41.100]   Thank you.
[00:49:41.100 --> 00:50:11.080]   Thank you.
[00:50:11.080 --> 00:50:41.060]   Thank you.
[00:50:41.060 --> 00:51:11.040]   Thank you.
[00:51:11.040 --> 00:51:41.020]   Thank you.
[00:51:41.020 --> 00:52:11.000]   Thank you.
[00:52:11.000 --> 00:52:40.980]   Thank you.
[00:52:40.980 --> 00:53:10.960]   Thank you.
[00:53:10.960 --> 00:53:40.940]   Thank you.
[00:53:40.940 --> 00:54:10.920]   Thank you.
[00:54:10.920 --> 00:54:40.900]   Thank you.
[00:54:40.900 --> 00:55:10.880]   Thank you.
[00:55:10.880 --> 00:55:40.860]   Thank you.
[00:55:40.860 --> 00:56:10.840]   Thank you.
[00:56:10.840 --> 00:56:40.820]   Thank you.
[00:56:40.820 --> 00:57:10.800]   Thank you.
[00:57:10.800 --> 00:57:40.780]   Thank you.
[00:57:40.780 --> 00:58:10.760]   Thank you.
[00:58:10.760 --> 00:58:40.740]   Thank you.
[00:58:40.740 --> 00:59:10.720]   Thank you.
[00:59:10.720 --> 00:59:40.700]   Thank you.
[00:59:40.700 --> 01:00:10.680]   Thank you.
[01:00:10.680 --> 01:00:40.660]   Thank you.
[01:00:40.660 --> 01:01:10.640]   Thank you.
[01:01:10.640 --> 01:01:40.620]   Thank you.
[01:01:40.620 --> 01:02:10.600]   Thank you.
[01:02:10.600 --> 01:02:40.580]   Thank you.
[01:02:40.580 --> 01:03:10.560]   Thank you.
[01:03:10.560 --> 01:03:40.540]   Thank you.
[01:03:40.540 --> 01:04:10.520]   Thank you.
[01:04:10.520 --> 01:04:40.500]   Thank you.
[01:04:40.500 --> 01:05:10.480]   Thank you.
[01:05:10.480 --> 01:05:40.460]   Thank you.
[01:05:40.460 --> 01:06:10.440]   Thank you.
[01:06:10.440 --> 01:06:40.420]   Thank you.
[01:06:40.420 --> 01:07:10.400]   Thank you.
[01:07:10.400 --> 01:07:40.380]   Thank you.
[01:07:40.380 --> 01:08:10.360]   Thank you.
[01:08:10.360 --> 01:08:40.340]   Thank you.
[01:08:40.340 --> 01:09:10.320]   Thank you.
[01:09:10.320 --> 01:09:40.300]   Thank you.
[01:09:40.300 --> 01:10:10.280]   Thank you.
[01:10:10.280 --> 01:10:40.260]   Thank you.
[01:10:40.260 --> 01:11:10.240]   Thank you.
[01:11:10.240 --> 01:11:40.220]   Thank you.
[01:11:40.220 --> 01:12:10.200]   Thank you.
[01:12:10.200 --> 01:12:40.180]   Thank you.
[01:12:40.180 --> 01:13:10.160]   Thank you.
[01:13:10.160 --> 01:13:40.140]   Thank you.
[01:13:40.140 --> 01:14:10.120]   Thank you.
[01:14:10.120 --> 01:14:40.100]   Thank you.
[01:14:40.100 --> 01:15:10.080]   Thank you.
[01:15:10.080 --> 01:15:40.060]   Thank you.
[01:15:40.060 --> 01:16:10.040]   Thank you.
[01:16:10.040 --> 01:16:40.020]   Thank you.
[01:16:40.020 --> 01:17:10.000]   Thank you.
[01:17:10.000 --> 01:17:39.980]   Thank you.
[01:17:39.980 --> 01:18:09.960]   Thank you.
[01:18:09.960 --> 01:18:39.940]   Thank you.
[01:18:39.940 --> 01:19:09.920]   Thank you.
[01:19:09.920 --> 01:19:39.900]   Thank you.
[01:19:39.900 --> 01:20:09.880]   Thank you.
[01:20:09.880 --> 01:20:39.860]   Thank you.
[01:20:39.860 --> 01:21:09.840]   Thank you.
[01:21:09.840 --> 01:21:39.820]   Thank you.
[01:21:39.820 --> 01:22:09.800]   Thank you.
[01:22:09.800 --> 01:22:39.780]   Thank you.
[01:22:39.780 --> 01:23:09.760]   Thank you.
[01:23:09.760 --> 01:23:39.740]   Thank you.
[01:23:39.740 --> 01:24:09.720]   Thank you.
[01:24:09.720 --> 01:24:39.700]   Thank you.
[01:24:39.700 --> 01:25:09.680]   Thank you.
[01:25:09.680 --> 01:25:39.660]   Thank you.
[01:25:39.660 --> 01:26:09.640]   Thank you.
[01:26:09.640 --> 01:26:39.620]   Thank you.
[01:26:39.620 --> 01:27:09.600]   Thank you.
[01:27:09.600 --> 01:27:39.580]   Thank you.
[01:27:39.580 --> 01:28:09.560]   Thank you.
[01:28:09.560 --> 01:28:39.540]   Thank you.
[01:28:39.540 --> 01:29:09.520]   Thank you.
[01:29:09.520 --> 01:29:39.500]   Thank you.
[01:29:39.500 --> 01:30:09.480]   Thank you.
[01:30:09.480 --> 01:30:39.460]   Thank you.
[01:30:39.460 --> 01:31:09.440]   Thank you.
[01:31:09.440 --> 01:31:39.420]   Thank you.
[01:31:39.420 --> 01:32:09.400]   Thank you.
[01:32:09.400 --> 01:32:39.380]   Thank you.
[01:32:39.380 --> 01:33:09.360]   Thank you.
[01:33:09.360 --> 01:33:39.340]   Thank you.
[01:33:39.340 --> 01:34:09.320]   Thank you.
[01:34:09.320 --> 01:34:39.300]   Thank you.
[01:34:39.300 --> 01:35:09.280]   Thank you.
[01:35:09.280 --> 01:35:39.260]   Thank you.
[01:35:39.260 --> 01:36:09.240]   Thank you.
[01:36:09.240 --> 01:36:39.220]   Thank you.
[01:36:39.220 --> 01:37:09.200]   Thank you.
[01:37:09.200 --> 01:37:39.180]   Thank you.
[01:37:39.180 --> 01:38:09.160]   When I surveyed.
[01:38:09.160 --> 01:38:39.140]   Thank you.
[01:38:39.140 --> 01:39:09.120]   Thank you.
[01:39:09.120 --> 01:39:39.100]   Thank you.
[01:39:39.100 --> 01:40:09.080]   Thank you.
[01:40:09.080 --> 01:40:39.060]   Thank you.
[01:40:39.060 --> 01:41:09.040]   Thank you.
[01:41:09.040 --> 01:41:39.020]   Thank you.
[01:41:39.020 --> 01:42:09.000]   Thank you.
[01:42:09.000 --> 01:42:38.980]   Thank you.
[01:42:38.980 --> 01:43:08.960]   Thank you.
[01:43:08.960 --> 01:43:38.940]   Thank you.
[01:43:38.940 --> 01:44:08.920]   Thank you.
[01:44:08.920 --> 01:44:38.900]   Thank you.
[01:44:38.900 --> 01:45:08.880]   Thank you.
[01:45:08.880 --> 01:45:38.860]   Thank you.
[01:45:38.860 --> 01:46:08.840]   Thank you.

