
[00:00:00.040 --> 00:00:09.560]  في
[00:03:59.220 --> 00:03:59.220]   The music is a little bit more than the original.
[00:03:59.220 --> 00:03:59.220]   The music is a little bit more than the original.
[00:03:59.220 --> 00:03:59.220]   The music is a little bit more than the original.
[00:03:59.220 --> 00:03:59.220]   The music is a little bit more than the original.
[00:03:59.220 --> 00:03:59.220]   The music is a little bit more than the original.
[00:03:59.220 --> 00:03:59.220]   The music is a little bit more than the original.
[00:03:59.220 --> 00:03:59.220]   The music is a little bit more than the original.
[00:03:59.220 --> 00:03:59.220]   The music is a little bit more than the original.
[00:03:59.220 --> 00:03:59.220]   The music is a little bit more than the original.
[00:03:59.220 --> 00:03:59.220]   The music is a little bit more than the original.,
[00:03:59.220 --> 00:03:59.220]   The music is a little bit more than the original.,
[00:03:59.220 --> 00:04:29.240]   INDICATED BY THE WORLD'S MOST PARTICLES.
[00:04:29.240 --> 00:04:29.240]   The music is a little bit more than the original.,,, and the music is a little bit more than the original., and the music is a little bit less than the original., and the music is a little bit more than the original., and the music is a little bit more than the original., and the music is a little bit more than the original., and the music is a little bit less than the original., and the music is a little bit more than the original., and the music is a little bit more than the original.
[00:04:29.280 --> 00:04:40.140]   as
[00:04:40.140 --> 00:04:43.400]  33 the "コ, and, we are trying to the preserve the
[00:04:43.400 --> 00:04:50.700]   опер
[00:04:58.120 --> 00:05:09.540]   –
[00:05:27.280 --> 00:05:32.600]  --
[00:05:32.600 --> 00:05:38.280]   coming . , in the very, de, de,
[00:05:38.280 --> 00:05:51.480]   why bike лай華
[00:05:51.480 --> 00:05:56.980]   less
[00:05:57.260 --> 00:06:07.080]   Nach
[00:06:07.080 --> 00:06:07.980]  ав
[00:06:26.160 --> 00:06:35.920]   Louis
[00:06:35.920 --> 00:06:37.060]   find exc Myst ah I,,,,,
[00:06:37.060 --> 00:06:39.960]   guessing
[00:06:52.820 --> 00:07:02.700]   encourage
[00:07:02.700 --> 00:07:05.300]   Bran Gr H estim,,,,, Ho
[00:07:05.300 --> 00:07:20.480]  厲害
[00:08:20.520 --> 00:08:50.040]   more than I think about that are the best thing.
[00:08:50.040 --> 00:08:50.140]   I think about the best thing.
[00:08:50.180 --> 00:08:52.680]   going
[00:08:52.680 --> 00:09:17.560]   be a good,,,, succeed Saw I was durability
[00:09:17.560 --> 00:09:20.000]  这 dé志 anything whether this it. Can't a guess a dumb thing a華 a damaging a donn a Vivi a other a vär C/Co. Oh. For. I. I. I. I. I. Be. I. In. I. G. get. buy. advisors taste. Studien... Sir... Isso... ...... ...... ...... ...... ...... ......... ...... ...... ............ ...... ......... ...... ...... ...... ......... ...... ......... ...... perd... couldn't...ắt Everybody, quite... under like장錢 Hair ' scenario familia podía
[00:09:20.040 --> 00:09:27.020]   Pre For
[00:09:27.020 --> 00:09:48.520]   ci see look,,,,,,
[00:09:50.060 --> 00:10:01.780]   work
[00:10:01.780 --> 00:10:18.880]   that,,,, couldn't leading
[00:10:19.860 --> 00:10:30.740]   started
[00:10:30.740 --> 00:10:48.680]   giờ,,,, Gold Which L Srians
[00:10:48.760 --> 00:10:58.480]   where
[00:10:58.480 --> 00:11:09.220]   starts To I,aren,
[00:11:09.220 --> 00:11:17.080]  , was, лай, 살�,군,ㅠㅠ. 500.ku.ав. diver.那個設. BJ. blind. Do. assure.ishment. depend. Eng. Smart. conduct.iquement. cuanto I'm the original character is the more.oty.對對 confess, never, play,ifts, clique, wind,
[00:11:17.100 --> 00:11:31.100]   I will sing. I will sing the
[00:11:31.100 --> 00:11:39.980]   I will sing the wonder story of the Christ who died for me. I will sing the wonder story of the Christ who died for me.
[00:11:39.980 --> 00:11:44.060]   I will sing the wonder story of the Christ who died for me. How he left his home in glory. How he left his home in glory.
[00:11:44.100 --> 00:12:03.260]   the
[00:12:13.560 --> 00:12:41.820]   feel
[00:12:42.900 --> 00:12:53.680]   saw
[00:12:53.680 --> 00:13:11.000]   but 2021
[00:13:11.200 --> 00:13:41.180]  �
[00:13:41.240 --> 00:13:52.660]   continue
[00:13:52.660 --> 00:13:54.540]   may man, at,
[00:13:54.540 --> 00:14:11.240]   physically or get the EL - 3 - 3 - 5 - 3 - 3- бар- Hub- Ku- 어�-,"ר, 어�-,
[00:14:11.280 --> 00:14:14.680]   meant
[00:14:14.680 --> 00:14:22.120]   pent beimately
[00:14:22.120 --> 00:14:40.060]   be, I am, I, I, I, S. M. confirm business 2021
[00:14:40.500 --> 00:14:55.340]   All right, good morning. Welcome to Breen Community Church. Before we get started, we have an announcement from our family ministry. So Rachel's gonna come and give the announcement.
[00:14:55.340 --> 00:15:09.720]   Hi everyone. We have an opportunity coming up in December to serve with Operation Christmas Child, which women's ministry currently
[00:15:09.760 --> 00:15:19.600]   Sound精
[00:15:19.600 --> 00:15:20.660]   X The BOY lasted a,,,,ち
[00:15:20.660 --> 00:15:36.760]  � З ever Sav I I W It S G I continue 03 think,icht, nice, light, past, sub,annya, face, was, 차�, cr. doll. mind, be. it's, Tabii,��, alone,ored, tore. de, Kont,─, transcript,觀眾, come, learn, mention,M. clocks,紅 .ough, was . 달� .annie . engine  lassen a Hub they're like . connects and Minist "G .ro is a land .í . quest
[00:15:36.760 --> 00:15:38.420]   in-- Milk and we have a
[00:15:38.540 --> 00:15:43.700]   10
[00:15:43.700 --> 00:16:05.340]   em a was connectPop
[00:16:07.380 --> 00:16:14.540]   for the family ministry is coming up on December 10th.
[00:16:14.540 --> 00:16:16.780]   It is going to be a lunch from 1:00 to 3:00 p.m..
[00:16:16.780 --> 00:16:20.580]   This is the first time in a few years that we've been able to do this
[00:16:20.580 --> 00:16:22.620]   because of the size of our church.
[00:16:22.620 --> 00:16:26.780]   And so we're going to try to provide child care for kids
[00:16:26.780 --> 00:16:29.900]   in starting from seeds A and B class and up.
[00:16:29.900 --> 00:16:35.480]   And so so the cost will be $10 per adult and $5
[00:16:35.480 --> 00:16:36.220]   for the kids.
[00:16:36.220 --> 00:16:36.220]   So the cost will be $10 per adult and $5 for the kids.
[00:16:36.220 --> 00:16:36.220]   So the cost will be $10 per adult and $5 for the kids.
[00:16:36.220 --> 00:16:36.220]   So the cost will be $10 per adult and $5 for the kids.
[00:16:36.220 --> 00:16:36.220]   So the cost will be $10 per adult and $5 for the kids.
[00:16:36.220 --> 00:16:36.220]   So the cost will be $10 per adult and $5 for the kids.
[00:16:36.240 --> 00:17:05.180]   for the kids that 3 to 13 age range.
[00:17:05.180 --> 00:17:05.220]   So please RSVP in the next couple weeks.
[00:17:05.220 --> 00:17:05.260]   So the cost will be $10 per adult and $5 for the kids.
[00:17:05.260 --> 00:17:05.320]   So the cost will be $10 per adult and $5 for the kids. The RSVP deadline is November 26.
[00:17:05.320 --> 00:17:05.360]   It will be a time of games, food, fellowship.
[00:17:05.360 --> 00:17:05.380]   It will be a time of games, food, fellowship. It will be a time of games, food, fellowship. It's from all of us, fam245, all the way to Jubilee,
[00:17:05.380 --> 00:17:05.480]   It will be a time of games, food, fellowship. It will be a time of games, food, fellowship. It's from all of us, fam245, all the way to Jubilee, whether a member or not a member. We're just coming together to celebrate Christ's birth as a group. So please sign up in the next couple weeks. Thank you.
[00:17:05.480 --> 00:17:05.580]   Thank you.
[00:17:05.580 --> 00:17:35.160]  , and we'll be back with some more of our next guests.
[00:17:35.160 --> 00:17:35.180]   We'll be back with some more of our next guests.
[00:17:35.180 --> 00:17:35.200]   So, first we want to thank you for the folks that you've been with us today.
[00:17:35.200 --> 00:17:35.220]   We're going to be back with you for the next guest that you've been here for the last week.
[00:17:35.220 --> 00:17:35.240]   We're going to be back with our next guest that you've been here for the last week.
[00:17:35.240 --> 00:17:35.260]   and we're going to be back with you for the next guest that you've been here for the next week.
[00:17:35.260 --> 00:17:35.300]   and we're going to be back with you for the next week and we're going to the next week.
[00:17:35.340 --> 00:17:44.360]  --
[00:17:44.360 --> 00:17:49.360]  지는 is the child. I am a sweet new?,,,,,,, , Iestra Australian
[00:17:49.360 --> 00:17:53.100]   go
[00:18:03.640 --> 00:18:29.760]  Sch going
[00:18:29.840 --> 00:18:37.400]   provide
[00:18:37.400 --> 00:18:40.700]   give,,,,
[00:18:40.700 --> 00:18:43.420]   hard empez� work is a man who is a badpos Het
[00:18:43.420 --> 00:18:48.820]  �니다
[00:18:57.700 --> 00:19:09.720]  .
[00:19:09.720 --> 00:19:25.560]   The church family, why don't we stand together as we come before God to worship. Just briefly, say hello to a couple people around you.
[00:19:25.560 --> 00:19:25.560]   Just briefly, say hello to a couple people around you.
[00:19:25.580 --> 00:19:55.440]   music.
[00:19:55.440 --> 00:19:55.440]   - I'm going to be a new
[00:19:55.460 --> 00:20:25.320]  ,
[00:20:25.320 --> 00:20:25.360]   - I'm going to be a new man.
[00:20:25.360 --> 00:20:25.400]   - I'm going to be a new man.
[00:20:25.400 --> 00:20:25.440]   - I'm going to be a new man. - I'm going to be a new man.
[00:20:25.480 --> 00:20:36.820]   down
[00:20:36.820 --> 00:20:38.940]  --�. work. they don them ad trapped prizes
[00:20:38.940 --> 00:20:47.560]   ML M B A N I A - vacuum - ver -P - value -ie -in -in - 지� - White -it- invest- whichever- en, the, the word., the word. I'm a, the word, the work. I'm, the word, the, the word. The, the, the. The, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, Quad He,華 acknowledge seek for� I thank
[00:20:47.560 --> 00:20:53.620]   around эта攻 for a NintendoICES ese � excellent parcel or
[00:20:53.660 --> 00:20:56.240]  特別
[00:20:56.240 --> 00:21:09.860]  ality, ., won.,
[00:21:09.860 --> 00:21:22.000]   Holy for new and dawn remain rajASSdrive sistemasarps樂's only you's a guy of the guy who I'm a� I'm the E I was the She인지GCT IT C세�GNC 4 projection해�
[00:21:22.060 --> 00:21:26.600]  rage of the day of the day in the name of Jesus. in the name of Jesus.
[00:21:26.600 --> 00:21:42.100]   Holy, holy is the Lamb of God. Holy, holy is the Lamb of God.
[00:21:42.100 --> 00:21:49.000]   Can't believe my death's encounter is. Can't believe my death's encounter is.
[00:21:50.480 --> 00:22:18.880]  .
[00:22:18.880 --> 00:22:18.880]   .
[00:22:18.880 --> 00:22:19.020]   .
[00:22:19.020 --> 00:22:19.060]   .
[00:22:19.060 --> 00:22:19.120]   .
[00:22:19.120 --> 00:22:19.200]   .
[00:22:19.200 --> 00:22:19.260]   .
[00:22:19.260 --> 00:22:19.300]   .
[00:22:19.300 --> 00:22:19.380]   .
[00:22:19.380 --> 00:22:19.440]   .
[00:22:19.440 --> 00:22:19.480]   .
[00:22:19.480 --> 00:22:19.720]   .
[00:22:19.720 --> 00:22:19.740]   .
[00:22:19.740 --> 00:22:19.760]   .
[00:22:19.760 --> 00:22:19.840]   .
[00:22:19.840 --> 00:22:19.900]   .
[00:22:19.900 --> 00:22:19.920]   .
[00:22:19.920 --> 00:22:19.960]   .
[00:22:19.960 --> 00:22:20.160]   .
[00:22:20.160 --> 00:22:20.200]   .
[00:22:20.200 --> 00:22:20.240]   .
[00:22:21.120 --> 00:22:50.160]   .
[00:22:50.220 --> 00:23:20.100]   .
[00:23:20.100 --> 00:23:20.120]   .
[00:23:20.120 --> 00:23:20.200]   .
[00:23:20.260 --> 00:23:29.920]  �
[00:23:29.920 --> 00:23:30.800]   is the is
[00:23:30.800 --> 00:23:50.240]  ietet
[00:23:50.280 --> 00:23:59.960]  okay he,,, talk уг
[00:23:59.960 --> 00:24:01.340]   support the Zoom. It is in the
[00:24:01.340 --> 00:24:17.180]  과�
[00:24:19.020 --> 00:24:29.720]   change
[00:24:29.720 --> 00:24:33.820]   machine constraint this, .,,—li many in the fun is the no I am I I TG CG CG CG Cui
[00:24:37.880 --> 00:24:45.920]   said
[00:24:45.920 --> 00:25:05.300]  -- not the personal as to be out Zukunft headed
[00:25:05.560 --> 00:25:14.640]   even
[00:25:14.640 --> 00:25:16.580]   four. I do hope
[00:25:35.340 --> 00:25:46.240]   sell
[00:25:46.240 --> 00:26:02.700]   A I,,,,iyorsun
[00:26:04.020 --> 00:26:07.120]   go
[00:26:07.120 --> 00:26:28.060]   W Z Go En out add 365 對不對
[00:26:28.060 --> 00:26:30.880]  , camp, end, end, 우리, man. 9,'m, er,ana, t. I'm, deserve the group, 대박,
[00:26:30.880 --> 00:26:33.140]   E.cut. Making the ear, rest. Și key. Murray,지�.
[00:26:33.320 --> 00:26:43.580]   less
[00:26:43.580 --> 00:27:02.460]   ao I I I
[00:27:03.340 --> 00:27:05.640]  사� just,,,,
[00:27:05.640 --> 00:27:19.060]   Guy I The Ver as el
[00:27:19.060 --> 00:27:32.120]   team
[00:27:32.840 --> 00:27:42.220]   rely
[00:27:42.220 --> 00:27:43.240]   I, the, the,
[00:27:43.240 --> 00:27:59.480]   сч
[00:28:02.040 --> 00:28:15.680]   in the name of God.
[00:28:15.680 --> 00:28:16.140]   Good morning.
[00:28:16.140 --> 00:28:17.600]   My name is Anthony Chua.
[00:28:17.600 --> 00:28:19.380]   This is my testimony.
[00:28:19.380 --> 00:28:22.700]   Do you believe in God?
[00:28:22.700 --> 00:28:25.400]   It's a question I've wrestled with for a long time.
[00:28:25.400 --> 00:28:27.540]   If you asked me that question
[00:28:27.540 --> 00:28:29.060]   at different points in my life,
[00:28:29.060 --> 00:28:31.240]   you'd get an answer that varies from maybe to
[00:28:31.260 --> 00:29:00.460]   I'm not a typical churchgoer.
[00:29:00.460 --> 00:29:00.980]   My family did not grow up with the church.
[00:29:01.020 --> 00:29:11.120]   better
[00:29:11.120 --> 00:29:12.560]   had a continue
[00:29:30.180 --> 00:29:40.260]   ‫,
[00:29:40.260 --> 00:29:56.080]  уг, E I go and,
[00:29:56.080 --> 00:29:59.200]  학ərit Exactly're N e N and S. . . . . . . . . ., ., and, and, count, about, it is, and, Setting, only, song,LEY,upun,享, tight, tight,dot, you, Ret, someone,工作,,, mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, I've your light,ai right,ing a'm actuallyough minimize больш endure the sesriiing the wherever we're like a way and you're not money in the realizes merchandise� http
[00:29:59.320 --> 00:30:02.380]  lide on the end of my floundering spirit.
[00:30:02.380 --> 00:30:05.180]  But, with this moment, I finally heard that phone ring.
[00:30:05.180 --> 00:30:15.380]  It was the wake-up call encouraging me to question everything, and above all else, I found a world defiled by man, riddled with imperfection, evil, and selfish to its core.
[00:30:15.380 --> 00:30:18.820]  I didn't have to look very far to find it, because it was everywhere.
[00:30:18.820 --> 00:30:24.840]  But, for every awful thing I noticed, I would question how those things spoke to my character.
[00:30:24.840 --> 00:30:28.420]  If humanity had many faults, even at its best, how
[00:30:28.420 --> 00:30:29.300]   much more true would that be?
[00:30:29.440 --> 00:30:59.280]   and how much more true would that be?
[00:30:59.320 --> 00:31:29.300]  , and how much more true would that be?
[00:31:29.300 --> 00:31:29.300]   The first thing I realized was that I was unwell, and it was unbearable.
[00:31:29.300 --> 00:31:29.320]   The second thing I realized was that I was unwell, and it was unbearable.
[00:31:29.320 --> 00:31:29.320]   The second thing I realized was that I was unwell, and it was unbearable.
[00:31:29.320 --> 00:31:29.320]   The second thing I realized was that I was unwell, and it was unbearable.
[00:31:29.320 --> 00:31:29.320]   The second thing I realized was that if there was nothing in this world that could save me, I would not be able to be able to do what I was saying what I was saying.
[00:31:29.340 --> 00:31:29.500]   The second thing I realized was that if there was nothing in this world that could save me, I would not be able to be able to do what I was saying what I was saying what I was saying.
[00:31:29.500 --> 00:31:29.500]  I needed to find my peace somewhere else, and I was told I could find it in Christ.
[00:31:29.500 --> 00:31:59.360]   I started working, praying, hoping to earn that peace, because I wanted to cleanse a soul that was far murkier than I had ever known it to be. But no matter what I did, I didn't feel any clearer. I told myself I believed and was sure of it in my mind, but my heart was wavering. So even as I sat in these seats and sang these songs, I felt like I was on borrowed time. Although I was ready to receive now, I felt like I was lacking something.
[00:31:59.360 --> 00:31:59.360]   I felt like I was lacking something.
[00:31:59.360 --> 00:31:59.360]   I felt like I was lacking something.
[00:31:59.360 --> 00:31:59.360]   Although I was ready to receive now, I felt like I was lacking something.
[00:31:59.360 --> 00:32:29.400]   and after trying what this world offered to no avail, I couldn't see myself turning back. I was at odds with opposing powers and felt stuck. It wasn't until the membership interview with PPC when he would remind me of the most fundamental part of the Gospel: faith. For someone who studied Martin Luther so much, it's surprisingly easy to forget that faith justifies sinners like us, but it was the first time after hundreds of hearings that it finally started to make sense. With PPC's encouragement, I asked God to change my life and I was able to believe that I was able to believe in the world and I was able to believe in the world, and I was able to believe in the world that I was able to believe in the world.
[00:32:29.420 --> 00:32:30.440]   and I was able to believe in the world that I was able to believe in the world that I was able to believe in the world.
[00:32:30.440 --> 00:32:31.440]   I can't say one thing with certainty. While I merely asked for this not long ago, I did not feel remotely the same.
[00:32:31.440 --> 00:32:33.440]   I can't say one thing with certainty. While I merely asked for this not long ago, I did not feel remotely the same.
[00:32:33.440 --> 00:32:34.440]   I spoke with my brother weeks after this request about a passage that was on his mind for years.
[00:32:34.440 --> 00:32:35.440]   I spoke with my brother weeks after this request about a passage that was on his mind for years.
[00:32:35.440 --> 00:32:36.440]   I spoke with my brother weeks after this request about a passage that was on his mind for years.
[00:32:36.440 --> 00:32:37.440]   Ezekiel 36:26: "I will give you a new heart and put a new spirit within you.
[00:32:37.440 --> 00:32:38.440]   Ezekiel 36:26:"I will give you a new heart and put a new spirit within you.
[00:32:52.980 --> 00:33:18.480]  , "God did give me a new heart. There was something, there was nothing I could do about it.
[00:33:18.480 --> 00:33:19.480]   , "God did give me a new heart. There was something, there was nothing I could do about it.
[00:33:19.480 --> 00:33:20.480]   , "God did give me a new heart. There was something, there was nothing I could do about it.
[00:33:20.480 --> 00:33:21.480]   , "God did give me a new heart. There was something, there was nothing I could do about it.
[00:33:21.480 --> 00:33:22.480]   , "God did give me a new heart. There was something, there was nothing I could do about it.
[00:33:22.480 --> 00:33:22.480]   There was something, there was nothing I could do about it.
[00:33:22.480 --> 00:33:22.480]   There was something, there was something, there was nothing I could do about it.
[00:33:22.480 --> 00:33:22.480]   There was something, there was something, there was something I could do about it.
[00:33:22.500 --> 00:33:30.520]   There was something, there was something, there was something I could do about it.
[00:33:30.520 --> 00:33:32.520]   There was something, there was something I could do about it.
[00:33:32.520 --> 00:33:34.520]   There was something, there was something I could do about it.
[00:33:34.520 --> 00:33:36.520]   There was something, there was something I could do about it.
[00:33:36.520 --> 00:33:38.520]   There was something, there was something I could do about it.
[00:33:38.520 --> 00:33:40.520]   There was something, there was something I could do about it.
[00:33:40.520 --> 00:33:42.520]   There was something, there was something I could do about it.
[00:33:42.520 --> 00:33:44.520]   There was something, there was something I could do about it.
[00:33:44.520 --> 00:33:46.520]   There was something, there was something I could do about it.
[00:33:46.520 --> 00:33:48.520]   There was something, there was something I could do about it.
[00:33:48.520 --> 00:33:50.520]   There was something, there was something I could do about it.
[00:33:50.520 --> 00:33:52.520]   There was something, there was something I could do about it.
[00:33:52.520 --> 00:33:52.520]   And there was something, there was something I could do about it.
[00:33:52.520 --> 00:33:52.520]   It was something, there was something I could do about it.
[00:33:52.540 --> 00:34:22.560]  , there was something, there was something I could do about it.
[00:34:22.560 --> 00:34:22.560]   There was something, there was something I could do about it.
[00:34:22.600 --> 00:34:52.600]   and I could do about it.
[00:34:52.600 --> 00:34:52.600]   Thank you, Anthony, for that powerful testimony.
[00:34:52.600 --> 00:34:52.600]   Thank you, Anthony, for that powerful testimony. If you can turn your Bibles with me to Luke 6:39-45.
[00:34:52.600 --> 00:34:52.600]   Thank you, Anthony, for that powerful testimony. If you can turn your Bibles with me to Luke 6:39-45.
[00:34:52.600 --> 00:34:52.600]   Thank you, Anthony, for that powerful testimony. If you can turn your Bibles with me to Luke 6:39-45.
[00:34:52.600 --> 00:34:52.600]   Thank you, Anthony, for that powerful testimony. If you can turn your Bibles with me to Luke 6:39-45.
[00:34:52.600 --> 00:34:52.600]   Thank you, Anthony, for that powerful testimony. If you can turn your Bibles with me to Luke 6:39-45.
[00:34:52.600 --> 00:34:52.600]   Thank you, Anthony, for that powerful testimony. If you could turn your Bibles with me to Luke 6:39-45.
[00:34:52.600 --> 00:34:52.600]   Thank you, if you could turn your Bibles with me to Luke 6:39-45.
[00:34:52.640 --> 00:35:02.740]   drowned
[00:35:02.740 --> 00:35:20.860]  antic recognize, aired teve be a has say more
[00:37:14.540 --> 00:37:24.580]   Ed
[00:37:24.580 --> 00:37:24.840]   de end
[00:37:24.840 --> 00:37:39.680]   figure...G, D,,,,,,,, with all just que
[00:37:39.680 --> 00:37:44.520]  zą
[00:38:41.120 --> 00:38:41.120]   and the reason why you're not able to see the reason why you're fixated on other people is because at the core you're a bad tree and he said a bad tree cannot bear good fruit and a good tree will bear good fruit.
[00:38:41.120 --> 00:38:42.820]   He said a bad tree cannot bear good fruit and a good tree will bear good fruit.
[00:38:42.820 --> 00:38:42.820]   He said a bad tree cannot bear good fruit and a good tree will bear good fruit.
[00:38:42.860 --> 00:38:43.880]  obedient.
[00:38:43.880 --> 00:39:12.840]   It's at the core of who you are. You're just revealing who you are. You're trying to pretend. You're a hypocrite trying to act but eventually who you really are is going to be revealed. That's basically what he is saying. Right? You can pretend for a period. Some mentions are obvious and some mentions trail behind it but sooner or later who you are is going to be revealed. So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:39:12.840 --> 00:39:12.840]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:39:12.840 --> 00:39:12.840]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:39:12.840 --> 00:39:12.840]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:39:12.840 --> 00:39:12.840]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:39:12.860 --> 00:39:42.860]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:39:42.860 --> 00:39:42.860]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:39:42.860 --> 00:39:42.860]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:39:42.880 --> 00:40:12.880]   The fruit is going to come from who we are.
[00:40:12.880 --> 00:40:12.880]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:40:12.880 --> 00:40:12.880]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:40:12.880 --> 00:40:12.880]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:40:12.880 --> 00:40:12.880]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:40:12.880 --> 00:40:12.880]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:40:12.880 --> 00:40:12.880]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:40:12.880 --> 00:40:12.880]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:40:12.880 --> 00:40:42.900]  ,
[00:40:42.900 --> 00:40:42.900]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:40:42.900 --> 00:40:42.900]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:40:42.900 --> 00:40:42.900]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:40:42.900 --> 00:40:42.900]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:40:42.900 --> 00:40:42.900]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:40:42.900 --> 00:40:42.900]   So the focus this morning when we talk about sanctification is that the fruit is going to come from who we are.
[00:40:42.920 --> 00:41:12.920]   We say that he's a male, that you are homophobic, right?
[00:41:12.920 --> 00:41:12.920]   You're a hater.
[00:41:12.920 --> 00:41:12.920]   You could even get fired.
[00:41:12.920 --> 00:41:12.920]   Right now, throughout the school boards, if the teacher refuses to call a child who's in every way male and says,
[00:41:12.920 --> 00:41:12.920]   Oh, I'm not a male, and then don't address him the way they want to be addressed, basically you can get fired for that.
