
[00:00:00.000 --> 00:00:29.980]   . . . .
[00:04:47.960 --> 00:04:47.960]   .
[00:04:47.960 --> 00:05:17.940]   Thank you.
[00:05:17.940 --> 00:05:47.920]   Thank you.
[00:05:47.920 --> 00:06:17.900]   Thank you.
[00:06:17.900 --> 00:06:47.880]   Thank you.
[00:06:47.880 --> 00:07:17.860]   Thank you.
[00:07:17.860 --> 00:07:47.840]   Thank you.
[00:07:47.840 --> 00:08:17.820]   Thank you.
[00:08:17.820 --> 00:08:47.800]   Thank you.
[00:08:47.800 --> 00:08:59.920]   All right.
[00:08:59.920 --> 00:09:01.620]   Hello, everybody.
[00:09:01.620 --> 00:09:09.260]   If we can make our way to our seats and just take a moment to just prepare our hearts before we go into a time of praise.
[00:09:09.260 --> 00:09:39.240]   Thank you.
[00:09:39.240 --> 00:10:09.220]   Thank you for this evening.
[00:10:09.420 --> 00:10:17.600]   That we would meditate and really sing these lyrics to you as an act of worship from our hearts, knowing that, God, you are worthy of all our praise.
[00:10:17.600 --> 00:10:26.400]   And we are just so thankful for just who you are and your holiness and just your kindness, God, towards us, Lord.
[00:10:26.560 --> 00:10:31.860]   And so, I pray that, and we are in the same way, amen, and we are in the same way, amen.
[00:10:31.860 --> 00:10:47.220]   Mystery of the Cross
[00:10:47.220 --> 00:10:51.420]   Mystery of the Cross
[00:10:51.420 --> 00:10:54.500]   I cannot comprehend
[00:10:54.500 --> 00:10:59.660]   The agonies of Calvary
[00:10:59.660 --> 00:11:06.180]   You're the perfect Holy One
[00:11:06.180 --> 00:11:09.000]   Who crushed Your Son
[00:11:09.000 --> 00:11:12.220]   Who drank the bitter cup
[00:11:12.220 --> 00:11:14.400]   Reserved for me
[00:11:14.400 --> 00:11:20.980]   Your blood has washed away my sin
[00:11:20.980 --> 00:11:23.440]   Jesus, thank You
[00:11:23.440 --> 00:11:27.460]   The Father's wrath completely satisfied
[00:11:27.460 --> 00:11:30.400]   Jesus, thank You
[00:11:30.400 --> 00:11:32.480]   Once Your enemy
[00:11:32.480 --> 00:11:36.460]   Now seated at Your table
[00:11:36.460 --> 00:11:41.980]   Jesus, thank You
[00:11:41.980 --> 00:11:53.460]   By a perfect sacrifice
[00:11:53.460 --> 00:11:58.080]   By a perfect sacrifice
[00:11:58.080 --> 00:12:00.300]   I've been brought
[00:12:00.300 --> 00:12:02.800]   Your enemy
[00:12:02.800 --> 00:12:06.360]   You've made Your friend
[00:12:06.360 --> 00:12:14.940]   Pouring out the riches of Your glorious grace
[00:12:14.940 --> 00:12:17.880]   Your mercy and Your kindness
[00:12:17.880 --> 00:12:18.260]   Your mercy and Your kindness
[00:12:18.260 --> 00:12:20.880]   No, no end
[00:12:20.880 --> 00:12:26.980]   Your blood has washed away my sin
[00:12:26.980 --> 00:12:29.360]   Jesus, thank You
[00:12:29.360 --> 00:12:33.240]   Father's wrath completely satisfied
[00:12:33.240 --> 00:12:36.380]   Jesus, thank You
[00:12:36.380 --> 00:12:40.320]   Once Your enemy
[00:12:40.320 --> 00:12:41.320]   Once Your enemy
[00:12:41.320 --> 00:12:42.380]   Now seated at Your table
[00:12:42.380 --> 00:12:43.380]   Jesus, thank You
[00:12:43.380 --> 00:12:48.760]   Jesus, thank You
[00:12:48.760 --> 00:12:48.860]   Jesus, thank You
[00:12:48.860 --> 00:12:58.840]   Lover of my soul
[00:12:58.840 --> 00:13:00.380]   Lover of my soul
[00:13:00.380 --> 00:13:04.580]   Lover of my soul
[00:13:04.580 --> 00:13:11.580]   I want to live for You
[00:13:11.580 --> 00:13:16.580]   Lover of my soul
[00:13:16.580 --> 00:13:18.580]   I want to live for You
[00:13:18.580 --> 00:13:18.580]   Lover of my soul
[00:13:18.580 --> 00:13:22.580]   I want to live for You
[00:13:22.580 --> 00:13:24.580]   Lover of my soul
[00:13:24.580 --> 00:13:28.580]   I want to live for You
[00:13:28.580 --> 00:13:33.580]   Lover of my soul
[00:13:33.580 --> 00:13:33.580]   Lover of my soul
[00:13:33.580 --> 00:13:39.580]   I want to live for You
[00:13:39.580 --> 00:13:41.580]   Lover of my soul
[00:13:41.580 --> 00:13:42.580]   Lover of my soul
[00:13:42.580 --> 00:13:45.580]   Your blood has washed away my sin
[00:13:45.580 --> 00:13:46.580]   Jesus, thank You
[00:13:46.580 --> 00:13:47.580]   Jesus, thank You
[00:13:47.580 --> 00:13:48.580]   Your blood has washed away my sin
[00:13:48.580 --> 00:13:49.580]   Jesus, thank You
[00:13:49.580 --> 00:13:50.580]   Your blood has washed away my sin
[00:13:50.580 --> 00:13:51.580]   Jesus, thank You
[00:13:51.580 --> 00:13:53.580]   Jesus, thank You
[00:13:53.580 --> 00:13:55.580]   Your blood has washed away my sin
[00:13:55.580 --> 00:13:56.580]   Jesus, thank You
[00:13:56.580 --> 00:14:00.580]   Your blood has washed away my sin
[00:14:00.580 --> 00:14:02.580]   Jesus, thank You
[00:14:02.580 --> 00:14:03.580]   Your blood has washed away my sin
[00:14:03.580 --> 00:14:04.580]   Jesus, thank You
[00:14:04.580 --> 00:14:05.580]   Your blood has washed away my sin
[00:14:05.580 --> 00:14:06.580]   Jesus, thank You
[00:14:06.580 --> 00:14:07.580]   Your blood has washed away my sin
[00:14:07.580 --> 00:14:08.580]   Jesus, thank You
[00:14:08.580 --> 00:14:09.580]   Your blood has washed away my sin
[00:14:09.580 --> 00:14:10.580]   Jesus, thank You
[00:14:10.580 --> 00:14:11.580]   Your blood has washed away my sin
[00:14:11.580 --> 00:14:12.580]   Jesus, thank You
[00:14:12.580 --> 00:14:12.580]   Father's wrath completely satisfied
[00:14:12.580 --> 00:14:13.580]   Jesus, thank You
[00:14:13.580 --> 00:14:14.580]   Jesus, thank You
[00:14:14.580 --> 00:14:15.580]   Once Your enemy
[00:14:15.580 --> 00:14:16.580]   Once Your enemy
[00:14:16.580 --> 00:14:17.580]   Now seated at Your table
[00:14:17.580 --> 00:14:18.580]   Jesus, thank You
[00:14:18.580 --> 00:14:19.580]   Jesus, thank You
[00:14:19.580 --> 00:14:22.580]   Jesus, thank You
[00:14:22.580 --> 00:14:24.580]   Jesus, thank You
[00:14:24.580 --> 00:14:27.580]   Jesus, thank You
[00:14:27.580 --> 00:14:30.580]   Jesus, thank You
[00:14:30.580 --> 00:14:32.580]   Jesus, thank You
[00:14:32.580 --> 00:14:32.580]   Jesus
[00:14:32.580 --> 00:14:34.580]   Jesus, thank You
[00:14:34.580 --> 00:14:35.580]   Jesus, thank You
[00:14:35.580 --> 00:14:37.580]   Jesus, thank You
[00:14:37.580 --> 00:14:44.580]   Jesus, thank You
[00:14:44.580 --> 00:14:51.580]   God is faithful to His Word
[00:14:51.580 --> 00:15:05.580]   God is faithful to His Word
[00:15:05.580 --> 00:15:10.580]   Even when there seems no way
[00:15:10.580 --> 00:15:25.580]   His Word will not fade His promises shall never fail
[00:15:25.580 --> 00:15:39.580]   Faithful He has been Faithful He will be Time and time again His Word returns complete
[00:15:39.580 --> 00:15:54.580]   To His truth I claim When the night is deep Faithful He has been Faithful He will be
[00:15:54.580 --> 00:15:55.580]   God is gracious When I doubt He draws near though I retreat
[00:15:55.580 --> 00:15:55.580]   God is gracious when I doubt He draws near though I retreat
[00:15:55.580 --> 00:15:57.580]   God is gracious when I doubt He draws near though I retreat
[00:15:57.580 --> 00:15:57.580]   God is gracious when I doubt He draws near though I retreat
[00:15:57.580 --> 00:16:01.580]   God is gracious when I doubt He draws near though I retreat
[00:16:01.580 --> 00:16:05.580]   God is gracious when I doubt He draws near though I retreat
[00:16:05.580 --> 00:16:06.580]   God is gracious when I doubt He draws near though I retreat
[00:16:06.580 --> 00:16:12.580]   God is gracious when I doubt He draws near though I retreat
[00:16:12.580 --> 00:16:16.580]   God is gracious when I doubt He draws near though I retreat
[00:16:16.580 --> 00:16:18.580]   God is gracious when I doubt He draws near though I retreat
[00:16:18.580 --> 00:16:19.580]   God is gracious when I doubt He draws near though I retreat
[00:16:19.580 --> 00:16:21.580]   God is gracious He draws near though I retreat
[00:16:21.580 --> 00:16:22.580]   God is gracious He draws near though I retreat
[00:16:22.580 --> 00:16:24.580]   God is gracious He draws near though I retreat
[00:16:24.580 --> 00:16:25.580]   God is gracious He draws near though I retreat
[00:16:25.580 --> 00:16:26.580]   God is gracious He draws near though I retreat
[00:16:26.580 --> 00:16:28.580]   God is gracious He draws near though I retreat
[00:16:28.580 --> 00:16:29.580]   God is gracious He draws near though I retreat
[00:16:29.580 --> 00:16:30.580]   God is gracious He draws near though I retreat
[00:16:30.580 --> 00:16:31.580]   God is gracious He draws near though I retreat
[00:16:31.580 --> 00:16:32.580]   God is gracious He draws near though I retreat
[00:16:32.580 --> 00:16:33.580]   God is gracious He draws near though I retreat
[00:16:33.580 --> 00:16:34.580]   God is gracious He draws near though I retreat
[00:16:34.580 --> 00:16:35.580]   God is gracious He draws near though I retreat
[00:16:35.580 --> 00:16:36.580]   God is gracious He draws near though I retreat
[00:16:36.580 --> 00:16:36.580]   God is gracious He draws near though I retreat
[00:16:36.580 --> 00:16:38.580]   God is gracious He draws near though I retreat
[00:16:38.580 --> 00:16:39.580]   God is gracious He draws near though I retreat
[00:16:39.580 --> 00:16:45.580]   God is gracious He draws near though I retreat
[00:16:45.580 --> 00:16:46.580]   God is gracious He draws near though I retreat
[00:16:46.580 --> 00:16:47.580]   God is gracious He draws near though I retreat
[00:16:47.580 --> 00:16:48.580]   God is gracious He draws near though I retreat
[00:16:48.580 --> 00:16:49.580]   God is gracious He draws near though I retreat
[00:16:49.580 --> 00:16:50.580]   God is gracious He draws near though I retreat
[00:16:50.580 --> 00:16:51.580]   God is gracious He draws near though I retreat
[00:16:51.580 --> 00:16:52.580]   God is gracious He draws near though I retreat
[00:16:52.580 --> 00:16:53.580]   God is gracious He draws near though I retreat
[00:16:53.580 --> 00:16:54.580]   God is gracious He draws near though I retreat
[00:16:54.580 --> 00:16:55.580]   God is gracious He draws near though I retreat
[00:16:55.580 --> 00:16:56.580]   God is gracious He draws near though I retreat
[00:16:56.580 --> 00:16:56.580]   God is gracious He draws near though I retreat
[00:16:56.580 --> 00:16:58.580]   God is gracious He draws near though I retreat
[00:16:58.580 --> 00:17:00.580]   God is gracious He draws near though I retreat
[00:17:00.580 --> 00:17:02.580]   God is gracious He draws near though I retreat
[00:17:02.580 --> 00:17:08.580]   God is gracious He draws near though I retreat
[00:17:08.580 --> 00:17:10.580]   God is gracious He draws near though I retreat
[00:17:10.580 --> 00:17:12.580]   God is gracious He draws near though I retreat
[00:17:12.580 --> 00:17:13.580]   God is gracious He draws near though I retreat
[00:17:13.580 --> 00:17:14.580]   God is gracious He draws near though I retreat
[00:17:14.580 --> 00:17:15.580]   God is gracious He draws near though I retreat
[00:17:15.580 --> 00:17:16.580]   God is gracious He draws near though I retreat
[00:17:16.580 --> 00:17:17.580]   God is gracious He draws near though I retreat
[00:17:17.580 --> 00:17:18.580]   God is gracious near though I retreat
[00:17:18.580 --> 00:17:19.580]   God is gracious near though I retreat
[00:17:19.580 --> 00:17:20.580]   God is gracious near though I retreat
[00:17:20.580 --> 00:17:21.580]   God is gracious near though I retreat
[00:17:21.580 --> 00:17:23.580]   God is gracious near though I retreat
[00:17:23.580 --> 00:17:25.580]   God is gracious near though I retreat
[00:17:25.580 --> 00:17:26.580]   God is gracious near though I retreat
[00:17:26.580 --> 00:17:27.580]   God is gracious near though I retreat
[00:17:27.580 --> 00:17:28.580]   God is gracious near though I retreat
[00:17:28.580 --> 00:17:29.580]   God is gracious near though I retreat
[00:17:29.580 --> 00:17:29.580]   God is gracious near the Lord I retreat
[00:17:29.580 --> 00:17:30.580]   God is gracious near the Lord I retreat
[00:17:30.580 --> 00:17:33.580]   God is gracious near though I retreat
[00:17:33.580 --> 00:17:34.580]   God is gracious near though I retreat
[00:17:34.580 --> 00:17:35.580]   God is gracious near though I retreat
[00:17:35.580 --> 00:17:36.580]   God is gracious near though I retreat
[00:17:36.580 --> 00:17:37.580]   God is gracious near though I retreat
[00:17:37.580 --> 00:17:38.580]   God is gracious near though I retreat
[00:17:38.580 --> 00:17:39.580]   God is gracious near though I retreat
[00:17:39.580 --> 00:17:40.580]   God is gracious near though I retreat
[00:17:40.580 --> 00:17:41.580]   God is gracious near though I retreat
[00:17:41.580 --> 00:17:42.580]   God is gracious near though I retreat
[00:17:42.580 --> 00:17:43.580]   God is gracious near though I retreat
[00:17:43.580 --> 00:17:44.580]   God is gracious near though I retreat
[00:17:44.580 --> 00:17:45.580]   God is gracious near though I retreat
[00:17:45.580 --> 00:17:46.580]   God is gracious near though I retreat
[00:17:46.580 --> 00:17:47.580]   God is gracious near though I retreat
[00:17:47.580 --> 00:17:49.580]   God is gracious near though I retreat
[00:17:49.580 --> 00:17:50.580]   God is gracious near though I retreat
[00:17:50.580 --> 00:17:51.580]   God is gracious near though I retreat
[00:17:51.580 --> 00:17:53.580]   God is gracious near though I retreat
[00:17:53.580 --> 00:17:53.580]   God is gracious near the Lord I retreat
[00:17:53.580 --> 00:17:54.580]   God is gracious near though I retreat
[00:17:54.580 --> 00:17:55.580]   God is gracious near though I retreat
[00:17:55.580 --> 00:17:56.580]   God is gracious near though I retreat
[00:17:56.580 --> 00:17:57.580]   God is gracious near though I retreat
[00:17:57.580 --> 00:17:58.580]   God is gracious near though I retreat
[00:17:58.580 --> 00:17:59.580]   God is gracious near though I retreat
[00:17:59.580 --> 00:18:00.580]   God is gracious near though I retreat
[00:18:00.580 --> 00:18:01.580]   God is gracious near though I retreat
[00:18:01.580 --> 00:18:02.580]   God is gracious near though I retreat
[00:18:02.580 --> 00:18:03.580]   God is gracious near though I retreat
[00:18:03.580 --> 00:18:04.580]   God is gracious near though I retreat
[00:18:04.580 --> 00:18:05.580]   God is gracious near though I retreat
[00:18:05.580 --> 00:18:06.580]   God is gracious near though I retreat
[00:18:06.580 --> 00:18:06.580]   God is gracious near though I retreat
[00:18:06.580 --> 00:18:07.580]   God is gracious near though I retreat
[00:18:07.580 --> 00:18:08.580]   God is gracious near though I retreat
[00:18:08.580 --> 00:18:08.580]   God is gracious near though I retreat
[00:18:08.580 --> 00:18:09.580]   God is gracious near though I retreat
[00:18:09.580 --> 00:18:10.580]   God is gracious near the Lord I retreat
[00:18:10.580 --> 00:18:13.580]   God is gracious near though I retreat
[00:18:13.580 --> 00:18:14.580]   God is gracious near the Lord I retreat
[00:18:14.580 --> 00:18:16.580]   God is gracious near the Lord I retreat
[00:18:16.580 --> 00:18:17.580]   God is gracious near the Lord I retreat
[00:18:17.580 --> 00:18:18.580]   God is gracious near the Lord I retreat
[00:18:18.580 --> 00:18:19.580]   God is gracious near the Lord I retreat
[00:18:19.580 --> 00:18:20.580]   God is gracious near the Lord I retreat
[00:18:20.580 --> 00:18:21.580]   God is gracious near the Lord I retreat
[00:18:21.580 --> 00:18:22.580]   God is gracious near the Lord I retreat
[00:18:22.580 --> 00:18:23.580]   God is gracious near the Lord I retreat
[00:18:23.580 --> 00:18:24.580]   God is gracious near the Lord I retreat
[00:18:24.580 --> 00:18:25.580]   God is gracious near the Lord I retreat
[00:18:25.580 --> 00:18:26.580]   God is gracious near the Lord I retreat
[00:18:26.580 --> 00:18:27.580]   God is gracious near the Lord I retreat
[00:18:27.580 --> 00:18:28.580]   God is gracious near the Lord I retreat
[00:18:28.580 --> 00:18:29.580]   God is gracious near the Lord I retreat
[00:18:29.580 --> 00:18:30.580]   God is gracious near the Lord I retreat
[00:18:30.580 --> 00:18:31.580]   God is gracious near the Lord I retreat
[00:18:31.580 --> 00:18:32.580]   God is gracious near the Lord I retreat
[00:18:32.580 --> 00:18:33.580]   God is gracious near the Lord I retreat
[00:18:33.580 --> 00:18:36.580]   God is gracious near the Lord I retreat
[00:18:36.580 --> 00:18:37.580]   God is gracious near the Lord I retreat
[00:18:37.580 --> 00:18:39.580]   God is gracious near the Lord I retreat
[00:18:39.580 --> 00:18:42.580]   God is gracious near the Lord I retreat
[00:18:42.580 --> 00:18:44.580]   God is gracious near the Lord I retreat
[00:18:44.580 --> 00:18:45.580]   God is gracious near the Lord I retreat
[00:18:45.580 --> 00:18:46.580]   God is gracious near the Lord I retreat
[00:18:46.580 --> 00:18:47.580]   God is gracious near the Lord I retreat
[00:18:47.580 --> 00:18:48.580]   God is gracious near the Lord I retreat
[00:18:48.580 --> 00:18:49.580]   God is gracious near the Lord I retreat
[00:18:49.580 --> 00:18:50.580]   God is gracious near the Lord I retreat
[00:18:50.580 --> 00:18:51.580]   God is gracious near the Lord I retreat
[00:18:51.580 --> 00:18:52.580]   God is gracious near the Lord I retreat
[00:18:52.580 --> 00:18:53.580]   God is gracious near the Lord I retreat
[00:18:53.580 --> 00:18:54.580]   God is gracious near the Lord I retreat
[00:18:54.580 --> 00:18:55.580]   God is gracious near the Lord I retreat
[00:18:55.580 --> 00:18:56.580]   God is gracious near the Lord I retreat
[00:18:56.580 --> 00:18:57.580]   God is gracious near the Lord I retreat
[00:18:57.580 --> 00:18:58.580]   God is gracious near the Lord I retreat
[00:18:58.580 --> 00:19:00.580]   God is gracious near the Lord I retreat
[00:19:00.580 --> 00:19:01.580]   God is gracious near the Lord I retreat
[00:19:01.580 --> 00:19:02.580]   God is gracious near the Lord I retreat
[00:19:02.580 --> 00:19:04.580]   God is gracious near the Lord I retreat
[00:19:04.580 --> 00:19:05.580]   God is gracious near the Lord I retreat
[00:19:05.580 --> 00:19:07.580]   God is gracious near the Lord I retreat
[00:19:07.580 --> 00:19:08.580]   God is gracious near the Lord I retreat
[00:19:08.580 --> 00:19:09.580]   God is gracious near the Lord I retreat
[00:19:09.580 --> 00:19:10.580]   God is gracious near the Lord I retreat
[00:19:10.580 --> 00:19:11.580]   God is gracious near the Lord I retreat
[00:19:11.580 --> 00:19:12.580]   God is gracious near the Lord I retreat
[00:19:12.580 --> 00:19:13.580]   God is gracious near the Lord I retreat
[00:19:13.580 --> 00:19:14.580]   God is gracious near the Lord I retreat
[00:19:14.580 --> 00:19:15.580]   God is gracious near the Lord I retreat
[00:19:15.580 --> 00:19:15.580]   God is gracious near the Lord I retreat
[00:19:15.580 --> 00:19:16.580]   God is gracious near the Lord I retreat
[00:19:16.580 --> 00:19:17.580]   God is gracious near the Lord I retreat
[00:19:17.580 --> 00:19:18.580]   God is gracious near the Lord I retreat
[00:19:18.580 --> 00:19:19.580]   God is gracious near the Lord I retreat
[00:19:19.580 --> 00:19:21.580]   God is gracious near the Lord I retreat
[00:19:21.580 --> 00:19:22.580]   God is gracious near the Lord I retreat
[00:19:22.580 --> 00:19:23.580]   God is gracious near the Lord I retreat
[00:19:23.580 --> 00:19:25.580]   God is gracious near the Lord I retreat
[00:19:25.580 --> 00:19:27.580]   God is gracious near the Lord I retreat
[00:19:27.580 --> 00:19:28.580]   God is gracious near the Lord I retreat
[00:19:28.580 --> 00:19:29.580]   God is gracious near the Lord I retreat
[00:19:29.580 --> 00:19:30.580]   God is gracious near the Lord I retreat
[00:19:30.580 --> 00:19:31.580]   God is gracious near the Lord I retreat
[00:19:31.580 --> 00:19:32.580]   God is gracious near the Lord I retreat
[00:19:32.580 --> 00:19:33.580]   God is gracious near the Lord I retreat
[00:19:33.580 --> 00:19:34.580]   God is gracious near the Lord I retreat
[00:19:34.580 --> 00:19:35.580]   God is gracious near the Lord I retreat
[00:19:35.580 --> 00:19:36.580]   God is gracious near the Lord I retreat
[00:19:36.580 --> 00:19:37.580]   God is gracious near the Lord I retreat
[00:19:37.580 --> 00:19:38.580]   God is gracious near the Lord I retreat
[00:19:38.580 --> 00:19:39.580]   God is gracious near the Lord I retreat
[00:19:39.580 --> 00:19:40.580]   God is gracious near the Lord I retreat
[00:19:40.580 --> 00:19:41.580]   God is gracious near the Lord I retreat
[00:19:41.580 --> 00:19:42.580]   God is gracious near the Lord I retreat
[00:19:42.580 --> 00:19:43.580]   God is gracious near the Lord I retreat
[00:19:43.580 --> 00:19:45.580]   God is gracious near the Lord I retreat
[00:19:45.580 --> 00:19:46.580]   God is gracious near the Lord I retreat
[00:19:46.580 --> 00:19:48.580]   God is gracious near the Lord I retreat
[00:19:48.580 --> 00:19:49.580]   God is gracious near the Lord I retreat
[00:19:49.580 --> 00:19:50.580]   God is gracious near the Lord I retreat
[00:19:50.580 --> 00:19:51.580]   God is gracious near the Lord I retreat
[00:19:51.580 --> 00:19:52.580]   God is gracious near the Lord I retreat
[00:19:52.580 --> 00:19:53.580]   God is gracious near the Lord I retreat
[00:19:53.580 --> 00:19:54.580]   God is gracious near the Lord I retreat
[00:19:54.580 --> 00:19:55.580]   God is gracious near the Lord I retreat
[00:19:55.580 --> 00:19:56.580]   God is gracious near the Lord I retreat
[00:19:56.580 --> 00:19:57.580]   God is gracious near the Lord I retreat
[00:19:57.580 --> 00:19:58.580]   God is gracious near the Lord I retreat
[00:19:58.580 --> 00:19:59.580]   God is gracious near the Lord I retreat
[00:19:59.580 --> 00:19:59.580]   God is gracious near the Lord I retreat
[00:19:59.580 --> 00:20:00.580]   God is gracious near the Lord I retreat
[00:20:00.580 --> 00:20:01.580]   God is gracious near the Lord I retreat
[00:20:01.580 --> 00:20:01.580]   God is gracious near the Lord I retreat
[00:20:01.580 --> 00:20:02.580]   God is gracious near the Lord I retreat
[00:20:02.580 --> 00:20:03.580]   God is gracious near the Lord I retreat
[00:20:03.580 --> 00:20:03.580]   God is gracious near the Lord I retreat
[00:20:03.580 --> 00:20:04.580]   God is gracious near the Lord I retreat
[00:20:04.580 --> 00:20:05.580]   God is gracious near the Lord I retreat
[00:20:05.580 --> 00:20:07.580]   God is gracious near the Lord I retreat
[00:20:07.580 --> 00:20:09.580]   God is gracious near the Lord I retreat
[00:20:09.580 --> 00:20:10.580]   God is gracious near the Lord I retreat
[00:20:10.580 --> 00:20:11.580]   God is gracious near the Lord I retreat
[00:20:11.580 --> 00:20:12.580]   God is gracious near the Lord I retreat
[00:20:12.580 --> 00:20:13.580]   God is gracious near the Lord I retreat
[00:20:13.580 --> 00:20:14.580]   God is gracious near the Lord I retreat
[00:20:14.580 --> 00:20:15.580]   God is gracious near the Lord I retreat
[00:20:15.580 --> 00:20:16.580]   God is gracious near the Lord I retreat
[00:20:16.580 --> 00:20:17.580]   God is gracious near the Lord I retreat
[00:20:17.580 --> 00:20:18.580]   God is gracious near the Lord I retreat
[00:20:18.580 --> 00:20:19.580]   God is gracious near the Lord I retreat
[00:20:19.580 --> 00:20:20.580]   God is gracious near the Lord I retreat
[00:20:20.580 --> 00:20:21.580]   God is gracious near the Lord I retreat
[00:20:21.580 --> 00:20:22.580]   God is gracious near the Lord I retreat
[00:20:22.580 --> 00:20:23.580]   God is gracious near the Lord I retreat
[00:20:23.580 --> 00:20:24.580]   God is gracious near the Lord I retreat
[00:20:24.580 --> 00:20:26.580]   God is gracious near the Lord I retreat
[00:20:26.580 --> 00:20:28.580]   God is gracious near the Lord I retreat
[00:20:28.580 --> 00:20:30.580]   God is gracious near the Lord I retreat
[00:20:30.580 --> 00:20:31.580]   God is gracious near the Lord I retreat
[00:20:31.580 --> 00:20:32.580]   God is gracious near the Lord I retreat
[00:20:32.580 --> 00:20:33.580]   God is gracious near the Lord I retreat
[00:20:33.580 --> 00:20:34.580]   God is gracious near the Lord I retreat
[00:20:34.580 --> 00:20:35.580]   God is gracious near the Lord I retreat
[00:20:35.580 --> 00:20:36.580]   God is gracious near the Lord I retreat
[00:20:36.580 --> 00:20:37.580]   God is gracious near the Lord I retreat
[00:20:37.580 --> 00:20:38.580]   God is gracious near the Lord I retreat
[00:20:38.580 --> 00:20:39.580]   God is gracious near the Lord I retreat
[00:20:39.580 --> 00:20:40.580]   God is gracious near the Lord I retreat
[00:20:40.580 --> 00:20:41.580]   God is gracious near the Lord I retreat
[00:20:41.580 --> 00:20:42.580]   God is gracious near the Lord I retreat
[00:20:42.580 --> 00:20:43.580]   God is gracious near the Lord I retreat
[00:20:43.580 --> 00:20:43.580]   God is gracious near the Lord I retreat
[00:20:43.580 --> 00:20:44.580]   God is gracious near the Lord I retreat
[00:20:44.580 --> 00:20:45.580]   God is gracious near the Lord I retreat
[00:20:45.580 --> 00:20:46.580]   God is gracious near the Lord I retreat
[00:20:46.580 --> 00:20:47.580]   God is gracious near the Lord I retreat
[00:20:47.580 --> 00:20:48.580]   God is gracious near the Lord I retreat
[00:20:48.580 --> 00:20:49.580]   God is gracious near the Lord I retreat
[00:20:49.580 --> 00:20:50.580]   God is gracious near the Lord I retreat
[00:20:50.580 --> 00:20:51.580]   God is gracious near the Lord I retreat
[00:20:51.580 --> 00:20:54.580]   God is gracious near the Lord I retreat
[00:20:54.580 --> 00:20:55.580]   God is gracious near the Lord I retreat
[00:20:55.580 --> 00:20:56.580]   God is gracious near the Lord I retreat
[00:20:56.580 --> 00:20:57.580]   God is gracious near the Lord I retreat
[00:20:57.580 --> 00:20:58.580]   God is gracious near the Lord I retreat
[00:20:58.580 --> 00:20:59.580]   God is gracious near the Lord I retreat
