
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:06:30.200 --> 00:06:34.200]   And, God, we are gathered wanting to grow
[00:06:34.200 --> 00:06:36.200]   from your powerful Word.
[00:06:36.200 --> 00:06:38.200]   We're gathered wanting to worship
[00:06:38.200 --> 00:06:42.200]   the Lord who is in our midst.
[00:06:42.200 --> 00:06:45.200]   And I pray, Father God, that all the energy,
[00:06:45.200 --> 00:06:47.200]   the time, preparation,
[00:06:47.200 --> 00:06:49.200]   that all these things, Father God,
[00:06:49.200 --> 00:06:52.200]   would be so beneficial to our faith.
[00:06:52.200 --> 00:06:54.200]   God, help us as we study
[00:06:54.200 --> 00:06:56.200]   and look intently into your Word
[00:06:56.200 --> 00:06:59.200]   to see greater measures of your character.
[00:06:59.200 --> 00:07:02.200]   Help us, Father God, to appreciate you
[00:07:02.200 --> 00:07:05.200]   to a greater degree
[00:07:05.200 --> 00:07:07.200]   and to know even to greater depths
[00:07:07.200 --> 00:07:09.200]   the sacrifice of our Lord.
[00:07:09.200 --> 00:07:11.200]   And in this way, God, help us,
[00:07:11.200 --> 00:07:13.200]   even if there aren't necessarily something to do
[00:07:13.200 --> 00:07:15.200]   or a task at hand,
[00:07:15.200 --> 00:07:17.200]   that ultimately we would just be growing
[00:07:17.200 --> 00:07:19.200]   in our affections for the Lord.
[00:07:19.200 --> 00:07:21.200]   So now, as we sing to you, God,
[00:07:21.200 --> 00:07:23.200]   I do pray that as we join,
[00:07:23.200 --> 00:07:25.200]   not just in voice but in heart,
[00:07:25.200 --> 00:07:27.200]   we want to exalt you and lift you up.
[00:07:27.200 --> 00:07:29.200]   It's in Christ's name, amen.
[00:07:29.200 --> 00:07:47.200]   [music]
[00:07:47.200 --> 00:07:54.200]   There's no one like you, my Lord
[00:07:54.200 --> 00:08:01.200]   No one could take your place
[00:08:01.200 --> 00:08:08.200]   My heart beats to worship you
[00:08:08.200 --> 00:08:15.200]   I live just to seek your face
[00:08:15.200 --> 00:08:22.200]   There's no one like you, my Lord
[00:08:22.200 --> 00:08:29.200]   No one could take your place
[00:08:29.200 --> 00:08:37.200]   There's no one like you, my Lord
[00:08:37.200 --> 00:08:44.200]   No one like you
[00:08:44.200 --> 00:08:51.200]   You are my God
[00:08:51.200 --> 00:08:58.200]   You're everything to me
[00:08:58.200 --> 00:09:06.200]   There's no one like you, my Lord
[00:09:06.200 --> 00:09:13.200]   No one like you
[00:09:13.200 --> 00:09:20.200]   You are my God
[00:09:20.200 --> 00:09:27.200]   You're everything to me
[00:09:27.200 --> 00:09:35.200]   There's no one like you, my Lord
[00:09:35.200 --> 00:09:40.200]   No one like you
[00:09:40.200 --> 00:09:42.200]   There's no one like you
[00:09:42.200 --> 00:09:49.200]   There's no one like you, my Lord
[00:09:49.200 --> 00:09:56.200]   No one could take your place
[00:09:56.200 --> 00:10:03.200]   I long for your presence, Lord
[00:10:03.200 --> 00:10:10.200]   To serve you is my reward
[00:10:10.200 --> 00:10:18.200]   There's no one like you, my Lord
[00:10:18.200 --> 00:10:25.200]   No one could take your place
[00:10:25.200 --> 00:10:32.200]   There's no one like you, my Lord
[00:10:32.200 --> 00:10:39.200]   No one like you
[00:10:39.200 --> 00:10:46.200]   You are my God
[00:10:46.200 --> 00:10:53.200]   You're everything to me
[00:10:53.200 --> 00:11:01.200]   There's no one like you, my Lord
[00:11:01.200 --> 00:11:08.200]   No one like you
[00:11:08.200 --> 00:11:15.200]   You are my God
[00:11:15.200 --> 00:11:22.200]   You're everything to me
[00:11:22.200 --> 00:11:30.200]   There's no one like you, my Lord
[00:11:30.200 --> 00:11:37.200]   No one like you
[00:11:37.200 --> 00:11:44.200]   You are my God
[00:11:44.200 --> 00:11:51.200]   You're everything to me
[00:11:51.200 --> 00:11:59.200]   There's no one like you, my Lord
[00:11:59.200 --> 00:12:04.200]   No one like you
[00:12:05.200 --> 00:12:19.200]   [Guitar playing]
[00:12:19.200 --> 00:12:22.200]   Grace and Peace
[00:12:22.200 --> 00:12:25.200]   Grace and Peace
[00:12:25.200 --> 00:12:29.200]   Oh, how can this be
[00:12:29.200 --> 00:12:32.200]   For lawbreakers and thieves
[00:12:32.200 --> 00:12:37.200]   For the worthless, the least
[00:12:37.200 --> 00:12:40.200]   You have said
[00:12:40.200 --> 00:12:44.200]   That our judgment is death
[00:12:44.200 --> 00:12:47.200]   For all eternity
[00:12:47.200 --> 00:12:54.200]   Without hope, without rest
[00:12:54.200 --> 00:12:59.200]   Oh, what an amazing mystery
[00:12:59.200 --> 00:13:03.200]   What an amazing mystery
[00:13:03.200 --> 00:13:07.200]   That your grace has come to me
[00:13:07.200 --> 00:13:21.200]   [Guitar playing]
[00:13:21.200 --> 00:13:24.200]   Grace and Peace
[00:13:24.200 --> 00:13:28.200]   Oh, how can this be
[00:13:28.200 --> 00:13:31.200]   The matchless King of all
[00:13:31.200 --> 00:13:36.200]   Paid the blood price for me
[00:13:36.200 --> 00:13:39.200]   Slaughtered Lamb
[00:13:39.200 --> 00:13:43.200]   What atonement you bring
[00:13:43.200 --> 00:13:46.200]   The vilest sinner's heart
[00:13:46.200 --> 00:13:53.200]   Can be cleansed, can be free
[00:13:53.200 --> 00:13:58.200]   Oh, what an amazing mystery
[00:13:58.200 --> 00:14:02.200]   What an amazing mystery
[00:14:02.200 --> 00:14:06.200]   That your grace has come to me
[00:14:06.200 --> 00:14:20.200]   [Guitar playing]
[00:14:20.200 --> 00:14:23.200]   Grace and Peace
[00:14:23.200 --> 00:14:27.200]   Oh, how can this be
[00:14:27.200 --> 00:14:30.200]   But songs of gratefulness
[00:14:30.200 --> 00:14:35.200]   Ever rise, never cease
[00:14:35.200 --> 00:14:38.200]   Loved by God
[00:14:38.200 --> 00:14:42.200]   And called as a saint
[00:14:42.200 --> 00:14:45.200]   My heart is satisfied
[00:14:45.200 --> 00:14:52.200]   In the riches of Christ
[00:14:52.200 --> 00:14:57.200]   Oh, what an amazing mystery
[00:14:57.200 --> 00:15:01.200]   What an amazing mystery
[00:15:01.200 --> 00:15:05.200]   That your grace has come to me
[00:15:05.200 --> 00:15:19.200]   [Guitar playing]
[00:15:19.200 --> 00:15:23.200]   Oh, what an amazing love I see
[00:15:23.200 --> 00:15:27.200]   What an amazing love I see
[00:15:27.200 --> 00:15:33.200]   That your grace has come to me
[00:15:33.200 --> 00:15:38.200]   Oh, what an amazing love I see
[00:15:38.200 --> 00:15:42.200]   What an amazing love I see
[00:15:42.200 --> 00:15:48.200]   That your grace has come to me
[00:15:48.200 --> 00:16:03.200]   [Guitar playing]
[00:16:03.200 --> 00:16:08.200]   Oh, what an amazing love I see
[00:16:08.200 --> 00:16:12.200]   What an amazing love I see
[00:16:12.200 --> 00:16:18.200]   That your grace has come to me
[00:16:18.200 --> 00:16:23.200]   Oh, what an amazing love I see
[00:16:23.200 --> 00:16:27.200]   What an amazing love I see
[00:16:27.200 --> 00:16:32.200]   That your grace has come to me
[00:16:32.200 --> 00:16:35.200]   [Guitar playing]
[00:16:35.200 --> 00:16:39.200]   Father, we thank you for who you are.
[00:16:39.200 --> 00:16:44.200]   We thank you for the grace that you've shown to us
[00:16:44.200 --> 00:16:48.200]   in sending Christ down to live on this earth,
[00:16:48.200 --> 00:16:50.200]   to live a perfect life,
[00:16:50.200 --> 00:16:53.200]   to be our great high priest,
[00:16:53.200 --> 00:16:55.200]   came to fulfill the law.
[00:16:55.200 --> 00:16:59.200]   We thank you so much and we pray that
[00:16:59.200 --> 00:17:01.200]   with what we read today,
[00:17:01.200 --> 00:17:05.200]   would it be a reminder of our admiration
[00:17:05.200 --> 00:17:07.200]   and the gratefulness of Christ
[00:17:07.200 --> 00:17:11.200]   and how Christ is the ultimate sacrifice, Lord.
[00:17:11.200 --> 00:17:14.200]   We pray you'd be with us tonight.
[00:17:14.200 --> 00:17:17.200]   We pray for a fruitful time of discussion.
[00:17:17.200 --> 00:17:18.200]   We thank you, Lord.
[00:17:18.200 --> 00:17:20.200]   We love you and pray all this in your name.
[00:17:20.200 --> 00:17:23.200]   Amen.
[00:17:23.200 --> 00:17:25.200]   All right.
[00:17:25.200 --> 00:17:26.200]   Welcome again, everybody.
[00:17:26.200 --> 00:17:27.200]   For those of you guys at the door,
[00:17:27.200 --> 00:17:29.200]   you guys can come on in.
[00:17:29.200 --> 00:17:32.200]   Please note that the cafe next week
[00:17:32.200 --> 00:17:35.200]   will be open on Friday the 28th.
[00:17:35.200 --> 00:17:37.200]   We're really grateful for our volunteers
[00:17:37.200 --> 00:17:39.200]   who are manning the cafe there.
[00:17:39.200 --> 00:17:42.200]   Whenever we have an evening event,
[00:17:42.200 --> 00:17:44.200]   they're trying to open up the cafe
[00:17:44.200 --> 00:17:46.200]   so you guys can do your studies,
[00:17:46.200 --> 00:17:47.200]   your work, et cetera.
[00:17:47.200 --> 00:17:49.200]   So please take advantage of that.
[00:17:49.200 --> 00:17:52.200]   That's Friday the 28th from 10.30 a.m.
[00:17:52.200 --> 00:17:54.200]   The cafe will be open.
[00:17:54.200 --> 00:17:56.200]   And so aligned with that,
[00:17:56.200 --> 00:17:59.200]   next week is gonna be our all church praise and prayer.
[00:17:59.200 --> 00:18:04.200]   Please make sure to show up at 7.30 at the latest.
[00:18:04.200 --> 00:18:05.200]   Come on into the sanctuary
[00:18:05.200 --> 00:18:08.200]   where we're gonna be having extended time of worship,
[00:18:08.200 --> 00:18:10.200]   of our personal and corporate prayer.
[00:18:10.200 --> 00:18:12.200]   Okay, so please note that on your calendar.
[00:18:12.200 --> 00:18:16.200]   So again, no Bible study, praise and prayer next week.
[00:18:16.200 --> 00:18:20.200]   I'd like to highlight the Women's Ministry Tea Time event.
[00:18:20.200 --> 00:18:22.200]   So for all the sisters,
[00:18:22.200 --> 00:18:24.200]   this is a special opportunity for you
[00:18:24.200 --> 00:18:27.200]   to get together in smaller mixed affinity.
[00:18:27.200 --> 00:18:29.200]   Okay, so the groups will be mixed
[00:18:29.200 --> 00:18:31.200]   throughout various homes.
[00:18:31.200 --> 00:18:34.200]   The last call for signups is happening now.
[00:18:34.200 --> 00:18:36.200]   So please make sure you get on the app
[00:18:36.200 --> 00:18:39.200]   or go ahead and click that QR code
[00:18:39.200 --> 00:18:43.200]   and sign up to participate in that fellowship time.
[00:18:43.200 --> 00:18:46.200]   And then as you guys know,
[00:18:46.200 --> 00:18:48.200]   we have been announcing our Passion Week
[00:18:48.200 --> 00:18:50.200]   that the time goes fast
[00:18:50.200 --> 00:18:52.200]   and it'll be quickly around the corner.
[00:18:52.200 --> 00:18:55.200]   For all of you guys who have not ever experienced
[00:18:55.200 --> 00:18:57.200]   doing the Passover meal,
[00:18:57.200 --> 00:18:59.200]   we really do encourage you to participate in that
[00:18:59.200 --> 00:19:02.200]   because it'll be just an awesome time
[00:19:02.200 --> 00:19:08.200]   seeing how the ritual really points and directs to Christ.
[00:19:08.200 --> 00:19:11.200]   So that one particularly is at 6.30 p.m.
[00:19:11.200 --> 00:19:14.200]   on Thursday night, April 17th,
[00:19:14.200 --> 00:19:16.200]   here in the Fellowship Hall in the cafe.
[00:19:16.200 --> 00:19:18.200]   So sign up for that.
[00:19:18.200 --> 00:19:21.200]   You do have to pre-register to participate.
[00:19:21.200 --> 00:19:24.200]   And then for Passion Week,
[00:19:24.200 --> 00:19:25.200]   as you guys have heard,
[00:19:25.200 --> 00:19:27.200]   there's going to be so many things
[00:19:27.200 --> 00:19:29.200]   moving throughout the entirety of the week.
[00:19:29.200 --> 00:19:32.200]   We'd love to enlist some volunteers to help out
[00:19:32.200 --> 00:19:34.200]   with everything from setup
[00:19:34.200 --> 00:19:36.200]   to food prep and parking and more.
[00:19:36.200 --> 00:19:38.200]   So if you'd like to help out and volunteer that day,
[00:19:38.200 --> 00:19:40.200]   please go ahead and click that link
[00:19:40.200 --> 00:19:42.200]   and then volunteer your time.
[00:19:42.200 --> 00:19:47.200]   The last announcement is for those of you who are new.
[00:19:47.200 --> 00:19:50.200]   We have a membership class that's going to start
[00:19:50.200 --> 00:19:52.200]   on April 27th.
[00:19:52.200 --> 00:19:54.200]   That's a Sunday from 9.30.
[00:19:54.200 --> 00:19:55.200]   It's an eight-week course,
[00:19:55.200 --> 00:19:58.200]   but it will cover all the foundational doctrines
[00:19:58.200 --> 00:20:00.200]   of the church and our church practices.
[00:20:00.200 --> 00:20:02.200]   So we welcome you to sign up for that
[00:20:02.200 --> 00:20:05.200]   if you're interested in membership here at church.
[00:20:05.200 --> 00:20:08.200]   Okay, so that's all the announcements.
[00:20:08.200 --> 00:20:09.200]   Please go into your discussion time,
[00:20:09.200 --> 00:20:11.200]   and then we'll see you guys at 8.
[00:20:11.200 --> 00:20:14.200]   [indistinct chatter]
[00:20:14.200 --> 00:20:17.200]   [indistinct chatter]
[00:20:17.200 --> 00:20:20.200]   [indistinct chatter]
[00:20:21.200 --> 00:20:24.200]   [indistinct chatter]
[00:20:24.200 --> 00:20:27.200]   [indistinct chatter]
[00:20:27.200 --> 00:20:30.200]   [indistinct chatter]
[00:20:30.200 --> 00:20:33.200]   [indistinct chatter]
[00:20:33.200 --> 00:20:36.200]   [indistinct chatter]
[00:20:36.200 --> 00:20:39.200]   [indistinct chatter]
[00:20:39.200 --> 00:20:49.200]   [BLANK_AUDIO]
[00:20:49.200 --> 00:20:59.200]   [BLANK_AUDIO]
[00:20:59.200 --> 00:21:09.200]   [BLANK_AUDIO]
[00:21:09.200 --> 00:21:19.200]   [BLANK_AUDIO]
[00:21:19.200 --> 00:21:29.200]   [BLANK_AUDIO]
[00:21:29.200 --> 00:21:39.200]   [BLANK_AUDIO]
[00:21:39.200 --> 00:21:49.200]   [BLANK_AUDIO]
[00:21:49.200 --> 00:21:59.200]   [BLANK_AUDIO]
[00:21:59.200 --> 00:22:09.200]   [BLANK_AUDIO]
[00:22:09.200 --> 00:22:19.200]   [BLANK_AUDIO]
[00:22:19.200 --> 00:22:29.200]   [BLANK_AUDIO]
[00:22:29.200 --> 00:22:39.200]   [BLANK_AUDIO]
[00:22:39.200 --> 00:22:49.200]   [BLANK_AUDIO]
[00:22:49.200 --> 00:22:59.200]   [BLANK_AUDIO]
[00:22:59.200 --> 00:23:09.200]   [BLANK_AUDIO]
[00:23:09.200 --> 00:23:19.200]   [BLANK_AUDIO]
[00:23:19.200 --> 00:23:29.200]   [BLANK_AUDIO]
[00:23:29.200 --> 00:23:39.200]   [BLANK_AUDIO]
[00:23:39.200 --> 00:23:49.200]   [BLANK_AUDIO]
[00:23:49.200 --> 00:23:59.200]   [BLANK_AUDIO]
[00:23:59.200 --> 00:24:09.200]   [BLANK_AUDIO]
[00:24:09.200 --> 00:24:19.200]   [BLANK_AUDIO]
[00:24:19.200 --> 00:24:29.200]   [BLANK_AUDIO]
[00:24:29.200 --> 00:24:39.200]   [BLANK_AUDIO]
[00:24:39.200 --> 00:24:49.200]   [BLANK_AUDIO]
[00:24:49.200 --> 00:24:59.200]   [BLANK_AUDIO]
[00:24:59.200 --> 00:25:09.200]   [BLANK_AUDIO]
[00:25:09.200 --> 00:25:19.200]   [BLANK_AUDIO]
[00:25:19.200 --> 00:25:29.200]   [BLANK_AUDIO]
[00:25:29.200 --> 00:25:39.200]   [BLANK_AUDIO]
[00:25:39.200 --> 00:25:49.200]   [BLANK_AUDIO]
[00:25:49.200 --> 00:25:59.200]   [BLANK_AUDIO]
[00:25:59.200 --> 00:26:19.200]   [BLANK_AUDIO]
[00:26:19.200 --> 00:26:29.200]   [BLANK_AUDIO]
[00:26:29.200 --> 00:26:39.200]   [BLANK_AUDIO]
[00:26:39.200 --> 00:26:49.200]   [BLANK_AUDIO]
[00:26:49.200 --> 00:26:59.200]   [BLANK_AUDIO]
[00:26:59.200 --> 00:27:09.200]   [BLANK_AUDIO]
[00:27:09.200 --> 00:27:19.200]   [BLANK_AUDIO]
[00:27:19.200 --> 00:27:29.200]   [BLANK_AUDIO]
[00:27:29.200 --> 00:27:39.200]   [BLANK_AUDIO]
[00:27:39.200 --> 00:27:49.200]   [BLANK_AUDIO]
[00:27:49.200 --> 00:27:59.200]   [BLANK_AUDIO]
[00:27:59.200 --> 00:28:09.200]   [BLANK_AUDIO]
[00:28:09.200 --> 00:28:19.200]   [BLANK_AUDIO]
[00:28:19.200 --> 00:28:29.200]   [BLANK_AUDIO]
[00:28:29.200 --> 00:28:39.200]   [BLANK_AUDIO]
[00:28:39.200 --> 00:28:49.200]   [BLANK_AUDIO]
[00:28:49.200 --> 00:28:59.200]   [BLANK_AUDIO]
[00:28:59.200 --> 00:29:09.200]   [BLANK_AUDIO]
[00:29:09.200 --> 00:29:19.200]   [BLANK_AUDIO]
[00:29:19.200 --> 00:29:29.200]   [BLANK_AUDIO]
[00:29:29.200 --> 00:29:49.200]   [BLANK_AUDIO]
[00:29:49.200 --> 00:29:59.200]   [BLANK_AUDIO]
[00:29:59.200 --> 00:30:09.200]   [BLANK_AUDIO]
[00:30:09.200 --> 00:30:19.200]   [BLANK_AUDIO]
[00:30:19.200 --> 00:30:29.200]   [BLANK_AUDIO]
[00:30:29.200 --> 00:30:39.200]   [BLANK_AUDIO]
[00:30:39.200 --> 00:30:49.200]   [BLANK_AUDIO]
[00:30:49.200 --> 00:30:59.200]   [BLANK_AUDIO]
[00:30:59.200 --> 00:31:09.200]   [BLANK_AUDIO]
[00:31:09.200 --> 00:31:19.200]   [BLANK_AUDIO]
[00:31:19.200 --> 00:31:29.200]   [BLANK_AUDIO]
[00:31:29.200 --> 00:31:39.200]   [BLANK_AUDIO]
[00:31:39.200 --> 00:31:49.200]   [BLANK_AUDIO]
[00:31:49.200 --> 00:31:59.200]   [BLANK_AUDIO]
[00:31:59.200 --> 00:32:09.200]   [BLANK_AUDIO]
[00:32:09.200 --> 00:32:19.200]   [BLANK_AUDIO]
[00:32:19.200 --> 00:32:29.200]   [BLANK_AUDIO]
[00:32:29.200 --> 00:32:39.200]   [BLANK_AUDIO]
[00:32:39.200 --> 00:32:49.200]   [BLANK_AUDIO]
[00:32:49.200 --> 00:32:59.200]   [BLANK_AUDIO]
[00:32:59.200 --> 00:33:09.200]   [BLANK_AUDIO]
[00:33:09.200 --> 00:33:19.200]   [BLANK_AUDIO]
[00:33:19.200 --> 00:33:29.200]   [BLANK_AUDIO]
[00:33:29.200 --> 00:33:39.200]   [BLANK_AUDIO]
[00:33:39.200 --> 00:33:49.200]   [BLANK_AUDIO]
[00:33:49.200 --> 00:33:59.200]   [BLANK_AUDIO]
[00:33:59.200 --> 00:34:09.200]   [BLANK_AUDIO]
[00:34:09.200 --> 00:34:19.200]   [BLANK_AUDIO]
[00:34:19.200 --> 00:34:29.200]   [BLANK_AUDIO]
[00:34:29.200 --> 00:34:39.200]   [BLANK_AUDIO]
[00:34:39.200 --> 00:34:49.200]   [BLANK_AUDIO]
[00:34:49.200 --> 00:34:59.200]   [BLANK_AUDIO]
[00:34:59.200 --> 00:35:09.200]   [BLANK_AUDIO]
[00:35:09.200 --> 00:35:19.200]   [BLANK_AUDIO]
[00:35:19.200 --> 00:35:29.200]   [BLANK_AUDIO]
[00:35:29.200 --> 00:35:39.200]   [BLANK_AUDIO]
[00:35:39.200 --> 00:35:49.200]   [BLANK_AUDIO]
[00:35:49.200 --> 00:35:59.200]   [BLANK_AUDIO]
[00:35:59.200 --> 00:36:09.200]   [BLANK_AUDIO]
[00:36:09.200 --> 00:36:19.200]   [BLANK_AUDIO]
[00:36:19.200 --> 00:36:29.200]   [BLANK_AUDIO]
[00:36:29.200 --> 00:36:39.200]   [BLANK_AUDIO]
[00:36:39.200 --> 00:36:49.200]   [BLANK_AUDIO]
[00:36:49.200 --> 00:36:59.200]   [BLANK_AUDIO]
[00:36:59.200 --> 00:37:19.200]   [BLANK_AUDIO]
[00:37:19.200 --> 00:37:29.200]   [BLANK_AUDIO]
[00:37:29.200 --> 00:37:39.200]   [BLANK_AUDIO]
[00:37:39.200 --> 00:37:49.200]   [BLANK_AUDIO]
[00:37:49.200 --> 00:37:59.200]   [BLANK_AUDIO]
[00:37:59.200 --> 00:38:09.200]   [BLANK_AUDIO]
[00:38:09.200 --> 00:38:19.200]   [BLANK_AUDIO]
[00:38:19.200 --> 00:38:29.200]   [BLANK_AUDIO]
[00:38:29.200 --> 00:38:39.200]   [BLANK_AUDIO]
[00:38:39.200 --> 00:38:49.200]   [BLANK_AUDIO]
[00:38:49.200 --> 00:38:59.200]   [BLANK_AUDIO]
[00:38:59.200 --> 00:39:09.200]   [BLANK_AUDIO]
[00:39:09.200 --> 00:39:19.200]   [BLANK_AUDIO]
[00:39:19.200 --> 00:39:29.200]   [BLANK_AUDIO]
[00:39:29.200 --> 00:39:39.200]   [BLANK_AUDIO]
[00:39:39.200 --> 00:39:49.200]   [BLANK_AUDIO]
[00:39:49.200 --> 00:39:59.200]   [BLANK_AUDIO]
[00:39:59.200 --> 00:40:09.200]   [BLANK_AUDIO]
[00:40:09.200 --> 00:40:19.200]   [BLANK_AUDIO]
[00:40:19.200 --> 00:40:29.200]   [BLANK_AUDIO]
[00:40:29.200 --> 00:40:39.200]   [BLANK_AUDIO]
[00:40:39.200 --> 00:40:49.200]   [BLANK_AUDIO]
[00:40:49.200 --> 00:40:59.200]   [BLANK_AUDIO]
[00:40:59.200 --> 00:41:09.200]   [BLANK_AUDIO]
[00:41:09.200 --> 00:41:19.200]   [BLANK_AUDIO]
[00:41:19.200 --> 00:41:29.200]   [BLANK_AUDIO]
[00:41:29.200 --> 00:41:39.200]   [BLANK_AUDIO]
[00:41:39.200 --> 00:41:49.200]   [BLANK_AUDIO]
[00:41:49.200 --> 00:42:09.200]   [BLANK_AUDIO]
[00:42:09.200 --> 00:42:19.200]   [BLANK_AUDIO]
[00:42:19.200 --> 00:42:29.200]   [BLANK_AUDIO]
[00:42:29.200 --> 00:42:39.200]   [BLANK_AUDIO]
[00:42:39.200 --> 00:42:49.200]   [BLANK_AUDIO]
[00:42:49.200 --> 00:42:59.200]   [BLANK_AUDIO]
[00:42:59.200 --> 00:43:09.200]   [BLANK_AUDIO]
[00:43:09.200 --> 00:43:19.200]   [BLANK_AUDIO]
[00:43:19.200 --> 00:43:29.200]   [BLANK_AUDIO]
[00:43:29.200 --> 00:43:39.200]   [BLANK_AUDIO]
[00:43:39.200 --> 00:43:49.200]   [BLANK_AUDIO]
[00:43:49.200 --> 00:43:59.200]   [BLANK_AUDIO]
[00:43:59.200 --> 00:44:09.200]   [BLANK_AUDIO]
[00:44:09.200 --> 00:44:19.200]   [BLANK_AUDIO]
[00:44:19.200 --> 00:44:29.200]   [BLANK_AUDIO]
[00:44:29.200 --> 00:44:39.200]   [BLANK_AUDIO]
[00:44:39.200 --> 00:44:49.200]   [BLANK_AUDIO]
[00:44:49.200 --> 00:44:59.200]   [BLANK_AUDIO]
[00:44:59.200 --> 00:45:09.200]   [BLANK_AUDIO]
[00:45:09.200 --> 00:45:19.200]   [BLANK_AUDIO]
[00:45:19.200 --> 00:45:29.200]   [BLANK_AUDIO]
[00:45:29.200 --> 00:45:39.200]   [BLANK_AUDIO]
[00:45:39.200 --> 00:45:49.200]   [BLANK_AUDIO]
[00:45:49.200 --> 00:45:59.200]   [BLANK_AUDIO]
[00:45:59.200 --> 00:46:09.200]   [BLANK_AUDIO]
[00:46:09.200 --> 00:46:19.200]   [BLANK_AUDIO]
[00:46:19.200 --> 00:46:29.200]   [BLANK_AUDIO]
[00:46:29.200 --> 00:46:39.200]   [BLANK_AUDIO]
[00:46:39.200 --> 00:46:49.200]   [BLANK_AUDIO]
[00:46:49.200 --> 00:46:59.200]   [BLANK_AUDIO]
[00:46:59.200 --> 00:47:09.200]   [BLANK_AUDIO]
[00:47:09.200 --> 00:47:19.200]   [BLANK_AUDIO]
[00:47:19.200 --> 00:47:29.200]   [BLANK_AUDIO]
[00:47:29.200 --> 00:47:39.200]   [BLANK_AUDIO]
[00:47:39.200 --> 00:47:49.200]   [BLANK_AUDIO]
