
[00:00:00.000 --> 00:00:28.980]   [ Music ]
[00:08:30.980 --> 00:08:40.980]   ♪ ♪
[00:08:40.980 --> 00:08:50.980]   ♪ ♪
[00:08:50.980 --> 00:09:00.980]   ♪ ♪
[00:09:00.980 --> 00:09:10.980]   ♪ ♪
[00:09:10.980 --> 00:09:20.980]   ♪ ♪
[00:09:20.980 --> 00:09:30.980]   ♪ ♪
[00:09:30.980 --> 00:09:40.980]   ♪ ♪
[00:09:40.980 --> 00:09:50.980]   ♪ ♪
[00:09:50.980 --> 00:10:00.980]   ♪ ♪
[00:10:00.980 --> 00:10:10.980]   ♪ ♪
[00:10:10.980 --> 00:10:20.980]   ♪ ♪
[00:10:20.980 --> 00:10:30.980]   ♪ ♪
[00:10:30.980 --> 00:10:40.980]   ♪ ♪
[00:10:40.980 --> 00:10:50.980]   ♪ ♪
[00:10:50.980 --> 00:11:00.980]   ♪ ♪
[00:11:00.980 --> 00:11:10.980]   ♪ ♪
[00:11:10.980 --> 00:11:20.980]   ♪ ♪
[00:11:20.980 --> 00:11:30.980]   ♪ ♪
[00:11:30.980 --> 00:11:40.980]   ♪ ♪
[00:11:40.980 --> 00:11:50.980]   ♪ ♪
[00:11:50.980 --> 00:12:00.980]   ♪ ♪
[00:12:00.980 --> 00:12:10.980]   ♪ ♪
[00:12:10.980 --> 00:12:20.980]   ♪ ♪
[00:12:20.980 --> 00:12:30.980]   ♪ ♪
[00:12:30.980 --> 00:12:40.980]   ♪ ♪
[00:12:40.980 --> 00:12:50.980]   ♪ ♪
[00:12:50.980 --> 00:13:00.980]   ♪ ♪
[00:13:00.980 --> 00:13:10.980]   ♪ ♪
[00:13:10.980 --> 00:13:20.980]   ♪ ♪
[00:13:20.980 --> 00:13:30.980]   ♪ ♪
[00:13:30.980 --> 00:13:40.980]   ♪ ♪
[00:13:40.980 --> 00:13:50.980]   ♪ ♪
[00:13:50.980 --> 00:14:00.980]   ♪ ♪
[00:14:00.980 --> 00:14:10.980]   ♪ ♪
[00:14:10.980 --> 00:14:20.980]   ♪ ♪
[00:14:20.980 --> 00:14:30.980]   ♪ ♪
[00:14:30.980 --> 00:14:40.980]   ♪ ♪
[00:14:40.980 --> 00:14:50.980]   ♪ ♪
[00:14:50.980 --> 00:15:00.980]   ♪ ♪
[00:15:00.980 --> 00:15:10.980]   ♪ ♪
[00:15:10.980 --> 00:15:20.980]   ♪ ♪
[00:15:20.980 --> 00:15:30.980]   ♪ ♪
[00:15:30.980 --> 00:15:40.980]   ♪ ♪
[00:15:40.980 --> 00:15:50.980]   ♪ ♪
[00:15:50.980 --> 00:15:55.980]   ♪ ♪
[00:15:55.980 --> 00:16:05.980]   ♪ ♪
[00:16:05.980 --> 00:16:15.980]   ♪ ♪
[00:16:15.980 --> 00:16:25.980]   ♪ ♪
[00:16:25.980 --> 00:16:35.980]   ♪ ♪
[00:16:35.980 --> 00:16:45.980]   ♪ ♪
[00:16:45.980 --> 00:16:55.980]   ♪ ♪
[00:16:55.980 --> 00:17:05.980]   ♪ ♪
[00:17:05.980 --> 00:17:15.980]   ♪ ♪
[00:17:15.980 --> 00:17:25.980]   ♪ ♪
[00:17:25.980 --> 00:17:35.980]   ♪ ♪
[00:17:35.980 --> 00:17:45.980]   ♪ ♪
[00:17:45.980 --> 00:17:55.980]   ♪ ♪
[00:17:55.980 --> 00:18:05.980]   ♪ ♪
[00:18:05.980 --> 00:18:15.980]   ♪ ♪
[00:18:15.980 --> 00:18:25.980]   ♪ ♪
[00:18:25.980 --> 00:18:35.980]   ♪ ♪
[00:18:35.980 --> 00:18:45.980]   ♪ ♪
[00:18:45.980 --> 00:18:55.980]   ♪ ♪
[00:18:55.980 --> 00:19:05.980]   ♪ ♪
[00:19:05.980 --> 00:19:15.980]   ♪ ♪
[00:19:15.980 --> 00:19:25.980]   ♪ ♪
[00:19:25.980 --> 00:19:35.980]   ♪ ♪
[00:19:35.980 --> 00:19:45.980]   ♪ ♪
[00:19:45.980 --> 00:19:55.980]   ♪ ♪
[00:19:55.980 --> 00:20:05.980]   ♪ ♪
[00:20:05.980 --> 00:20:15.980]   ♪ ♪
[00:20:15.980 --> 00:20:25.980]   ♪ ♪
[00:20:25.980 --> 00:20:35.980]   ♪ ♪
[00:20:35.980 --> 00:20:45.980]   ♪ ♪
[00:20:45.980 --> 00:20:55.980]   ♪ ♪
[00:20:55.980 --> 00:21:05.980]   ♪ ♪
[00:21:05.980 --> 00:21:15.980]   ♪ ♪
[00:21:15.980 --> 00:21:25.980]   ♪ ♪
[00:21:25.980 --> 00:21:35.980]   ♪ ♪
[00:21:35.980 --> 00:21:45.980]   ♪ ♪
[00:21:45.980 --> 00:21:55.980]   ♪ ♪
[00:21:55.980 --> 00:22:05.980]   ♪ ♪
[00:22:05.980 --> 00:22:15.980]   ♪ ♪
[00:22:15.980 --> 00:22:25.980]   ♪ ♪
[00:22:25.980 --> 00:22:35.980]   ♪ ♪
[00:22:35.980 --> 00:22:45.980]   ♪ ♪
[00:22:45.980 --> 00:22:55.980]   ♪ ♪
[00:22:55.980 --> 00:23:05.980]   ♪ ♪
[00:23:05.980 --> 00:23:15.980]   ♪ ♪
[00:23:15.980 --> 00:23:25.980]   ♪ ♪
[00:23:25.980 --> 00:23:35.980]   ♪ ♪
[00:23:35.980 --> 00:23:45.980]   ♪ ♪
[00:23:45.980 --> 00:23:55.980]   ♪ ♪
[00:23:55.980 --> 00:24:05.980]   ♪ ♪
[00:24:05.980 --> 00:24:15.980]   ♪ ♪
[00:24:15.980 --> 00:24:25.980]   ♪ ♪
[00:24:25.980 --> 00:24:35.980]   ♪ ♪
[00:24:35.980 --> 00:24:45.980]   ♪ ♪
[00:24:45.980 --> 00:24:55.980]   ♪ ♪
[00:24:55.980 --> 00:25:05.980]   ♪ ♪
[00:25:05.980 --> 00:25:15.980]   ♪ ♪
[00:25:15.980 --> 00:25:25.980]   ♪ ♪
[00:25:25.980 --> 00:25:35.980]   ♪ ♪
[00:25:35.980 --> 00:25:45.980]   ♪ ♪
[00:25:45.980 --> 00:25:55.980]   ♪ ♪
[00:25:55.980 --> 00:26:05.980]   ♪ ♪
[00:26:05.980 --> 00:26:15.980]   ♪ ♪
[00:26:15.980 --> 00:26:25.980]   ♪ ♪
[00:26:25.980 --> 00:26:35.980]   ♪ ♪
[00:26:35.980 --> 00:26:45.980]   ♪ ♪
[00:26:45.980 --> 00:26:55.980]   ♪ ♪
[00:26:55.980 --> 00:27:05.980]   ♪ ♪
[00:27:05.980 --> 00:27:15.980]   ♪ ♪
[00:27:15.980 --> 00:27:25.980]   ♪ ♪
[00:27:25.980 --> 00:27:35.980]   ♪ ♪
[00:27:35.980 --> 00:27:45.980]   ♪ ♪
[00:27:45.980 --> 00:27:55.980]   ♪ ♪
[00:27:55.980 --> 00:28:05.980]   ♪ ♪
[00:28:05.980 --> 00:28:15.980]   ♪ ♪
[00:28:15.980 --> 00:28:25.980]   ♪ ♪
[00:28:25.980 --> 00:28:35.980]   ♪ ♪
[00:28:35.980 --> 00:28:45.980]   ♪ ♪
[00:28:45.980 --> 00:28:55.980]   ♪ ♪
[00:28:55.980 --> 00:29:05.980]   ♪ ♪
[00:29:05.980 --> 00:29:15.980]   ♪ ♪
[00:29:15.980 --> 00:29:25.980]   ♪ ♪
[00:29:25.980 --> 00:29:35.980]   ♪ ♪
[00:29:35.980 --> 00:29:45.980]   ♪ ♪
[00:29:45.980 --> 00:29:55.980]   ♪ ♪
[00:29:55.980 --> 00:30:05.980]   ♪ ♪
[00:30:05.980 --> 00:30:15.980]   ♪ ♪
[00:30:15.980 --> 00:30:25.980]   ♪ ♪
[00:30:25.980 --> 00:30:35.980]   ♪ ♪
[00:30:35.980 --> 00:30:45.980]   ♪ ♪
[00:30:45.980 --> 00:30:55.980]   ♪ ♪
[00:30:55.980 --> 00:31:05.980]   ♪ ♪
[00:31:05.980 --> 00:31:15.980]   ♪ ♪
[00:31:15.980 --> 00:31:25.980]   ♪ ♪
[00:31:25.980 --> 00:31:35.980]   ♪ ♪
[00:31:35.980 --> 00:31:45.980]   ♪ ♪
[00:31:45.980 --> 00:31:55.980]   ♪ ♪
[00:31:55.980 --> 00:32:05.980]   ♪ ♪
[00:32:05.980 --> 00:32:15.980]   ♪ ♪
[00:32:15.980 --> 00:32:25.980]   ♪ ♪
[00:32:25.980 --> 00:32:35.980]   ♪ ♪
[00:32:35.980 --> 00:32:45.980]   ♪ ♪
[00:32:45.980 --> 00:32:55.980]   ♪ ♪
[00:32:55.980 --> 00:33:05.980]   ♪ ♪
[00:33:05.980 --> 00:33:15.980]   ♪ ♪
[00:33:15.980 --> 00:33:25.980]   ♪ ♪
[00:33:25.980 --> 00:33:35.980]   ♪ ♪
[00:33:35.980 --> 00:33:45.980]   ♪ ♪
[00:33:45.980 --> 00:33:55.980]   ♪ ♪
[00:33:55.980 --> 00:34:05.980]   ♪ ♪
[00:34:05.980 --> 00:34:15.980]   ♪ ♪
[00:34:15.980 --> 00:34:25.980]   ♪ ♪
[00:34:25.980 --> 00:34:35.980]   ♪ ♪
[00:34:35.980 --> 00:34:45.980]   ♪ ♪
[00:34:45.980 --> 00:34:55.980]   ♪ ♪
[00:34:55.980 --> 00:35:05.980]   ♪ ♪
[00:35:05.980 --> 00:35:15.980]   ♪ ♪
[00:35:15.980 --> 00:35:25.980]   ♪ ♪
[00:35:25.980 --> 00:35:35.980]   ♪ ♪
[00:35:35.980 --> 00:35:45.980]   ♪ ♪
[00:35:45.980 --> 00:35:55.980]   ♪ ♪
[00:35:55.980 --> 00:36:05.980]   ♪ ♪
[00:36:05.980 --> 00:36:15.980]   ♪ ♪
[00:36:15.980 --> 00:36:25.980]   ♪ ♪
[00:36:25.980 --> 00:36:35.980]   ♪ ♪
[00:36:35.980 --> 00:36:45.980]   ♪ ♪
[00:36:45.980 --> 00:36:55.980]   ♪ ♪
[00:36:55.980 --> 00:37:05.980]   ♪ ♪
[00:37:05.980 --> 00:37:15.980]   ♪ ♪
[00:37:15.980 --> 00:37:25.980]   ♪ ♪
[00:37:25.980 --> 00:37:35.980]   ♪ ♪
[00:37:35.980 --> 00:37:45.980]   ♪ ♪
[00:37:45.980 --> 00:37:55.980]   ♪ ♪
[00:37:55.980 --> 00:38:05.980]   ♪ ♪
[00:38:05.980 --> 00:38:15.980]   ♪ ♪
[00:38:15.980 --> 00:38:25.980]   ♪ ♪
[00:38:25.980 --> 00:38:35.980]   ♪ ♪
[00:38:35.980 --> 00:38:45.980]   ♪ ♪
[00:38:45.980 --> 00:38:55.980]   ♪ ♪
[00:38:55.980 --> 00:39:05.980]   ♪ ♪
[00:39:05.980 --> 00:39:15.980]   ♪ ♪
[00:39:15.980 --> 00:39:25.980]   ♪ ♪
[00:39:25.980 --> 00:39:35.980]   ♪ ♪
[00:39:35.980 --> 00:39:45.980]   ♪ ♪
[00:39:45.980 --> 00:39:55.980]   ♪ ♪
[00:39:55.980 --> 00:40:05.980]   ♪ ♪
[00:40:05.980 --> 00:40:15.980]   ♪ ♪
[00:40:15.980 --> 00:40:25.980]   ♪ ♪
[00:40:25.980 --> 00:40:35.980]   ♪ ♪
[00:40:35.980 --> 00:40:45.980]   ♪ ♪
[00:40:45.980 --> 00:40:55.980]   ♪ ♪
[00:40:55.980 --> 00:41:05.980]   ♪ ♪
[00:41:05.980 --> 00:41:15.980]   ♪ ♪
[00:41:15.980 --> 00:41:25.980]   ♪ ♪
[00:41:25.980 --> 00:41:35.980]   ♪ ♪
[00:41:35.980 --> 00:41:45.980]   ♪ ♪
[00:41:45.980 --> 00:41:55.980]   ♪ ♪
[00:41:55.980 --> 00:42:05.980]   ♪ ♪
[00:42:05.980 --> 00:42:15.980]   ♪ ♪
[00:42:15.980 --> 00:42:25.980]   ♪ ♪
[00:42:25.980 --> 00:42:35.980]   ♪ ♪
[00:42:35.980 --> 00:42:45.980]   ♪ ♪
[00:42:45.980 --> 00:42:55.980]   ♪ ♪
[00:42:55.980 --> 00:43:05.980]   ♪ ♪
[00:43:05.980 --> 00:43:15.980]   ♪ ♪
[00:43:15.980 --> 00:43:25.980]   ♪ ♪
[00:43:25.980 --> 00:43:35.980]   ♪ ♪
[00:43:35.980 --> 00:43:45.980]   ♪ ♪
[00:43:45.980 --> 00:43:55.980]   ♪ ♪
[00:43:55.980 --> 00:44:05.980]   ♪ ♪
[00:44:05.980 --> 00:44:15.980]   ♪ ♪
[00:44:15.980 --> 00:44:25.980]   ♪ ♪
[00:44:25.980 --> 00:44:35.980]   ♪ ♪
[00:44:35.980 --> 00:44:45.980]   ♪ ♪
[00:44:45.980 --> 00:44:55.980]   ♪ ♪
[00:44:55.980 --> 00:45:05.980]   ♪ ♪
[00:45:05.980 --> 00:45:15.980]   ♪ ♪
[00:45:15.980 --> 00:45:25.980]   ♪ ♪
[00:45:25.980 --> 00:45:35.980]   ♪ ♪
[00:45:35.980 --> 00:45:45.980]   ♪ ♪
[00:45:45.980 --> 00:45:55.980]   ♪ ♪
[00:45:55.980 --> 00:46:05.980]   ♪ ♪
[00:46:05.980 --> 00:46:15.980]   ♪ ♪
[00:46:15.980 --> 00:46:25.980]   ♪ ♪
[00:46:25.980 --> 00:46:35.980]   ♪ ♪
[00:46:35.980 --> 00:46:45.980]   ♪ ♪
[00:46:45.980 --> 00:46:55.980]   ♪ ♪
[00:46:55.980 --> 00:47:05.980]   ♪ ♪
[00:47:05.980 --> 00:47:15.980]   ♪ ♪
[00:47:15.980 --> 00:47:25.980]   ♪ ♪
[00:47:25.980 --> 00:47:35.980]   ♪ ♪
[00:47:35.980 --> 00:47:45.980]   ♪ ♪
[00:47:45.980 --> 00:47:55.980]   ♪ ♪
[00:47:55.980 --> 00:48:05.980]   ♪ ♪
[00:48:05.980 --> 00:48:15.980]   ♪ ♪
[00:48:15.980 --> 00:48:25.980]   ♪ ♪
[00:48:25.980 --> 00:48:35.980]   ♪ ♪
[00:48:35.980 --> 00:48:45.980]   ♪ ♪
[00:48:45.980 --> 00:48:55.980]   ♪ ♪
[00:48:55.980 --> 00:49:05.980]   ♪ ♪
[00:49:05.980 --> 00:49:15.980]   ♪ ♪
[00:49:15.980 --> 00:49:25.980]   ♪ ♪
[00:49:25.980 --> 00:49:35.980]   ♪ ♪
[00:49:35.980 --> 00:49:45.980]   ♪ ♪
[00:49:45.980 --> 00:49:55.980]   ♪ ♪
[00:49:55.980 --> 00:50:05.980]   ♪ ♪
[00:50:05.980 --> 00:50:15.980]   ♪ ♪
[00:50:15.980 --> 00:50:25.980]   ♪ ♪
[00:50:25.980 --> 00:50:35.980]   ♪ ♪
[00:50:35.980 --> 00:50:45.980]   ♪ ♪
[00:50:45.980 --> 00:50:55.980]   ♪ ♪
[00:50:55.980 --> 00:51:05.980]   ♪ ♪
[00:51:05.980 --> 00:51:15.980]   ♪ ♪
[00:51:15.980 --> 00:51:25.980]   ♪ ♪
[00:51:25.980 --> 00:51:35.980]   ♪ ♪
[00:51:35.980 --> 00:51:45.980]   ♪ ♪
[00:51:45.980 --> 00:51:55.980]   ♪ ♪
[00:51:55.980 --> 00:52:05.980]   ♪ ♪
[00:52:05.980 --> 00:52:15.980]   ♪ ♪
[00:52:15.980 --> 00:52:25.980]   ♪ ♪
[00:52:25.980 --> 00:52:35.980]   ♪ ♪
[00:52:35.980 --> 00:52:45.980]   ♪ ♪
[00:52:45.980 --> 00:52:55.980]   ♪ ♪
[00:52:55.980 --> 00:53:05.980]   ♪ ♪
[00:53:05.980 --> 00:53:15.980]   ♪ ♪
[00:53:15.980 --> 00:53:25.980]   ♪ ♪
[00:53:25.980 --> 00:53:35.980]   ♪ ♪
[00:53:35.980 --> 00:53:45.980]   ♪ ♪
[00:53:45.980 --> 00:53:55.980]   ♪ ♪
[00:53:55.980 --> 00:54:05.980]   ♪ ♪
[00:54:05.980 --> 00:54:15.980]   ♪ ♪
[00:54:15.980 --> 00:54:25.980]   ♪ ♪
[00:54:25.980 --> 00:54:35.980]   ♪ ♪
[00:54:35.980 --> 00:54:45.980]   ♪ ♪
[00:54:45.980 --> 00:54:55.980]   ♪ ♪
[00:54:55.980 --> 00:55:05.980]   ♪ ♪
[00:55:05.980 --> 00:55:15.980]   ♪ ♪
[00:55:15.980 --> 00:55:25.980]   ♪ ♪
[00:55:25.980 --> 00:55:35.980]   ♪ ♪
[00:55:35.980 --> 00:55:45.980]   ♪ ♪
[00:55:45.980 --> 00:55:55.980]   ♪ ♪
[00:55:55.980 --> 00:56:05.980]   ♪ ♪
[00:56:05.980 --> 00:56:15.980]   ♪ ♪
[00:56:15.980 --> 00:56:25.980]   ♪ ♪
[00:56:25.980 --> 00:56:35.980]   ♪ ♪
[00:56:35.980 --> 00:56:45.980]   ♪ ♪
[00:56:45.980 --> 00:56:55.980]   ♪ ♪
[00:56:55.980 --> 00:57:05.980]   ♪ ♪
[00:57:05.980 --> 00:57:15.980]   ♪ ♪
[00:57:15.980 --> 00:57:25.980]   ♪ ♪
[00:57:25.980 --> 00:57:35.980]   ♪ ♪
[00:57:35.980 --> 00:57:45.980]   ♪ ♪
[00:57:45.980 --> 00:57:55.980]   ♪ ♪
[00:57:55.980 --> 00:58:05.980]   ♪ ♪
[00:58:05.980 --> 00:58:15.980]   ♪ ♪
[00:58:15.980 --> 00:58:25.980]   ♪ ♪
[00:58:25.980 --> 00:58:35.980]   ♪ ♪
[00:58:35.980 --> 00:58:45.980]   ♪ ♪
[00:58:45.980 --> 00:58:55.980]   ♪ ♪
[00:58:55.980 --> 00:59:05.980]   ♪ ♪
[00:59:05.980 --> 00:59:15.980]   ♪ ♪
[00:59:15.980 --> 00:59:25.980]   ♪ ♪
[00:59:25.980 --> 00:59:35.980]   ♪ ♪
[00:59:35.980 --> 00:59:45.980]   ♪ ♪
[00:59:45.980 --> 00:59:55.980]   ♪ ♪
[00:59:55.980 --> 01:00:05.980]   ♪ ♪
[01:00:05.980 --> 01:00:15.980]   ♪ ♪
[01:00:15.980 --> 01:00:25.980]   ♪ ♪
[01:00:25.980 --> 01:00:35.980]   ♪ ♪
[01:00:35.980 --> 01:00:45.980]   ♪ ♪
[01:00:45.980 --> 01:00:55.980]   ♪ ♪
[01:00:55.980 --> 01:01:05.980]   ♪ ♪
[01:01:05.980 --> 01:01:15.980]   ♪ ♪
[01:01:15.980 --> 01:01:25.980]   ♪ ♪
[01:01:25.980 --> 01:01:35.980]   ♪ ♪
[01:01:35.980 --> 01:01:45.980]   ♪ ♪
[01:01:45.980 --> 01:01:55.980]   ♪ ♪
[01:01:55.980 --> 01:02:05.980]   ♪ ♪
[01:02:05.980 --> 01:02:15.980]   ♪ ♪
[01:02:15.980 --> 01:02:25.980]   ♪ ♪
[01:02:25.980 --> 01:02:35.980]   ♪ ♪
[01:02:35.980 --> 01:02:45.980]   ♪ ♪
[01:02:45.980 --> 01:02:55.980]   ♪ ♪
[01:02:55.980 --> 01:03:05.980]   ♪ ♪
[01:03:05.980 --> 01:03:15.980]   ♪ ♪
[01:03:15.980 --> 01:03:25.980]   ♪ ♪
[01:03:25.980 --> 01:03:35.980]   ♪ ♪
[01:03:35.980 --> 01:03:45.980]   ♪ ♪
[01:03:45.980 --> 01:03:55.980]   ♪ ♪
[01:03:55.980 --> 01:04:05.980]   ♪ ♪
[01:04:05.980 --> 01:04:15.980]   ♪ ♪
[01:04:15.980 --> 01:04:25.980]   ♪ ♪
[01:04:25.980 --> 01:04:35.980]   ♪ ♪
[01:04:35.980 --> 01:04:45.980]   ♪ ♪
[01:04:45.980 --> 01:04:55.980]   ♪ ♪
[01:04:55.980 --> 01:05:05.980]   ♪ ♪
[01:05:05.980 --> 01:05:15.980]   ♪ ♪
[01:05:15.980 --> 01:05:25.980]   ♪ ♪
[01:05:25.980 --> 01:05:35.980]   ♪ ♪
[01:05:35.980 --> 01:05:45.980]   ♪ ♪
[01:05:45.980 --> 01:05:55.980]   ♪ ♪
[01:05:55.980 --> 01:06:05.980]   ♪ ♪
[01:06:05.980 --> 01:06:15.980]   ♪ ♪
[01:06:15.980 --> 01:06:25.980]   ♪ ♪
[01:06:25.980 --> 01:06:35.980]   ♪ ♪
[01:06:35.980 --> 01:06:45.980]   ♪ ♪
[01:06:45.980 --> 01:06:49.980]   >> If you are in the rooms, please make your way on out.
[01:06:49.980 --> 01:06:53.980]   We'll gather for the teaching time.
[01:06:53.980 --> 01:07:06.980]   And then, you know, as a comment, you know, I know you guys
[01:07:06.980 --> 01:07:09.980]   pretty much are inductive Bible study pros.
[01:07:09.980 --> 01:07:13.980]   So from -- as we're doing this kind of rules on good Bible study
[01:07:13.980 --> 01:07:17.980]   practice, there are going to be principles that overlap and maybe
[01:07:17.980 --> 01:07:19.980]   feel like repeat.
[01:07:19.980 --> 01:07:24.980]   But, you know, we want to continue practicing the various
[01:07:24.980 --> 01:07:27.980]   principles that we're learning today on the topic of Proverbs.
[01:07:27.980 --> 01:07:31.980]   I'm focusing on Proverbs, but obviously it's just -- there are
[01:07:31.980 --> 01:07:34.980]   wisdom texts throughout the scriptures.
[01:07:34.980 --> 01:07:38.980]   But primary being Book of Proverbs, then Lamentations.
[01:07:38.980 --> 01:07:43.980]   And so let's take a moment to pray, and then we'll jump into
[01:07:43.980 --> 01:07:45.980]   tonight's study.
[01:07:45.980 --> 01:07:47.980]   Let's pray together.
[01:07:47.980 --> 01:07:50.980]   Heavenly Father, we thank you so much for your grace.
[01:07:50.980 --> 01:07:55.980]   We're grateful because we definitely feel regularly your
[01:07:55.980 --> 01:07:57.980]   fatherly love.
[01:07:57.980 --> 01:08:01.980]   As you are the good father, we know you instruct us, you give
[01:08:01.980 --> 01:08:05.980]   to us guidance, and thank you, Lord God, that you are not
[01:08:05.980 --> 01:08:10.980]   silent, but rather, just as every good parent, you speak to us
[01:08:10.980 --> 01:08:13.980]   eloquently, you speak to us closely, you speak to us in ways
[01:08:13.980 --> 01:08:15.980]   that we would understand.
[01:08:15.980 --> 01:08:18.980]   We pray that as we study, you would grant to us the wisdom
