
[00:00:00.000 --> 00:00:29.980]   Thank you very much.
[00:15:59.140 --> 00:16:03.480]   Now, the important thing here is that the early registration has opened up.
[00:16:03.480 --> 00:16:07.600]   And there's going to be a $30 discount on regular registration.
[00:16:07.600 --> 00:16:11.340]   And so, please make sure to keep that.
[00:16:11.340 --> 00:16:16.080]   I honestly think you should just make sure to sign up by today.
[00:16:16.400 --> 00:16:18.400]   Make sure to sign up by today so you don't forget.
[00:16:18.400 --> 00:16:21.600]   And then there's going to be the end of the month.
[00:16:21.600 --> 00:16:24.920]   That's going to be closing, and then it's going to be the regular fee.
[00:16:24.920 --> 00:16:30.700]   So please sign up as fast as you can, as this should be a really, really encouraging and edifying time for all of us.
[00:16:30.700 --> 00:16:32.060]   Okay.
[00:16:39.420 --> 00:16:43.380]   Well, we are in session eight, meaning we have only two more sessions after this now
[00:16:43.380 --> 00:16:46.560]   in our Foundations of Redemptive History, part two.
[00:16:46.560 --> 00:16:53.320]   And we will be going into the sacrifice of Isaac today.
[00:16:53.320 --> 00:16:56.880]   So this is a big one, and so this will be chapter 22.
[00:16:56.880 --> 00:17:03.680]   Just some personal thoughts as we go into last week's session of chapter 20 through 21.
[00:17:05.600 --> 00:17:11.800]   So remember that these narratives, sometimes there's a lot of things packed in without many
[00:17:11.800 --> 00:17:18.300]   words being used to speak about it. So for example, just keep this in mind. Remember to put yourself
[00:17:18.300 --> 00:17:23.680]   in the shoes of the people so that you can think about the many, many things that they're feeling,
[00:17:23.680 --> 00:17:29.640]   the many ups and downs that they're going through. And so to this point in chapter 22, it's very
[00:17:29.640 --> 00:17:35.400]   important to remember that Abraham had so many ups and downs in faith. He's made many mistakes,
[00:17:35.400 --> 00:17:42.160]   there's been very very many redeeming times and then last week as we went to chapter 20 and 21
[00:17:42.160 --> 00:17:49.140]   he was finally given his son isaac after years and years and years of waiting right with all of
[00:17:49.140 --> 00:17:55.040]   those blessings and so uh we've been waiting for isaac this child of promise for decades now
[00:17:55.040 --> 00:18:02.480]   and we've seen many pictures uh and stories pointing to jesus with abraham as a foreshadowing
[00:18:02.480 --> 00:18:06.540]   of jesus but now what's what we're going to be seeing today is that there's going to start to
[00:18:06.540 --> 00:18:14.120]   be this movement away from abraham's life into isaac's okay and so uh try to keep all of these
[00:18:14.120 --> 00:18:19.980]   things in mind try to keep the the bigger picture in mind keep in mind chapter 12 all the way to this
[00:18:19.980 --> 00:18:25.980]   point and then you you want to kind of kind of keep in mind from there on the on the larger level
[00:18:25.980 --> 00:18:31.120]   what's been happening from chapter one all the way till now remember in chapter three and that
[00:18:31.120 --> 00:18:37.260]   promise of the coming messiah and how in the greater meta-narrative and the macro perspective
[00:18:37.260 --> 00:18:42.460]   of scripture we have all of these things pointing forward to christ at the center
[00:18:42.460 --> 00:18:48.180]   and then we'll see how that now the foreshadowing was in abraham is going to start moving towards
[00:18:48.180 --> 00:18:55.040]   isaac and another thing to remember is that we saw is hagar and ishmael as examples of people
[00:18:55.040 --> 00:19:02.040]   not included in god's covenant promise and yet they had a knowledge of god and by by way of uh
[00:19:02.040 --> 00:19:07.460]   being near abraham uh they they were able to receive some of the uh what we'll call the
[00:19:07.460 --> 00:19:13.700]   coattail blessings okay and but they are not a part of god's covenant promise and god made sure
[00:19:13.700 --> 00:19:20.700]   to keep that very clear very clear last week when he showed how ishmael though he was even given in
[00:19:20.700 --> 00:19:29.860]   a sense circumcision was not part of the messianic covenant line okay all right so here are the study
[00:19:29.860 --> 00:19:31.820]   questions we'll meet back here at eight o'clock
[00:19:31.820 --> 00:20:01.800]   Thank you.
[00:20:01.800 --> 00:20:31.780]   Thank you.
[01:03:00.080 --> 01:03:28.080]   Okay.
[01:03:28.080 --> 01:03:29.980]   Okay, if you're in the other room, if you can make your way back.
[01:03:29.980 --> 01:03:59.960]   Thank you.
[01:03:59.960 --> 01:04:29.940]   Thank you.
[01:04:29.940 --> 01:04:59.920]   I don't know.
[01:04:59.920 --> 01:05:20.120]   All right.
[01:05:20.120 --> 01:05:28.380]   Well, as we head into Genesis chapter 22 here, the sacrifice of Isaac,
[01:05:29.020 --> 01:05:36.240]   We'll see here that we have a lot kind of going on in the actual text in terms of a narrative.
[01:05:36.240 --> 01:05:38.700]   So I broke it down into six pieces.
[01:05:38.700 --> 01:05:44.020]   Remember, this is something that you kind of naturally do, but you can do it on your own as well.
[01:05:44.020 --> 01:05:48.020]   So there's usually a setting of some sort that happens.
[01:05:48.020 --> 01:05:51.540]   So we have the test of faith, and then we have Abraham's obedience.
[01:05:51.540 --> 01:05:55.140]   He travels to Mount Moriah, and then he travels up Mount Moriah.
[01:05:55.400 --> 01:06:01.480]   and then God intervenes and provides, and then God renews that covenant, and then the family line,
[01:06:01.480 --> 01:06:06.440]   it ends with genealogy. And so whenever we see a genealogy, it helps us to understand that there's
[01:06:06.440 --> 01:06:11.180]   something that it's pointing to, some transition that's trying to be made. Now before we begin,
[01:06:11.180 --> 01:06:14.940]   we'll look at some of the Isaac and Jesus parallels, because I don't think that was hidden.
[01:06:14.940 --> 01:06:21.500]   I'm pretty sure most of us kind of saw things, but we see promised sons in the person of Isaac
[01:06:21.500 --> 01:06:24.720]   and Jesus, whom he's pointing forward to,
[01:06:24.720 --> 01:06:27.620]   they're both miraculous conceptions of some sort.
[01:06:27.620 --> 01:06:30.520]   Remember, angels come and says that you will name him,
[01:06:30.520 --> 01:06:33.660]   and then he says their names.
[01:06:33.660 --> 01:06:35.780]   Born after a period of delay,
[01:06:35.780 --> 01:06:40.600]   meaningfully named before birth at an appointed time.
[01:06:40.600 --> 01:06:42.860]   There was a fulfilled time when this was to happen.
[01:06:42.860 --> 01:06:44.860]   And so you can have questions even like,
[01:06:44.860 --> 01:06:48.520]   oh, I wonder if Abraham would have been able
[01:06:48.520 --> 01:06:51.300]   to actually pull down his hand
[01:06:51.300 --> 01:06:56.820]   to slay his own son, like, just five or ten years earlier, right? Like, what would that have looked
[01:06:56.820 --> 01:07:02.080]   like? We don't know those things, but we know that God is working these things out, and both of them
[01:07:02.080 --> 01:07:08.720]   were occasions for great joy. So we're going to see a lot more of these parallels as we move forward
[01:07:08.720 --> 01:07:17.260]   into the story today. So we'll start off here with the test of faith, verses one and two. Test of
[01:07:17.260 --> 01:07:27.320]   faith so isaac he's he has just been born but we see a passage of time that's occurred here and we
[01:07:27.320 --> 01:07:34.020]   know that because he's walking he's able to carry wood and things like that but as we see that he's
[01:07:34.020 --> 01:07:40.000]   just been born the fulfilling of of years and years of trial here in this passage of the waiting and
[01:07:40.000 --> 01:07:44.900]   struggling that's been happening up to this point and then it just takes us directly it doesn't even
[01:07:44.900 --> 01:07:52.580]   let us like like bask in the joy of isaac finally being born this is like all the years of struggle
[01:07:52.580 --> 01:07:58.120]   that we've been going through from chapter 12 all the way through chapter 21 none of it can be
[01:07:58.120 --> 01:08:03.800]   enjoyed because as soon as we hit 20 chapter 22 we hit the ground running that god's going to test
[01:08:03.800 --> 01:08:11.300]   him and so we think of these things the very next thing that's commanded of abraham who's been so
[01:08:11.300 --> 01:08:20.940]   struggling with with his faithfulness to god is to sacrifice his son i mean it's one thing to
[01:08:20.940 --> 01:08:27.800]   sacrifice before you're given it now he's for the first time being asked to sacrifice something
[01:08:27.800 --> 01:08:34.420]   after he's been given it right and we can see why that can be so difficult and so it came about
[01:08:34.420 --> 01:08:39.740]   after these things that god tested abraham and said to said to him abraham and he said here i am
[01:08:39.740 --> 01:08:45.040]   there's a lot of echoes of that phrase into scripture which we won't get into and he says
[01:08:45.040 --> 01:08:52.680]   he said take now your son your only son whom you love and it feels like god you're mean that's what
[01:08:52.680 --> 01:08:58.620]   it feels like right because he's repeating this thing he's like take your son it's like oh just
[01:08:58.620 --> 01:09:03.760]   that alone abraham's finally able to say this is my son and he says your only son because you have
[01:09:03.760 --> 01:09:10.820]   no other right and he had him send away even ishmael his like backup plan like all of that
[01:09:10.820 --> 01:09:15.520]   he's like putting it on the table and he says if that's not enough the one that you really really
[01:09:15.520 --> 01:09:24.800]   love oh that's messed up guys this is this is really mean and this is the first time the word
[01:09:24.800 --> 01:09:34.060]   love is used in scripture he says whom you love now this should be evoking things in us again i'm
[01:09:34.060 --> 01:09:37.580]   just going to be putting it all out there i'm not going to try to wrap this up in some beautiful
[01:09:37.580 --> 01:09:44.880]   grandiose way he's trying to show something right we see uh god using these uh these phrases these
[01:09:44.880 --> 01:09:50.960]   words these thoughts matthew 3 17 at the beginning of of christ's ministry says behold a voice out of
[01:09:50.960 --> 01:09:56.680]   the heavens said this is my beloved son in whom i am well pleased and then matthew chapter 17 verse
[01:09:56.680 --> 01:10:01.680]   5 at the transfiguration the heavens break open again and it says behold a voice out of the cloud
[01:10:01.680 --> 01:10:10.260]   said this is my beloved son with whom i am well pleased listen to him so god is already trying to
[01:10:10.260 --> 01:10:16.820]   do something here and trying to use abraham as a foreshadowing of something he himself is going to do
[01:10:16.820 --> 01:10:24.500]   and he says take now your son your only son whom you love
[01:10:24.500 --> 01:10:33.700]   and go to the land of moriah moriah is a very very well-known place to the israelites
[01:10:33.700 --> 01:10:40.300]   now here's a map and in second chronicles chapter 3 verse 1 then solomon began to build the house
[01:10:40.300 --> 01:10:47.840]   of the lord in jerusalem on mount moriah what does this mean that when the kingdom was at its pinnacle
[01:10:47.840 --> 01:10:57.880]   in its heyday it was on this mount that the temple was built that's very very significant
[01:10:57.880 --> 01:11:03.680]   because that's god's presence that's where the sacrifices were and uh there's another instance
[01:11:03.680 --> 01:11:09.700]   you might have looked at where this is where David actually built an altar as well and he
[01:11:09.700 --> 01:11:15.220]   burned something and you would remember his phrase where he says, I will not give or offer
[01:11:15.220 --> 01:11:24.240]   something that cost me nothing. And so here is Jerusalem and later Solomon's temple is built
[01:11:24.240 --> 01:11:29.620]   right where it's supposed to be on the temple mount, on the mount. So Mount Moriah is in Jerusalem.
[01:11:29.880 --> 01:11:32.480]   Now, there's differences as to where.
[01:11:32.480 --> 01:11:37.900]   Some people might say it's here or maybe shifted a little bit eastward, but we do know it's in Jerusalem.
[01:11:37.900 --> 01:11:41.940]   And so this is something maybe of what it might have looked like.
[01:11:41.940 --> 01:11:47.200]   Not exactly, because you will see some strange things here.
[01:11:47.200 --> 01:11:54.100]   I ran a picture through AI to try to get it a little bit cleaner, and it did weird things, and I don't want to change it after that.
[01:11:54.100 --> 01:12:00.400]   So but then whatever the case, like it's some kind of temple, right, that God has built.
[01:12:00.400 --> 01:12:06.600]   And then he says, like, this is where you are going to be going up this mountain.
[01:12:06.600 --> 01:12:13.860]   And of course, Abraham and Isaac would know nothing about the fact that the temple is going to be built there.
[01:12:14.380 --> 01:12:24.440]   But here, at the top of this mount, in the land of Moriah, he has to offer him there as a burnt offering on one of the mountains, of which I will tell you.
[01:12:24.440 --> 01:12:27.280]   A lot of significance.
[01:12:27.280 --> 01:12:36.420]   We know that in that temple is where sacrifices for sin were given over and over and over again, day after day, year after year.
[01:12:36.420 --> 01:12:40.080]   And all of this is supposed to be a meaningful thing.
[01:12:40.080 --> 01:12:44.220]   And that's why Mount Moriah is probably where it was built in the first place.
[01:12:44.880 --> 01:12:46.020]   And we ask questions again.
[01:12:46.020 --> 01:12:49.380]   We haven't talked about mountains since like the first or second session.
[01:12:49.380 --> 01:12:51.680]   But mountains are very, very significant.
[01:12:51.680 --> 01:12:59.560]   High places are very, very significant because they would always build altars on the top of high places or mountains, mountaintops.
[01:12:59.560 --> 01:13:00.920]   That's where people would sacrifice.
[01:13:00.920 --> 01:13:05.400]   Even pagans, even secular nations, that's where they would go.
[01:13:05.400 --> 01:13:07.500]   Even moon worshipers would do this.
[01:13:07.500 --> 01:13:09.140]   Canaanites would do this.
[01:13:09.140 --> 01:13:12.600]   And it's where they thought the gods would meet them, dine with them.
[01:13:12.920 --> 01:13:17.600]   A lot of sexual abominable, deviant practices were happening there.
[01:13:17.600 --> 01:13:24.400]   And also, interestingly enough, sacrifices of children to these false gods.
[01:13:24.400 --> 01:13:28.080]   So a lot of these things were happening on mountaintops.
[01:13:28.080 --> 01:13:32.060]   So we should be asking a very obvious question here when he says,
[01:13:32.060 --> 01:13:35.860]   offer him there as a burnt offering on one of the mountains of which I will tell you.
[01:13:36.360 --> 01:13:43.540]   Because Abraham would be very, very well acquainted with this idea of what sacrifices were, right?
[01:13:43.540 --> 01:13:46.240]   Because he's already building altars and things like that.
[01:13:46.240 --> 01:13:52.420]   But he's telling him to burn his son, to sacrifice his son.
[01:13:52.420 --> 01:13:58.520]   We ask that question of, is it okay that God is asking this of Abraham?
[01:13:58.520 --> 01:14:00.460]   It seems evil.
[01:14:00.460 --> 01:14:04.740]   Plus, we're thinking, what about the covenant line, right?
[01:14:05.140 --> 01:14:06.500]   Like, we know what's going to happen.
[01:14:06.500 --> 01:14:09.920]   We know that he's not going to allow Isaac to be killed.
[01:14:09.920 --> 01:14:12.840]   But these are the thoughts that ought to be running through our minds.
[01:14:12.840 --> 01:14:15.900]   Abraham should be thinking, but this is him.
[01:14:15.900 --> 01:14:17.420]   This is the promised one.
[01:14:17.420 --> 01:14:19.200]   If he dies, then there's nothing left.
[01:14:19.200 --> 01:14:22.620]   Here's an application to this part.
[01:14:22.620 --> 01:14:25.260]   Do I obey God only when his direction makes sense to me?
[01:14:25.260 --> 01:14:27.380]   Or also when it costs me something?
[01:14:27.380 --> 01:14:32.600]   Is there anything that I will obey God in only up until it comes to actual sacrifice?
[01:14:33.240 --> 01:14:36.740]   Think of examples where you saw this in your own life or maybe in examples outside of yours.
[01:14:36.740 --> 01:14:43.420]   So when you go through these application questions, really try to dive deep into what Abraham must have been wrestling with.
[01:14:43.420 --> 01:14:46.740]   Two, Abraham's obedience.
[01:14:46.740 --> 01:14:50.340]   Now we're traveling to Mount Moriah in verses 3 to 5.
[01:14:50.340 --> 01:14:52.980]   And the craziest thing happens.
[01:14:52.980 --> 01:14:58.120]   It's not only that God says sacrifice him, Abraham immediately obeys.
[01:14:58.120 --> 01:15:01.300]   He just gets up the next morning and then just starts going.
[01:15:01.660 --> 01:15:08.940]   So Abraham rose early in the morning and saddled his donkey and took two of his young men with him and Isaac his son.
[01:15:08.940 --> 01:15:15.740]   Okay, pictures are here just to help you guys just remember the setting and see what's going on.
[01:15:15.740 --> 01:15:21.980]   So he takes Isaac, two servants, grabs a donkey, and already this kind of stuff too.
[01:15:21.980 --> 01:15:27.640]   Don't go too far, but there can be thoughts of like donkey asking two servants to go and get this donkey.
[01:15:27.640 --> 01:15:31.120]   Very interesting stuff that can have images or illusions.
[01:15:31.380 --> 01:15:40.280]   not positive. And so there's this party traveling now towards Mount Moriah. And he split wood for
[01:15:40.280 --> 01:15:44.860]   the burnt offering and arose and went to the place of which God had told him. On the third day, Abraham
[01:15:44.860 --> 01:15:51.120]   raised his eyes and saw the place from a distance. Okay, so there's the wood and then they're traveling
[01:15:51.120 --> 01:15:57.160]   over and he strapped it onto this donkey. Abraham then said to his young men, stay here with
[01:15:57.160 --> 01:16:02.560]   a donkey and I and the lad will go over there and we will worship and return to you. Now here's
[01:16:02.560 --> 01:16:07.880]   another question that should have come up somewhere down the line, which is how old is Isaac? He was
[01:16:07.880 --> 01:16:15.140]   just born. He's likely not a toddler because he's going to, in just the next part, strap wood onto
[01:16:15.140 --> 01:16:20.680]   him. And you don't do that to a toddler, right? And so Isaac, we think, we wonder what's, how old
[01:16:20.680 --> 01:16:29.780]   is he uh just real oh the picture the camera okay so if you look at young men and lad it's the same
[01:16:29.780 --> 01:16:35.980]   word okay so it's using the same word for these two young servants that are going along and isaac
[01:16:35.980 --> 01:16:40.960]   and and we're not positive but he was definitely at least a teenager he could have been into his
[01:16:40.960 --> 01:16:47.820]   20s some people even say 30s i'm not sure about that but uh but he was he was probably a strong
[01:16:47.820 --> 01:16:57.580]   young man at this point that's kind of the point okay we take time and we think now he's taking
[01:16:57.580 --> 01:17:03.780]   three days to travel to this mountain and you're thinking like every single day he's going to sleep
[01:17:03.780 --> 01:17:09.320]   and and he's having talks with his son this is the son his only son whom he loves right like this is
[01:17:09.320 --> 01:17:14.780]   this is like bonding time too right and there as they're going every night he's probably thinking
[01:17:14.780 --> 01:17:19.400]   what's God going to do? And God is silent. Every day he wakes up, God is silent. He continues to
[01:17:19.400 --> 01:17:23.720]   travel to this mountain, God is silent. And he's saying, well, I don't understand what's going on,
[01:17:23.720 --> 01:17:29.740]   but God is silent. Gets to the bottom of this mountain, God is still silent. And he tells his
[01:17:29.740 --> 01:17:35.660]   two servants, after strapping this wood to his son, we'll be back after worshiping. What might
[01:17:35.660 --> 01:17:40.720]   Abraham be thinking? What might he be feeling? Remember all the faith that took here to get to
[01:17:40.720 --> 01:17:48.180]   this point. I think everything under the sun is going on in his mind. God surely can't be
[01:17:48.180 --> 01:17:57.320]   serious about this. God's going to not let this happen. And so this is reverberating through his
[01:17:57.320 --> 01:18:01.120]   mind. Take now your son, your only son, whom you love, Isaac. Go to the land of Moriah. Offer him
[01:18:01.120 --> 01:18:08.240]   there as a burnt offering. He's not just obeying the motions of like what needs to happen to get
[01:18:08.240 --> 01:18:16.580]   there that he's going to burn his son third now they're traveling up mount moriah verses 6 to 12
[01:18:16.580 --> 01:18:22.960]   so abraham it says that he took the wood of the burnt offering and laid it on isaac his son
[01:18:22.960 --> 01:18:30.780]   and he took in his hand the fire and the knife and so again we see the picture of of jesus very
[01:18:30.780 --> 01:18:38.820]   clearly being pictured here as he takes the wood puts it on his own son and then they start to
[01:18:38.820 --> 01:18:44.140]   travel up this mountain and he not only does that but he takes the instruments that are going to
[01:18:44.140 --> 01:18:50.720]   actually slay his son he takes a knife he takes the fire they have the wood and they start walking
[01:18:50.720 --> 01:18:59.340]   up this mountaintop and says the two of them walked on together now are they talking what's
[01:18:59.340 --> 01:19:07.900]   going on? Man, this is just a massively tense atmosphere here in this situation. It's very
[01:19:07.900 --> 01:19:15.360]   important to understand the heart of a father here. One of the guys in my table said that
[01:19:15.360 --> 01:19:22.300]   Isaac, it seems like his silence feels very loud. We have much more of Abraham's like
[01:19:22.300 --> 01:19:26.820]   kind of actions, Abraham's kind of moving around doing things. Isaac, there's not much
[01:19:26.820 --> 01:19:33.300]   going on with Isaac right but they're walking on together here I don't know I don't know if they're
[01:19:33.300 --> 01:19:38.580]   quiet I don't know if he's weeping I don't know what he's thinking and then verse 7 Isaac spoke
[01:19:38.580 --> 01:19:45.320]   to Abraham his father and said my father and he said here I am my son and he said behold the fire
[01:19:45.320 --> 01:19:51.020]   and the wood but where is the lamb for the burnt offering okay so this is after some time walking
[01:19:51.020 --> 01:19:58.560]   right now that's gonna break a father's heart can you imagine that like your son looking up at you
[01:19:58.560 --> 01:20:06.960]   and saying wait something's not adding up here you know like uh there's one thing missing right
[01:20:06.960 --> 01:20:13.220]   it says where is the lamb a very innocent question abraham answers by saying god will provide for
[01:20:13.220 --> 01:20:19.420]   himself the lamb for the burnt offering my son already we're starting to get inside into abraham's
[01:20:19.420 --> 01:20:26.540]   thought process. He says, God's going to provide this lamb. And the two of them continue to walk
[01:20:26.540 --> 01:20:34.140]   on. Now, did Abraham believe that? We don't know, we don't know like what exactly he's thinking,
[01:20:34.140 --> 01:20:42.220]   but he had faith. And that's the point. Okay, so we move on. Then they came to the place of which
[01:20:42.220 --> 01:20:47.260]   God had told him, and Abraham built the altar there and arranged the wood. And here it is.
[01:20:47.260 --> 01:20:50.880]   And then he, this is like, there's no turning back, right?
[01:20:50.880 --> 01:20:55.620]   He binds his son Isaac, lays him on the altar on top of this wood.
[01:20:55.620 --> 01:21:02.400]   Now, let's just say Isaac is 15 years old.
[01:21:02.400 --> 01:21:04.600]   Then Abraham would be 115.
[01:21:04.600 --> 01:21:08.080]   If Isaac is 20 years old, then Abraham would be 120 years old, right?
[01:21:08.080 --> 01:21:15.020]   The whole point is here, Isaac could very easily have gotten out of this situation, right?
[01:21:15.020 --> 01:21:22.140]   can you imagine a 115 year old man trying to bind this 20 year old man you know you see what i'm
[01:21:22.140 --> 01:21:29.360]   saying i just i remember i remember a a season where um one of our kids were getting a flu shot
[01:21:29.360 --> 01:21:35.480]   and and it was just impossible to hold this child you know they're like no they don't want to do it
[01:21:35.480 --> 01:21:43.040]   you know it's just so hard like clearly isaac is just silently being bound by his father and at
[01:21:43.040 --> 01:21:50.800]   that point, you would think, Isaac must know. Isaac must know why, okay, dad is finding
[01:21:50.800 --> 01:21:59.000]   me right now. And we get this picture of Isaiah 53 where he says, like a silent lamb
[01:21:59.000 --> 01:22:06.020]   or a silent sheep led to slaughter. And he laid him on the altar on top of this wood.
[01:22:07.160 --> 01:22:10.100]   Isaac, was it struggling against his dad?
[01:22:10.100 --> 01:22:13.760]   There's so much unspoken tension here.
[01:22:13.760 --> 01:22:16.160]   We think, what is Abraham thinking?
[01:22:16.160 --> 01:22:17.740]   What is Isaac thinking?
[01:22:17.740 --> 01:22:21.800]   Is he questioning in his mind?
[01:22:21.800 --> 01:22:24.760]   Is Abraham like weeping?
[01:22:24.760 --> 01:22:26.360]   I would imagine Abraham is weeping.
[01:22:26.360 --> 01:22:32.800]   I know it sounds crazy,
[01:22:32.800 --> 01:22:36.660]   but when we look at Deuteronomy 12.31,
