
[00:00:00.000 --> 00:00:21.100]   Thou the nations rage, kingdoms rise and fall, there is still one King reigning over all.
[00:10:04.480 --> 00:10:20.480]   By grace I am redeemed, by grace I am restored, and now I freely walk into the arms of Christ my Lord.
[00:10:20.480 --> 00:10:25.480]   I freely walk into the arms of Christ my Lord.
[00:10:25.480 --> 00:10:45.480]   By grace I am redeemed, by grace I am restored, and now I freely walk into the arms of Christ my Lord.
[00:10:49.480 --> 00:10:54.480]   All right, good morning, welcome to Breen Community Church.
[00:10:54.480 --> 00:10:57.480]   A few announcements.
[00:10:57.480 --> 00:11:05.480]   First of all, if you are part of our singles ministry, the band ministry, the Christmas party for you guys are happening on December 20th at 5pm.
[00:11:05.480 --> 00:11:08.480]   That's a Sunday in the sanctuary at 5pm.
[00:11:08.480 --> 00:11:10.480]   So if you are planning to come, please sign up for that.
[00:11:10.480 --> 00:11:16.480]   It is a potluck gathering, so you will need to sign up and sign up for the potluck as well.
[00:11:16.480 --> 00:11:20.480]   And then, women's basketball.
[00:11:20.480 --> 00:11:25.480]   Some of the ladies asked me how come we didn't announce the WBBA, so we are announcing it now.
[00:11:25.480 --> 00:11:32.480]   So if you are planning to play, it is happening at the same time on Sundays, starting from January 11th at 4pm.
[00:11:32.480 --> 00:11:34.480]   So please sign up for that.
[00:11:34.480 --> 00:11:38.480]   And then, again, you must be a member to be able to participate in that.
[00:11:38.480 --> 00:11:41.480]   And then finally, Breen Missions t-shirt fundraiser.
[00:11:41.480 --> 00:11:44.480]   So we made announcements a few times about that.
[00:11:44.480 --> 00:11:49.480]   The fundraiser table for the shirts will be set up outside.
[00:11:49.480 --> 00:11:51.480]   So as you go outside, you will probably see a table.
[00:11:51.480 --> 00:11:53.480]   And you can sign up for it.
[00:11:53.480 --> 00:11:56.480]   I don't think they have the t-shirts yet, but if you sign up for it, it should be coming soon.
[00:11:56.480 --> 00:12:05.480]   And the cost of it is $30, and the proceeds are going to help the members of our team that are going to South Korea and India coming up in January.
[00:12:05.480 --> 00:12:06.480]   Okay?
[00:12:06.480 --> 00:12:08.480]   Alright, so let me pray for the offering.
[00:12:08.480 --> 00:12:13.480]   And again, if you do have a physical offering, we have an offering box in the back that you can visit on the way out.
[00:12:13.480 --> 00:12:14.480]   Alright, let's pray.
[00:12:14.480 --> 00:12:23.480]   Father, I pray for your continued grace and love that you pour upon us.
[00:12:24.480 --> 00:12:29.480]   We pray, Father, for your Holy Spirit to lead us, that we may worship you, Father God.
[00:12:29.480 --> 00:12:37.480]   Undistracted in whatever it is that we have been entangled with and cause us, Lord, to have our minds be focused on.
[00:12:37.480 --> 00:12:44.480]   I pray that you would direct our path toward you, our thoughts, our will, our praise, that it may all belong to you.
[00:12:44.480 --> 00:12:48.480]   We pray, Father God, that you would bless this time, bless the offering that we give.
[00:12:48.480 --> 00:12:51.480]   May it be given joyfully, bountifully.
[00:12:51.480 --> 00:12:57.480]   And we pray for wisdom and your grace, Lord God, to be able to handle it in such a way that greater honor would come to you.
[00:12:57.480 --> 00:12:59.480]   We thank you, Father, in Jesus' name we pray.
[00:12:59.480 --> 00:13:00.480]   Amen.
[00:13:00.480 --> 00:13:30.460]   Thank you.
[00:13:30.460 --> 00:13:43.740]   Let us all rise and let's spend a few moments to greet the neighbors around us before we continue.
[00:13:43.740 --> 00:14:13.720]   Let us all rise and let's spend a few moments to do.
[00:14:13.720 --> 00:14:43.700]   Let us all rise and let's spend a few moments to do.
[00:14:43.700 --> 00:15:13.680]   Let us all rise and let's spend a few moments to do.
[00:15:13.680 --> 00:15:43.660]   Let us all rise and let's spend a few moments to do.
[00:15:43.660 --> 00:16:13.640]   Let us all rise and let's spend a few moments to do.
[00:16:13.640 --> 00:16:43.620]   Let us all rise and let's spend a few moments to do.
[00:16:43.620 --> 00:17:13.600]   Let us all rise and let's spend a few moments to do.
[00:17:13.600 --> 00:17:43.580]   Let us all rise and let's spend a few moments to do.
[00:17:43.580 --> 00:18:13.560]   Let us all rise and let's spend a few moments to do.
[00:18:13.560 --> 00:18:43.540]   Let us all rise and let's spend a few moments to do.
[00:18:43.540 --> 00:19:13.520]   Let us all rise and let's spend a few moments to do.
[00:19:13.520 --> 00:19:43.500]   Let us all rise and let's spend a few moments to do.
[00:19:43.500 --> 00:20:13.480]   Let us all rise and let's spend a few moments to do.
[00:20:13.480 --> 00:20:43.460]   Let us all rise and let's spend a few moments to do.
[00:20:43.460 --> 00:21:13.440]   Let us all rise and let's see.
[00:21:13.440 --> 00:21:43.420]   Let us all rise and let's spend a few moments to do.
[00:21:43.420 --> 00:22:13.400]   Let us all rise and let's spend a few moments to do.
[00:22:13.400 --> 00:22:43.380]   Let's all rise and let's spend a few moments to do.
[00:22:43.380 --> 00:23:13.360]   Let us all rise and let's all rise and let's spend a few moments to do.
[00:23:13.360 --> 00:23:43.340]   Let us all rise and let's spend a few moments to do.
[00:23:43.340 --> 00:24:13.320]   Let us all rise and let's spend a few moments to do.
[00:24:13.320 --> 00:24:43.300]   Let's spend a few moments to do.
[00:24:43.300 --> 00:25:13.280]   Let's all rise and let's spend a few moments to do.
[00:25:13.280 --> 00:25:43.260]   Let us all rise and let's spend a few moments to do.
[00:25:43.260 --> 00:26:13.240]   Let us all rise and let's take a few moments to do.
[00:26:13.240 --> 00:26:43.220]   Let us all rise and let's all rise and let's start a few moments to do.
[00:26:43.220 --> 00:27:13.200]   Let us all rise and let's all rise and let's all rise and let's do.
[00:27:13.200 --> 00:27:43.180]   Let's all rise and let's do this.
[00:27:43.180 --> 00:28:13.160]   Let's all rise and let's do this.
[00:28:13.160 --> 00:28:43.140]   Let's all rise and let's all rise and let's all rise and let's do this.
[00:28:43.140 --> 00:29:13.120]   Let's all rise and let's do this.
[00:29:13.120 --> 00:29:43.100]   Let's all rise and let's do this.
[00:29:43.100 --> 00:30:13.080]   Let's all rise and let's do this.
[00:30:13.080 --> 00:30:43.060]   Let's do this.
[00:30:43.060 --> 00:31:13.040]   Let's guide us, let's do this.
[00:31:13.040 --> 00:31:43.020]   Let's do this.
[00:31:43.020 --> 00:32:13.000]   Let's do this.
[00:32:13.000 --> 00:32:42.980]   Let's do this.
[00:32:42.980 --> 00:33:12.960]   Let's do this.
[00:33:12.960 --> 00:33:42.940]   Let's do this.
[00:33:42.940 --> 00:34:12.920]   Let's do this.
[00:34:12.920 --> 00:34:42.900]   Let's do this.
[00:34:42.900 --> 00:35:12.880]   Let's do this.
[00:35:12.880 --> 00:35:42.860]   Let's do this.
[00:35:42.860 --> 00:36:12.840]   Let's do this.
[00:36:12.840 --> 00:36:42.820]   Let's do this.
[00:36:42.820 --> 00:37:12.800]   Let's do this.
[00:37:12.800 --> 00:37:42.780]   Let's do this.
[00:37:42.780 --> 00:38:12.760]   Let's do this.
[00:38:12.760 --> 00:38:42.740]   Let's do this.
[00:38:42.740 --> 00:39:12.720]   Let's do this.
[00:39:12.720 --> 00:39:42.700]   Let's do this.
[00:39:42.700 --> 00:40:12.680]   Let's do this.
[00:40:12.680 --> 00:40:42.660]   Let's do this.
[00:40:42.660 --> 00:41:12.640]   Let's do this.
[00:41:12.640 --> 00:41:42.620]   Let's do this.
[00:41:42.620 --> 00:42:12.600]   Let's do this.
[00:42:12.600 --> 00:42:42.580]   Let's do this.
[00:42:42.580 --> 00:43:12.560]   Let's do this.
[00:43:12.560 --> 00:43:42.540]   Let's do this.
[00:43:42.540 --> 00:44:12.520]   Let's do this.
[00:44:12.520 --> 00:44:42.500]   Let's do this.
[00:44:42.500 --> 00:45:12.480]   Let's do this.
[00:45:12.480 --> 00:45:42.460]   Let's do this.
[00:45:42.460 --> 00:46:12.440]   Let's do this.
[00:46:12.440 --> 00:46:42.420]   Let's do this.
[00:46:42.420 --> 00:47:12.400]   Let's do this.
[00:47:12.400 --> 00:47:42.380]   Let's do this.
[00:47:42.380 --> 00:48:12.360]   Let's do this.
[00:48:12.360 --> 00:48:42.340]   Let's do this.
[00:48:42.340 --> 00:49:12.320]   Let's do this.
[00:49:12.320 --> 00:49:42.300]   Let's do this.
[00:49:42.300 --> 00:50:12.280]   Let's do this.
[00:50:12.280 --> 00:50:42.260]   Let's do this.
[00:50:42.260 --> 00:51:12.240]   Let's do this.
[00:51:12.240 --> 00:51:42.220]   Let's do this.
[00:51:42.220 --> 00:52:12.200]   Let's do this.
[00:52:12.200 --> 00:52:42.180]   Let's do this.
[00:52:42.180 --> 00:53:12.160]   Let's do this.
[00:53:12.160 --> 00:53:42.140]   Let's do this.
[00:53:42.140 --> 00:54:12.120]   Let's do this.
[00:54:12.120 --> 00:54:42.100]   Let's do this.
[00:54:42.100 --> 00:55:12.080]   Let's do this.
[00:55:12.080 --> 00:55:42.060]   Let's do this.
[00:55:42.060 --> 00:56:12.040]   Let's do this.
[00:56:12.040 --> 00:56:42.020]   Let's do this.
[00:56:42.020 --> 00:57:12.000]   Let's do this.
[00:57:12.000 --> 00:57:41.980]   Let's do this.
[00:57:41.980 --> 00:58:11.960]   Let's do this.
[00:58:11.960 --> 00:58:41.940]   Let's do this.
[00:58:41.940 --> 00:59:11.920]   Let's do this.
[00:59:11.920 --> 00:59:41.900]   Let's do this.
[00:59:41.900 --> 01:00:11.880]   Let's do this.
[01:00:11.880 --> 01:00:41.860]   Let's do this.
[01:00:41.860 --> 01:01:11.840]   Let's do this.
[01:01:11.840 --> 01:01:41.820]   Let's do this.
[01:01:41.820 --> 01:02:11.800]   Let's do this.
[01:02:11.800 --> 01:02:41.780]   Let's do this.
[01:02:41.780 --> 01:03:11.760]   Let's do this.
[01:03:11.760 --> 01:03:41.740]   Let's do this.
[01:03:41.740 --> 01:04:11.720]   Let's do this.
[01:04:11.720 --> 01:04:41.700]   Let's do this.
[01:04:41.700 --> 01:05:11.680]   Let's do this.
[01:05:11.680 --> 01:05:41.660]   Let's do this.
[01:05:41.660 --> 01:06:11.640]   Let's do this.
[01:06:11.640 --> 01:06:41.620]   Let's do this.
[01:06:41.620 --> 01:07:11.600]   Let's do this.
[01:07:11.600 --> 01:07:41.580]   Let's do this.
[01:07:41.580 --> 01:08:11.560]   Let's do this.
[01:08:11.560 --> 01:08:41.540]   Let's do this.
[01:08:41.540 --> 01:09:11.520]   Let's do this.
[01:09:11.520 --> 01:09:41.500]   Let's do this.
[01:09:41.500 --> 01:10:11.480]   Let's do this.
[01:10:11.480 --> 01:10:41.460]   Let's do this.
[01:10:41.460 --> 01:11:11.440]   Let's do this.
[01:11:11.440 --> 01:11:41.420]   Let's do this.
[01:11:41.420 --> 01:12:11.400]   Let's do this.
[01:12:11.400 --> 01:12:41.380]   Let's do this.
[01:12:41.380 --> 01:13:11.360]   Let's do this.
[01:13:11.360 --> 01:13:41.340]   Let's do this.
[01:13:41.340 --> 01:14:11.320]   Let's do this.
[01:14:11.320 --> 01:14:41.300]   Let's do this.
[01:14:41.300 --> 01:15:11.280]   Let's do this.
[01:15:11.280 --> 01:15:41.260]   Let's do this.
[01:15:41.260 --> 01:16:11.240]   Let's do this.
[01:16:11.240 --> 01:16:41.220]   Let's do this.
[01:16:41.220 --> 01:17:11.200]   Let's do this.
[01:17:11.200 --> 01:17:41.180]   Let's do this.
[01:17:41.180 --> 01:18:11.160]   Let's do this.
[01:18:11.160 --> 01:18:41.140]   Let's do this.
[01:18:41.140 --> 01:19:11.120]   Let's do this.
[01:19:11.120 --> 01:19:41.100]   Let's do this.
[01:19:41.100 --> 01:20:11.080]   Let's do this.
[01:20:11.080 --> 01:20:41.060]   Let's do this.

