
[00:00:00.000 --> 00:00:06.760]   Okay. Let's pray.
[00:06:06.080 --> 00:06:07.080]   Christ in power liberated, as we will be.
[00:06:07.080 --> 00:06:08.080]   Christ in power liberated, as we will be.
[00:06:08.080 --> 00:06:09.080]   Christ in power liberated, as we will be.
[00:06:09.080 --> 00:06:11.080]   Christ in power liberated, as we will be.
[00:06:11.080 --> 00:06:12.080]   Christ in power liberated, as we will be.
[00:06:12.080 --> 00:06:13.080]   Christ in power liberated, as we will be.
[00:06:13.080 --> 00:06:14.080]   Christ in power liberated, as we will be.
[00:06:14.080 --> 00:06:15.080]   Christ in power liberated, as we will be.
[00:06:15.080 --> 00:06:16.080]   Christ in power liberated, as we will be.
[00:06:16.080 --> 00:06:17.080]   Christ in power liberated, as we will be.
[00:06:17.080 --> 00:06:18.080]   Christ in power liberated, as we will be.
[00:06:18.080 --> 00:06:19.080]   Christ in power liberated, as we will be.
[00:06:19.080 --> 00:06:20.080]   Christ in power liberated, as we will be.
[00:06:20.080 --> 00:06:21.080]   Christ in power liberated, as we will be.
[00:06:21.080 --> 00:06:22.080]   Christ in power liberated, as we will be.
[00:06:22.080 --> 00:06:23.080]   Christ in power liberated, as we will be.
[00:06:23.080 --> 00:06:24.080]   Christ in power liberated, as we will be.
[00:06:24.080 --> 00:06:25.080]   Christ in power liberated, as we will be.
[00:06:25.080 --> 00:06:26.080]   Christ in power liberated, as we will be.
[00:06:26.080 --> 00:06:28.080]   Christ in power liberated, as we will be.
[00:06:28.080 --> 00:06:29.080]   Christ in power liberated, as we will be.
[00:06:29.080 --> 00:06:30.080]   Christ in power liberated, as we will be.
[00:06:30.080 --> 00:06:31.080]   Christ in power liberated, as we will be.
[00:06:31.080 --> 00:06:32.080]   Christ in power liberated, as we will be.
[00:06:32.080 --> 00:06:33.080]   Christ in power liberated, as we will be.
[00:06:33.080 --> 00:06:34.080]   Christ in power liberated, as we will be.
[00:06:34.080 --> 00:06:35.080]   Christ in power liberated, as we will be.
[00:06:35.080 --> 00:06:36.080]   Christ in power liberated, as we will be.
[00:06:36.080 --> 00:06:37.080]   Christ in power liberated, as we will be.
[00:06:37.080 --> 00:06:38.080]   Christ in power liberated, as we will be.
[00:06:38.080 --> 00:06:39.080]   Christ in power liberated, as we will be.
[00:06:39.080 --> 00:06:40.080]   Christ in power liberated, as we will be.
[00:06:40.080 --> 00:06:41.080]   Christ in power liberated, as we will be.
[00:06:41.080 --> 00:06:42.080]   Christ in power liberated, as we will be.
[00:06:42.080 --> 00:06:43.080]   Christ in power liberated, as we will be.
[00:06:43.080 --> 00:06:44.080]   Christ in power liberated, as we will be.
[00:06:44.080 --> 00:06:45.080]   Christ in power liberated, as we will be.
[00:06:45.080 --> 00:06:46.080]   Christ in power liberated, as we will be.
[00:06:46.080 --> 00:06:47.080]   Christ in power liberated, as we will be.
[00:06:47.080 --> 00:06:48.080]   Christ in power liberated, as we will be.
[00:06:48.080 --> 00:06:49.080]   Christ in power liberated, as we will be.
[00:06:49.080 --> 00:06:50.080]   Christ in power liberated, as we will be.
[00:06:50.080 --> 00:06:51.080]   Christ in power liberated, as we will be.
[00:06:51.080 --> 00:06:52.080]   Christ in power liberated, as we will be.
[00:06:52.080 --> 00:06:53.080]   Christ in power liberated, as we will be.
[00:06:53.080 --> 00:06:54.080]   Christ in power liberated, as we will be.
[00:06:54.080 --> 00:06:55.080]   Christ in power liberated, as we will be.
[00:06:55.080 --> 00:06:56.080]   Christ in power liberated, as we will be.
[00:06:56.080 --> 00:06:57.080]   Christ in power liberated, as we will be.
[00:06:57.080 --> 00:06:58.080]   Christ in power liberated, as we will be.
[00:06:58.080 --> 00:06:59.080]   Christ in power liberated, as we will be.
[00:06:59.080 --> 00:07:00.080]   Christ in power liberated, as we will be.
[00:07:00.080 --> 00:07:01.080]   Christ in power liberated, as we will be.
[00:07:01.080 --> 00:07:02.080]   Christ in power liberated, as we will be.
[00:07:02.080 --> 00:07:03.080]   Christ in power liberated, as we will be.
[00:07:03.080 --> 00:07:04.080]   Christ in power liberated, as we will be.
[00:07:04.080 --> 00:07:05.080]   Christ in power liberated, as we will be.
[00:07:05.080 --> 00:07:07.080]   Christ in power liberated, as we will be.
[00:07:07.080 --> 00:07:08.080]   Christ in power liberated, as we will be.
[00:07:08.080 --> 00:07:09.080]   Christ in power liberated, as we will be.
[00:07:09.080 --> 00:07:10.080]   Christ in power liberated, as we will be.
[00:07:10.080 --> 00:07:11.080]   Christ in power liberated, as we will be.
[00:07:11.080 --> 00:07:12.080]   Christ in power liberated, as we will be.
[00:07:12.080 --> 00:07:13.080]   Christ in power liberated, as we will be.
[00:07:13.080 --> 00:07:14.080]   Christ in power liberated, as we will be.
[00:07:14.080 --> 00:07:15.080]   Christ in power liberated, as we will be.
[00:07:15.080 --> 00:07:16.080]   Christ in power liberated, as we will be.
[00:07:16.080 --> 00:07:17.080]   Christ in power liberated, as we will be.
[00:07:17.080 --> 00:07:18.080]   Christ in power liberated, as we will be.
[00:07:18.080 --> 00:07:19.080]   Christ in power liberated, as we will be.
[00:07:19.080 --> 00:07:20.080]   Christ in power liberated, as we will be.
[00:07:20.080 --> 00:07:21.080]   Christ in power liberated, as we will be.
[00:07:21.080 --> 00:07:22.080]   Christ in power liberated, as we will be.
[00:07:22.080 --> 00:07:24.080]   Christ in power liberated, as we will be.
[00:07:24.080 --> 00:07:25.080]   Christ in power liberated, as we will be.
[00:07:25.080 --> 00:07:26.080]   Christ in power liberated, as we will be.
[00:07:26.080 --> 00:07:27.080]   Christ in power liberated, as we will be.
[00:07:27.080 --> 00:07:28.080]   Christ in power liberated, as we will be.
[00:07:28.080 --> 00:07:29.080]   Christ in power liberated, as we will be.
[00:07:29.080 --> 00:07:30.080]   Christ in power liberated, as we will be.
[00:07:30.080 --> 00:07:31.080]   Christ in power liberated, as we will be.
[00:07:31.080 --> 00:07:32.080]   Christ in power liberated, as we will be.
[00:07:32.080 --> 00:07:33.080]   Christ in power liberated, as we will be.
[00:07:33.080 --> 00:07:34.080]   Christ in power liberated, as we will be.
[00:07:34.080 --> 00:07:35.080]   Christ in power liberated, as we will be.
[00:07:35.080 --> 00:07:36.080]   Christ in power liberated, as we will be.
[00:07:36.080 --> 00:07:37.080]   Christ in power liberated, as we will be.
[00:07:37.080 --> 00:07:38.080]   Christ in power liberated, as we will be.
[00:07:38.080 --> 00:07:39.080]   Christ in power liberated, as we will be.
[00:07:39.080 --> 00:07:40.080]   Christ in power liberated, as we will be.
[00:07:40.080 --> 00:07:41.080]   Christ in power liberated, as we will be.
[00:07:41.080 --> 00:07:42.080]   Christ in power liberated, as we will be.
[00:07:42.080 --> 00:07:43.080]   Christ in power liberated, as we will be.
[00:07:43.080 --> 00:07:44.080]   Christ in power liberated, as we will be.
[00:07:44.080 --> 00:07:45.080]   Christ in power liberated, as we will be.
[00:07:45.080 --> 00:07:46.080]   Christ in power liberated, as we will be.
[00:07:46.080 --> 00:07:47.080]   Christ in power liberated, as we will be.
[00:07:47.080 --> 00:07:48.080]   Christ in power liberated, as we will be.
[00:07:48.080 --> 00:07:49.080]   Christ in power liberated, as we will be.
[00:07:49.080 --> 00:07:50.080]   Christ in power liberated, as we will be.
[00:07:50.080 --> 00:07:51.080]   Christ in power liberated, as we will be.
[00:07:51.080 --> 00:07:52.080]   Christ in power liberated, as we will be.
[00:07:52.080 --> 00:07:53.080]   Christ in power liberated, as we will be.
[00:07:53.080 --> 00:07:54.080]   Christ in power liberated, as we will be.
[00:07:54.080 --> 00:07:55.080]   Christ in power liberated, as we will be.
[00:07:55.080 --> 00:07:56.080]   Christ in power liberated, as we will be.
[00:07:56.080 --> 00:07:57.080]   Christ in power liberated, as we will be.
[00:07:57.080 --> 00:07:58.080]   Christ in power liberated, as we will be.
[00:07:58.080 --> 00:07:59.080]   Christ in power liberated, as we will be.
[00:07:59.080 --> 00:08:00.080]   Christ in power liberated, as we will be.
[00:08:00.080 --> 00:08:01.080]   Christ in power liberated, as we will be.
[00:08:01.080 --> 00:08:02.080]   Christ in power liberated, as we will be.
[00:08:02.080 --> 00:08:03.080]   Christ in power liberated, as we will be.
[00:08:03.080 --> 00:08:04.080]   Christ in power liberated, as we will be.
[00:08:04.080 --> 00:08:05.080]   Christ in power liberated, as we will be.
[00:08:05.080 --> 00:08:06.080]   Christ in power liberated, as we will be.
[00:08:06.080 --> 00:08:07.080]   Christ in power liberated, as we will be.
[00:08:07.080 --> 00:08:08.080]   Christ in power liberated, as we will be.
[00:08:08.080 --> 00:08:09.080]   Christ in power liberated, as we will be.
[00:08:09.080 --> 00:08:10.080]   Christ in power liberated, as we will be.
[00:08:10.080 --> 00:08:11.080]   Christ in power liberated, as we will be.
[00:08:11.080 --> 00:08:12.080]   Christ in power liberated, as we will be.
[00:08:12.080 --> 00:08:13.080]   Christ in power liberated, as we will be.
[00:08:13.080 --> 00:08:14.080]   Christ in power liberated, as we will be.
[00:08:14.080 --> 00:08:15.080]   Christ in power liberated, as we will be.
[00:08:15.080 --> 00:08:16.080]   Christ in power liberated, as we will be.
[00:08:16.080 --> 00:08:17.080]   Christ in power liberated, as we will be.
[00:08:17.080 --> 00:08:18.080]   Christ in power liberated, as we will be.
[00:08:18.080 --> 00:08:19.080]   Christ in power liberated, as we will be.
[00:08:19.080 --> 00:08:20.080]   Christ in power liberated, as we will be.
[00:08:20.080 --> 00:08:21.080]   Christ in power liberated, as we will be.
[00:08:21.080 --> 00:08:22.080]   Christ in power liberated, as we will be.
[00:08:22.080 --> 00:08:23.080]   Christ in power liberated, as we will be.
[00:08:23.080 --> 00:08:24.080]   Christ in power liberated, as we will be.
[00:08:24.080 --> 00:08:25.080]   Christ in power liberated, as we will be.
[00:08:25.080 --> 00:08:26.080]   Christ in power liberated, as we will be.
[00:08:26.080 --> 00:08:27.080]   Christ in power liberated, as we will be.
[00:08:27.080 --> 00:08:28.080]   Christ in power liberated, as we will be.
[00:08:28.080 --> 00:08:29.080]   Christ in power liberated, as we will be.
[00:08:29.080 --> 00:08:30.080]   Christ in power liberated, as we will be.
[00:08:30.080 --> 00:08:31.080]   Christ in power liberated, as we will be.
[00:08:31.080 --> 00:08:32.080]   Christ in power liberated, as we will be.
[00:08:32.080 --> 00:08:33.080]   Christ in power liberated, as we will be.
[00:08:33.080 --> 00:08:34.080]   Christ in power liberated, as we will be.
[00:08:34.080 --> 00:08:35.080]   Christ in power liberated, as we will be.
[00:08:35.080 --> 00:08:36.080]   Christ in power liberated, as we will be.
[00:08:36.080 --> 00:08:37.080]   Christ in power liberated, as we will be.
[00:08:37.080 --> 00:08:38.080]   Christ in power liberated, as we will be.
[00:08:38.080 --> 00:08:39.080]   Christ in power liberated, as we will be.
[00:08:39.080 --> 00:08:40.080]   Christ in power liberated, as we will be.
[00:08:40.080 --> 00:08:41.080]   Christ in power liberated, as we will be.
[00:08:41.080 --> 00:08:42.080]   Christ in power liberated, as we will be.
[00:08:42.080 --> 00:08:43.080]   Christ in power liberated, as we will be.
[00:08:43.080 --> 00:08:44.080]   Christ in power liberated, as we will be.
[00:08:44.080 --> 00:08:45.080]   Christ in power liberated, as we will be.
[00:08:45.080 --> 00:08:46.080]   Christ in power liberated, as we will be.
[00:08:46.080 --> 00:08:47.080]   Christ in power liberated, as we will be.
[00:08:47.080 --> 00:08:48.080]   Christ in power liberated, as we will be.
[00:08:48.080 --> 00:08:49.080]   Christ in power liberated, as we will be.
[00:08:49.080 --> 00:08:50.080]   Christ in power liberated, as we will be.
[00:08:50.080 --> 00:08:51.080]   Christ in power liberated, as we will be.
[00:08:51.080 --> 00:08:52.080]   Christ in power liberated, as we will be.
[00:08:52.080 --> 00:08:53.080]   Christ in power liberated, as we will be.
[00:08:53.080 --> 00:08:54.080]   Christ in power liberated, as we will be.
[00:08:54.080 --> 00:08:55.080]   Christ in power liberated, as we will be.
[00:08:55.080 --> 00:08:57.080]   Christ in power liberated, as we will be.
[00:08:57.080 --> 00:08:58.080]   Christ in power liberated, as we will be.
[00:08:58.080 --> 00:08:59.080]   Christ in power liberated, as we will be.
[00:08:59.080 --> 00:09:00.080]   Christ in power liberated, as we will be.
[00:09:00.080 --> 00:09:01.080]   Christ in power liberated, as we will be.
[00:09:01.080 --> 00:09:02.080]   Christ in power liberated, as we will be.
[00:09:02.080 --> 00:09:03.080]   Christ in power liberated, as we will be.
[00:09:03.080 --> 00:09:04.080]   Christ in power liberated, as we will be.
[00:09:04.080 --> 00:09:05.080]   Christ in power liberated, as we will be.
[00:09:05.080 --> 00:09:06.080]   Christ in power liberated, as we will be.
[00:09:06.080 --> 00:09:07.080]   Christ in power liberated, as we will be.
[00:09:07.080 --> 00:09:08.080]   Christ in power liberated, as we will be.
[00:09:08.080 --> 00:09:09.080]   Christ in power liberated, as we will be.
[00:09:09.080 --> 00:09:10.080]   Christ in power liberated, as we will be.
[00:09:10.080 --> 00:09:11.080]   Christ in power liberated, as we will be.
[00:09:11.080 --> 00:09:12.080]   Christ in power liberated, as we will be.
[00:09:12.080 --> 00:09:13.080]   Christ in power liberated, as we will be.
[00:09:13.080 --> 00:09:14.080]   Christ in power liberated, as we will be.
[00:09:14.080 --> 00:09:15.080]   Christ in power liberated, as we will be.
[00:09:15.080 --> 00:09:16.080]   Christ in power liberated, as we will be.
[00:09:16.080 --> 00:09:17.080]   Christ in power liberated, as we will be.
[00:09:17.080 --> 00:09:19.080]   Christ in power liberated, as we will be.
[00:09:19.080 --> 00:09:20.080]   Christ in power liberated, as we will be.
[00:09:20.080 --> 00:09:21.080]   Christ in power liberated, as we will be.
[00:09:21.080 --> 00:09:22.080]   Christ in power liberated, as we will be.
[00:09:22.080 --> 00:09:23.080]   Christ in power liberated, as we will be.
[00:09:23.080 --> 00:09:24.080]   Christ in power liberated, as we will be.
[00:09:24.080 --> 00:09:25.080]   Christ in power liberated, as we will be.
[00:09:25.080 --> 00:09:26.080]   Christ in power liberated, as we will be.
[00:09:26.080 --> 00:09:27.080]   Christ in power liberated, as we will be.
[00:09:27.080 --> 00:09:28.080]   Christ in power liberated, as we will be.
[00:09:28.080 --> 00:09:29.080]   Christ in power liberated, as we will be.
[00:09:29.080 --> 00:09:30.080]   Christ in power liberated, as we will be.
[00:09:30.080 --> 00:09:31.080]   Christ in power liberated, as we will be.
[00:09:31.080 --> 00:09:32.080]   Christ in power liberated, as we will be.
[00:09:32.080 --> 00:09:33.080]   Christ in power liberated, as we will be.
[00:09:33.080 --> 00:09:48.080]   Christ in power liberated, as we will be.
[00:09:48.080 --> 00:09:52.080]   Christ in power liberated, as we will be.
[00:09:52.080 --> 00:09:53.080]   Christ in power liberated, as we will be.
[00:09:53.080 --> 00:09:54.080]   Christ in power liberated, as we will be.
[00:09:54.080 --> 00:09:55.080]   Christ in power liberated, as we will be.
[00:09:55.080 --> 00:09:56.080]   Christ in power liberated, as we will be.
[00:09:56.080 --> 00:09:57.080]   Christ in power liberated, as we will be.
[00:09:57.080 --> 00:09:58.080]   Christ in power liberated, as we will be.
[00:09:58.080 --> 00:09:59.080]   Christ in power liberated, as we will be.
[00:09:59.080 --> 00:10:00.080]   Christ in power liberated, as we will be.
[00:10:00.080 --> 00:10:01.080]   Christ in power liberated, as we will be.
[00:10:01.080 --> 00:10:02.080]   Christ in power liberated, as we will be.
[00:10:02.080 --> 00:10:03.080]   Christ in power liberated, as we will be.
[00:10:03.080 --> 00:10:05.080]   Christ in power liberated, as we will be.
[00:10:05.080 --> 00:10:06.080]   Christ in power liberated, as we will be.
[00:10:06.080 --> 00:10:08.080]   Christ in power liberated, as we will be.
[00:10:08.080 --> 00:10:09.080]   Christ in power liberated, as we will be.
[00:10:09.080 --> 00:10:10.080]   Christ in power liberated, as we will be.
[00:10:10.080 --> 00:10:11.080]   Christ in power liberated, as we will be.
[00:10:11.080 --> 00:10:12.080]   Christ in power liberated, as we will be.
[00:10:12.080 --> 00:10:13.080]   Christ in power liberated, as we will be.
[00:10:13.080 --> 00:10:14.080]   Christ in power liberated, as we will be.
[00:10:14.080 --> 00:10:15.080]   Christ in power liberated, as we will be.
[00:10:15.080 --> 00:10:16.080]   Christ in power liberated, as we will be.
[00:10:16.080 --> 00:10:17.080]   Christ in power liberated, as we will be.
[00:10:17.080 --> 00:10:18.080]   Christ in power liberated, as we will be.
[00:10:18.080 --> 00:10:19.080]   Christ in power liberated, as we will be.
[00:10:19.080 --> 00:10:20.080]   Christ in power liberated, as we will be.
[00:10:20.080 --> 00:10:21.080]   Christ in power liberated, as we will be.
[00:10:21.080 --> 00:10:22.080]   Christ in power liberated, as we will be.
[00:10:22.080 --> 00:10:23.080]   Christ in power liberated, as we will be.
[00:10:23.080 --> 00:10:24.080]   Christ in power liberated, as we will be.
[00:10:24.080 --> 00:10:25.080]   Christ in power liberated, as we will be.
[00:10:25.080 --> 00:10:26.080]   Christ in power liberated, as we will be.
[00:10:26.080 --> 00:10:27.080]   Christ in power liberated, as we will be.
[00:10:27.080 --> 00:10:28.080]   Christ in power liberated, as we will be.
[00:10:28.080 --> 00:10:29.080]   Christ in power liberated, as we will be.
[00:10:29.080 --> 00:10:30.080]   Christ in power liberated, as we will be.
[00:10:30.080 --> 00:10:31.080]   Christ in power liberated, as we will be.
[00:10:31.080 --> 00:10:32.080]   Christ in power liberated, as we will be.
[00:10:32.080 --> 00:10:33.080]   Christ in power liberated, as we will be.
[00:10:33.080 --> 00:10:34.080]   Christ in power liberated, as we will be.
[00:10:34.080 --> 00:10:35.080]   Christ in power liberated, as we will be.
[00:10:35.080 --> 00:10:36.080]   Christ in power liberated, as we will be.
[00:10:36.080 --> 00:10:37.080]   Christ in power liberated, as we will be.
[00:10:37.080 --> 00:10:38.080]   Christ in power liberated, as we will be.
[00:10:38.080 --> 00:10:39.080]   Christ in power liberated, as we will be.
[00:10:39.080 --> 00:10:40.080]   Christ in power liberated, as we will be.
[00:10:40.080 --> 00:10:41.080]   Christ in power liberated, as we will be.
[00:10:41.080 --> 00:10:45.080]   And along with that is the Easter resource booth.
[00:10:45.080 --> 00:10:48.080]   That is going to be outside on Resurrection Sunday.
[00:10:48.080 --> 00:10:50.080]   So look for that booth.
[00:10:50.080 --> 00:10:51.080]   Our outreach team is going to be there.
[00:10:51.080 --> 00:10:53.080]   There are going to be resources there.
[00:10:53.080 --> 00:10:55.080]   It is going to be a red canopy.
[00:10:55.080 --> 00:10:56.080]   And they will have a banner set up.
[00:10:56.080 --> 00:10:59.080]   And we will be having some people there to field questions.
[00:10:59.080 --> 00:11:02.080]   And it should be a really good opportunity.
[00:11:02.080 --> 00:11:06.080]   For people that may have questions about Christianity.
[00:11:06.080 --> 00:11:08.080]   Maybe they are going through things in their lives.
[00:11:08.080 --> 00:11:09.080]   To bring them over to that.
[00:11:09.080 --> 00:11:10.080]   And we can pray with them together.
[00:11:10.080 --> 00:11:13.080]   We can walk through different things together.
[00:11:13.080 --> 00:11:15.080]   And with the Passion Week overall.
[00:11:15.080 --> 00:11:17.080]   Please remember that next week.
[00:11:17.080 --> 00:11:19.080]   Monday, Tuesday, and Wednesday.
[00:11:19.080 --> 00:11:21.080]   We will be meeting in the main sanctuary.
[00:11:21.080 --> 00:11:23.080]   For the Passion Week.
[00:11:23.080 --> 00:11:24.080]   Devotions.
[00:11:24.080 --> 00:11:27.080]   And we are going to be having some of our brothers and sisters.
[00:11:27.080 --> 00:11:29.080]   Giving their testimonies on those nights as well.
[00:11:29.080 --> 00:11:30.080]   On Thursday.
[00:11:30.080 --> 00:11:33.080]   If you have yet to sign up for the Passover meal.
[00:11:33.080 --> 00:11:34.080]   Please do.
[00:11:34.080 --> 00:11:35.080]   It is going to be right here in this room.
