
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:04:49.420 --> 00:04:52.420]   So we wanna thank you, God, for everything you provide
[00:04:52.420 --> 00:04:54.420]   in this place.
[00:04:54.420 --> 00:04:57.420]   We wanna take time now to gather our heart,
[00:04:57.420 --> 00:05:01.420]   to focus our minds, and to give to you.
[00:05:01.420 --> 00:05:05.420]   And Lord God, we recognize, just objectively speaking,
[00:05:05.420 --> 00:05:08.420]   that what we give to you is so minuscule
[00:05:08.420 --> 00:05:12.420]   compared to what you have already granted to us in Christ.
[00:05:12.420 --> 00:05:14.420]   Lord, in some sense, we give to you our time,
[00:05:14.420 --> 00:05:17.420]   we give to you our voices.
[00:05:17.420 --> 00:05:20.420]   And what is that in the grand scale of things?
[00:05:20.420 --> 00:05:23.420]   But we know, Father God, that we worship
[00:05:23.420 --> 00:05:25.420]   because we wanna express to you,
[00:05:25.420 --> 00:05:27.420]   you deserve everything.
[00:05:27.420 --> 00:05:29.420]   God, that you own all.
[00:05:29.420 --> 00:05:31.420]   And Lord, that you have us.
[00:05:31.420 --> 00:05:33.420]   We want to express to you that you have our love,
[00:05:33.420 --> 00:05:36.420]   our affection, and God, we want to lift you up
[00:05:36.420 --> 00:05:38.420]   on high in our church.
[00:05:38.420 --> 00:05:40.420]   We thank you, God, it's in Christ's name, amen.
[00:05:43.420 --> 00:06:06.420]   ♪
[00:06:06.420 --> 00:06:11.420]   ♪ My Redeemer's love is deeper ♪
[00:06:11.420 --> 00:06:17.420]   ♪ Than the depths of sin and hell ♪
[00:06:17.420 --> 00:06:22.420]   ♪ He who was enthroned in glory ♪
[00:06:22.420 --> 00:06:28.420]   ♪ Came to bring us to himself ♪
[00:06:28.420 --> 00:06:33.420]   ♪ My Redeemer's love is wider ♪
[00:06:33.420 --> 00:06:39.420]   ♪ Than the breach my sins have made ♪
[00:06:39.420 --> 00:06:44.420]   ♪ He reached down into my darkness ♪
[00:06:44.420 --> 00:06:52.420]   ♪ He alone has power to save ♪
[00:06:52.420 --> 00:06:57.420]   ♪ Deeper than the rolling seas ♪
[00:06:57.420 --> 00:07:01.420]   ♪ Higher than the mountain peaks ♪
[00:07:01.420 --> 00:07:11.420]   ♪ Your love is all I need ♪
[00:07:11.420 --> 00:07:17.420]   ♪ My Redeemer's love is stronger ♪
[00:07:17.420 --> 00:07:22.420]   ♪ Than my fiercest enemies ♪
[00:07:22.420 --> 00:07:28.420]   ♪ He will hold me in the tempest ♪
[00:07:28.420 --> 00:07:33.420]   ♪ Through the flood he carries me ♪
[00:07:33.420 --> 00:07:39.420]   ♪ My Redeemer's love will lead me ♪
[00:07:39.420 --> 00:07:44.420]   ♪ Through the deepest valley here ♪
[00:07:44.420 --> 00:07:50.420]   ♪ He will shepherd me and guide me ♪
[00:07:50.420 --> 00:07:57.420]   ♪ He will ever keep me near ♪
[00:07:57.420 --> 00:08:02.420]   ♪ Deeper than the rolling seas ♪
[00:08:02.420 --> 00:08:06.420]   ♪ Higher than the mountain peaks ♪
[00:08:06.420 --> 00:08:16.420]   ♪ Your love is all I need ♪
[00:08:16.420 --> 00:08:21.420]   ♪ Stronger than the rushing wind ♪
[00:08:21.420 --> 00:08:25.420]   ♪ Shattering the power of sin ♪
[00:08:25.420 --> 00:08:34.420]   ♪ Your love is all I need ♪
[00:08:34.420 --> 00:08:55.420]   ♪
[00:08:55.420 --> 00:09:00.420]   ♪ My Redeemer's love grows sweeter ♪
[00:09:00.420 --> 00:09:06.420]   ♪ As eternity draws near ♪
[00:09:06.420 --> 00:09:11.420]   ♪ I'll enjoy his love forever ♪
[00:09:11.420 --> 00:09:17.420]   ♪ At his throne for endless years ♪
[00:09:17.420 --> 00:09:22.420]   ♪ My Redeemer's love will fill me ♪
[00:09:22.420 --> 00:09:28.420]   ♪ On the day I see his face ♪
[00:09:28.420 --> 00:09:33.420]   ♪ I will love him back forever ♪
[00:09:33.420 --> 00:09:41.420]   ♪ And forever sing his praise ♪
[00:09:41.420 --> 00:09:46.420]   ♪ Deeper than the rolling seas ♪
[00:09:46.420 --> 00:09:50.420]   ♪ Higher than the mountain peaks ♪
[00:09:50.420 --> 00:10:00.420]   ♪ Your love is all I need ♪
[00:10:00.420 --> 00:10:05.420]   ♪ Stronger than the rushing wind ♪
[00:10:05.420 --> 00:10:09.420]   ♪ Shattering the power of sin ♪
[00:10:09.420 --> 00:10:20.420]   ♪ Your love is all I need ♪
[00:10:20.420 --> 00:10:29.420]   ♪ Your love is all I need ♪
[00:10:29.420 --> 00:10:45.420]   ♪
[00:10:45.420 --> 00:10:49.420]   ♪ When the music fades ♪
[00:10:49.420 --> 00:10:52.420]   ♪ And all is stripped away ♪
[00:10:52.420 --> 00:10:59.420]   ♪ And I simply come ♪
[00:10:59.420 --> 00:11:03.420]   ♪ Longing just to bring ♪
[00:11:03.420 --> 00:11:06.420]   ♪ Something that's of worth ♪
[00:11:06.420 --> 00:11:12.420]   ♪ That will bless your heart ♪
[00:11:12.420 --> 00:11:17.420]   ♪ I'll bring you more than a song ♪
[00:11:17.420 --> 00:11:20.420]   ♪ For a song in itself ♪
[00:11:20.420 --> 00:11:27.420]   ♪ Is not what you have required ♪
[00:11:27.420 --> 00:11:32.420]   ♪ You search much deeper within ♪
[00:11:32.420 --> 00:11:35.420]   ♪ Through the way things appear ♪
[00:11:35.420 --> 00:11:42.420]   ♪ You're looking into my heart ♪
[00:11:42.420 --> 00:11:48.420]   ♪ I'm coming back to the heart of worship ♪
[00:11:48.420 --> 00:11:52.420]   ♪ When it's all about you ♪
[00:11:52.420 --> 00:11:56.420]   ♪ It's all about you, Jesus ♪
[00:11:56.420 --> 00:12:02.420]   ♪ I'm sorry, Lord, for the thing I've made it ♪
[00:12:02.420 --> 00:12:06.420]   ♪ When it's all about you ♪
[00:12:06.420 --> 00:12:11.420]   ♪ It's all about you, Jesus ♪
[00:12:11.420 --> 00:12:15.420]   ♪
[00:12:15.420 --> 00:12:18.420]   King of Endless Worth.
[00:12:18.420 --> 00:12:22.420]   ♪ King of Endless Worth ♪
[00:12:22.420 --> 00:12:25.420]   ♪ No one could express ♪
[00:12:25.420 --> 00:12:32.420]   ♪ How much you deserve ♪
[00:12:32.420 --> 00:12:36.420]   ♪ The one we can pour ♪
[00:12:36.420 --> 00:12:39.420]   ♪ All I have is yours ♪
[00:12:39.420 --> 00:12:46.420]   ♪ Every single breath ♪
[00:12:46.420 --> 00:12:50.420]   ♪ I'll bring you more than a song ♪
[00:12:50.420 --> 00:12:53.420]   ♪ For a song in itself ♪
[00:12:53.420 --> 00:13:00.420]   ♪ Is not what you have required ♪
[00:13:00.420 --> 00:13:04.420]   ♪ You search much deeper within ♪
[00:13:04.420 --> 00:13:07.420]   ♪ Through the way things appear ♪
[00:13:07.420 --> 00:13:14.420]   ♪ You're looking into my heart ♪
[00:13:14.420 --> 00:13:20.420]   ♪ I'm coming back to the heart of worship ♪
[00:13:20.420 --> 00:13:24.420]   ♪ When it's all about you ♪
[00:13:24.420 --> 00:13:28.420]   ♪ It's all about you, Jesus ♪
[00:13:28.420 --> 00:13:34.420]   ♪ I'm sorry, Lord, for the thing I've made it ♪
[00:13:34.420 --> 00:13:38.420]   ♪ When it's all about you ♪
[00:13:38.420 --> 00:13:42.420]   ♪ It's all about you, Jesus ♪
[00:13:42.420 --> 00:13:48.420]   ♪ I'm coming back to the heart of worship ♪
[00:13:48.420 --> 00:13:52.420]   ♪ When it's all about you ♪
[00:13:52.420 --> 00:13:56.420]   ♪ It's all about you, Jesus ♪
[00:13:56.420 --> 00:14:02.420]   ♪ I'm sorry, Lord, for the thing I've made it ♪
[00:14:02.420 --> 00:14:06.420]   ♪ When it's all about you ♪
[00:14:06.420 --> 00:14:14.420]   ♪ It's all about you, Jesus ♪
[00:14:14.420 --> 00:14:18.420]   Let's pray.
[00:14:18.420 --> 00:14:21.420]   Dear Lord, we just are so thankful
[00:14:21.420 --> 00:14:25.420]   for just the gift of salvation that you've given us.
[00:14:25.420 --> 00:14:29.420]   We thank you and we praise you that you are holy God,
[00:14:29.420 --> 00:14:32.420]   that you are perfect in all your ways.
[00:14:32.420 --> 00:14:36.420]   And we confess, God, that oftentimes we so easily forget
[00:14:36.420 --> 00:14:39.420]   who you are, we forget what you've done for us,
[00:14:39.420 --> 00:14:41.420]   we forget who we are.
[00:14:41.420 --> 00:14:44.420]   And I pray, Lord God, that you would just daily remind us
[00:14:44.420 --> 00:14:46.420]   just of the beauty of the gospel,
[00:14:46.420 --> 00:14:48.420]   the beauty of your love for us,
[00:14:48.420 --> 00:14:52.420]   and that we would just always be responding in proper worship,
[00:14:52.420 --> 00:14:57.420]   that we would respond in just bowing down at your feet
[00:14:57.420 --> 00:15:00.420]   in light of your holiness, in light of your love.
[00:15:00.420 --> 00:15:02.420]   And as we continue to study through your word,
[00:15:02.420 --> 00:15:04.420]   and especially as we finish off this series,
[00:15:04.420 --> 00:15:07.420]   allow us to continue to glean much from your word,
[00:15:07.420 --> 00:15:11.420]   to be doers of your word, that we would apply your word,
[00:15:11.420 --> 00:15:14.420]   that we would not just come week by week
[00:15:14.420 --> 00:15:17.420]   and study your word and forget it,
[00:15:17.420 --> 00:15:19.420]   but help us to just be able to apply it.
[00:15:19.420 --> 00:15:21.420]   I pray that you would be with our discussions,
[00:15:21.420 --> 00:15:23.420]   be with Pastor Mark, and let it be a fruitful time.
[00:15:23.420 --> 00:15:25.420]   In your name we pray, amen.
[00:15:25.420 --> 00:15:28.420]   All right, for those of you guys at the door,
[00:15:28.420 --> 00:15:30.420]   please make your way in.
[00:15:30.420 --> 00:15:32.420]   And then, as we usually do,
[00:15:32.420 --> 00:15:34.420]   I would like to highlight for you guys
[00:15:34.420 --> 00:15:37.420]   important announcements for the things coming up.
[00:15:37.420 --> 00:15:42.420]   First, we're really grateful that our cafe ministry
[00:15:42.420 --> 00:15:47.420]   and their volunteers have opened up the cafe
[00:15:47.420 --> 00:15:49.420]   at different times of the week.
[00:15:49.420 --> 00:15:52.420]   But there's gonna be a survey just to see
[00:15:52.420 --> 00:15:56.420]   what kind of special hours they can offer during the summer.
[00:15:56.420 --> 00:15:58.420]   So the QR code is there.
[00:15:58.420 --> 00:16:00.420]   If you guys would take a moment, bust out your phones,
[00:16:00.420 --> 00:16:02.420]   do the quick, quick survey,
[00:16:02.420 --> 00:16:05.420]   so that the cafe ministry can think about
[00:16:05.420 --> 00:16:08.420]   what additional times they can open.
[00:16:08.420 --> 00:16:11.420]   And that way, some of you guys who are working from home
[00:16:11.420 --> 00:16:14.420]   or studying, you can do that here at the church.
[00:16:14.420 --> 00:16:17.420]   So please go ahead and do that survey.
[00:16:17.420 --> 00:16:22.420]   And then, I wanna highlight that
[00:16:22.420 --> 00:16:26.420]   we have various classes that are going to be offered.
[00:16:26.420 --> 00:16:29.420]   And the first is Foundations of Marriage class
[00:16:29.420 --> 00:16:32.420]   that's gonna start on May 22nd.
[00:16:32.420 --> 00:16:35.420]   This class is gonna be taught by all three pastors,
[00:16:35.420 --> 00:16:37.420]   taking one session each.
[00:16:37.420 --> 00:16:39.420]   And we'll cover various topics
[00:16:39.420 --> 00:16:41.420]   related to biblical manhood, womanhood,
[00:16:41.420 --> 00:16:44.420]   how to become one, conflict resolution, et cetera.
[00:16:44.420 --> 00:16:47.420]   And particularly for anybody who's engaged,
[00:16:47.420 --> 00:16:50.420]   this is gonna be actually walking them through
[00:16:50.420 --> 00:16:52.420]   a lot of the material that's covered
[00:16:52.420 --> 00:16:54.420]   in premarital counseling, okay?
[00:16:54.420 --> 00:16:56.420]   It is open to the church,
[00:16:56.420 --> 00:17:00.420]   so even if you're not in the stage of being engaged, et cetera,
[00:17:00.420 --> 00:17:02.420]   or you've been married for a while,
[00:17:02.420 --> 00:17:04.420]   you can sign up for that.
[00:17:04.420 --> 00:17:07.420]   The other class is our Fourfold Disciplines
[00:17:07.420 --> 00:17:10.420]   of the Christian Life, taught by Pastor Peter Kim.
[00:17:10.420 --> 00:17:12.420]   That one's gonna overlap a little bit
[00:17:12.420 --> 00:17:14.420]   starting May 28th.
[00:17:14.420 --> 00:17:17.420]   It'll be four sessions, okay, four sessions.
[00:17:17.420 --> 00:17:20.420]   And we'll cover the spiritual disciplines
[00:17:20.420 --> 00:17:24.420]   like our devotions, prayer, fellowship, and evangelism.
[00:17:24.420 --> 00:17:27.420]   So please sign up for that as well.
[00:17:27.420 --> 00:17:30.420]   And then, in July, later in the summer,
[00:17:30.420 --> 00:17:32.420]   there's going to be a parenting class.
[00:17:32.420 --> 00:17:34.420]   I'll be teaching that one,
[00:17:34.420 --> 00:17:36.420]   and that's gonna be also four sessions
[00:17:36.420 --> 00:17:38.420]   Thursday evenings at seven.
[00:17:38.420 --> 00:17:41.420]   And we'll cover the various biblical basis
[00:17:41.420 --> 00:17:43.420]   for communicating with your children,
[00:17:43.420 --> 00:17:45.420]   establishing the authority, disciplining,
[00:17:45.420 --> 00:17:46.420]   and things like that.
[00:17:46.420 --> 00:17:50.420]   So good practices biblically of parenting, okay?
[00:17:50.420 --> 00:17:53.420]   So just know that those classes,
[00:17:53.420 --> 00:17:56.420]   you can sign up for via the QR codes that are up here,
[00:17:56.420 --> 00:17:59.420]   or if you just go onto our app,
[00:17:59.420 --> 00:18:01.420]   those sign-ups will be there.
[00:18:01.420 --> 00:18:03.420]   Okay, as you guys know,
[00:18:03.420 --> 00:18:06.420]   we've announced our all-church retreat a few times now,
[00:18:06.420 --> 00:18:08.420]   but really want to encourage you guys
[00:18:08.420 --> 00:18:11.420]   to sign up for that early
[00:18:11.420 --> 00:18:15.420]   and make sure you can take benefit of the cheaper price, okay?
[00:18:15.420 --> 00:18:17.420]   I forget exactly at what time,
[00:18:17.420 --> 00:18:18.420]   but there is gonna be a point
[00:18:18.420 --> 00:18:20.420]   in which the prices will go up,
[00:18:20.420 --> 00:18:22.420]   so please make sure to register early.
[00:18:22.420 --> 00:18:25.420]   The dates for that is August 1st through the 3rd.
[00:18:25.420 --> 00:18:27.420]   We're excited because the topic's gonna be
[00:18:27.420 --> 00:18:30.420]   on being set apart for God's glory,
[00:18:30.420 --> 00:18:32.420]   and Pastor Ray Causeley,
[00:18:32.420 --> 00:18:34.420]   he's gonna come and speak for us, okay?
[00:18:34.420 --> 00:18:36.420]   So please sign up for that,
[00:18:36.420 --> 00:18:38.420]   and then, please know again,
[00:18:38.420 --> 00:18:41.420]   the next slide is for the next Bible study,
[00:18:41.420 --> 00:18:44.420]   Foundations of Redemptive History.
[00:18:44.420 --> 00:18:45.420]   In the next session,
[00:18:45.420 --> 00:18:48.420]   Pastor Pierre Kim will be going over Genesis,
[00:18:48.420 --> 00:18:50.420]   so please make sure you register for that.
[00:18:50.420 --> 00:18:52.420]   Okay, cool.
[00:18:52.420 --> 00:18:54.420]   Please go ahead and have a great time of discussion.
[00:18:54.420 --> 00:18:56.420]   We'll see you guys at eight.
[00:18:57.420 --> 00:19:00.420]   (general chatter)
[00:19:00.420 --> 00:19:03.420]   (general chatter)
[00:19:03.420 --> 00:19:06.420]   (general chatter)
[00:19:06.420 --> 00:19:09.420]   (general chatter)
[00:19:09.420 --> 00:19:12.420]   (general chatter)
[00:19:12.420 --> 00:19:15.420]   (general chatter)
[00:19:15.420 --> 00:19:18.420]   (general chatter)
[00:19:18.420 --> 00:19:21.420]   (general chatter)
[00:19:21.420 --> 00:19:24.420]   (general chatter)
[00:19:24.420 --> 00:19:27.420]   (general chatter)
[00:19:27.420 --> 00:19:30.420]   (general chatter)
[00:19:30.420 --> 00:19:33.420]   (general chatter)
[00:19:33.420 --> 00:19:43.420]   [BLANK_AUDIO]
[00:19:43.420 --> 00:19:53.420]   [BLANK_AUDIO]
[00:19:53.420 --> 00:20:03.420]   [BLANK_AUDIO]
[00:20:03.420 --> 00:20:13.420]   [BLANK_AUDIO]
[00:20:13.420 --> 00:20:23.420]   [BLANK_AUDIO]
[00:20:23.420 --> 00:20:33.420]   [BLANK_AUDIO]
[00:20:33.420 --> 00:20:43.420]   [BLANK_AUDIO]
[00:20:43.420 --> 00:20:53.420]   [BLANK_AUDIO]
[00:20:53.420 --> 00:21:03.420]   [BLANK_AUDIO]
[00:21:03.420 --> 00:21:13.420]   [BLANK_AUDIO]
[00:21:13.420 --> 00:21:23.420]   [BLANK_AUDIO]
[00:21:23.420 --> 00:21:33.420]   [BLANK_AUDIO]
[00:21:33.420 --> 00:21:43.420]   [BLANK_AUDIO]
[00:21:43.420 --> 00:21:53.420]   [BLANK_AUDIO]
[00:21:53.420 --> 00:22:03.420]   [BLANK_AUDIO]
[00:22:03.420 --> 00:22:13.420]   [BLANK_AUDIO]
[00:22:13.420 --> 00:22:23.420]   [BLANK_AUDIO]
[00:22:23.420 --> 00:22:33.420]   [BLANK_AUDIO]
[00:22:33.420 --> 00:22:43.420]   [BLANK_AUDIO]
[00:22:43.420 --> 00:22:53.420]   [BLANK_AUDIO]
[00:22:53.420 --> 00:23:03.420]   [BLANK_AUDIO]
[00:23:03.420 --> 00:23:13.420]   [BLANK_AUDIO]
[00:23:13.420 --> 00:23:23.420]   [BLANK_AUDIO]
[00:23:23.420 --> 00:23:33.420]   [BLANK_AUDIO]
[00:23:33.420 --> 00:23:43.420]   [BLANK_AUDIO]
[00:23:43.420 --> 00:23:53.420]   [BLANK_AUDIO]
[00:23:53.420 --> 00:24:03.420]   [BLANK_AUDIO]
[00:24:03.420 --> 00:24:13.420]   [BLANK_AUDIO]
[00:24:13.420 --> 00:24:23.420]   [BLANK_AUDIO]
[00:24:23.420 --> 00:24:33.420]   [BLANK_AUDIO]
[00:24:33.420 --> 00:24:43.420]   [BLANK_AUDIO]
[00:24:43.420 --> 00:24:53.420]   [BLANK_AUDIO]
[00:24:53.420 --> 00:25:03.420]   [BLANK_AUDIO]
[00:25:03.420 --> 00:25:13.420]   [BLANK_AUDIO]
[00:25:13.420 --> 00:25:23.420]   [BLANK_AUDIO]
[00:25:23.420 --> 00:25:33.420]   [BLANK_AUDIO]
[00:25:33.420 --> 00:25:43.420]   [BLANK_AUDIO]
[00:25:43.420 --> 00:25:53.420]   [BLANK_AUDIO]
[00:25:53.420 --> 00:26:03.420]   [BLANK_AUDIO]
[00:26:03.420 --> 00:26:13.420]   [BLANK_AUDIO]
[00:26:13.420 --> 00:26:23.420]   [BLANK_AUDIO]
[00:26:23.420 --> 00:26:33.420]   [BLANK_AUDIO]
[00:26:33.420 --> 00:26:43.420]   [BLANK_AUDIO]
[00:26:43.420 --> 00:26:53.420]   [BLANK_AUDIO]
[00:26:53.420 --> 00:27:03.420]   [BLANK_AUDIO]
[00:27:03.420 --> 00:27:13.420]   [BLANK_AUDIO]
[00:27:13.420 --> 00:27:23.420]   [BLANK_AUDIO]
[00:27:23.420 --> 00:27:33.420]   [BLANK_AUDIO]
[00:27:33.420 --> 00:27:43.420]   [BLANK_AUDIO]
[00:27:43.420 --> 00:27:53.420]   [BLANK_AUDIO]
[00:27:53.420 --> 00:28:03.420]   [BLANK_AUDIO]
[00:28:03.420 --> 00:28:13.420]   [BLANK_AUDIO]
[00:28:13.420 --> 00:28:23.420]   [BLANK_AUDIO]
[00:28:23.420 --> 00:28:33.420]   [BLANK_AUDIO]
[00:28:33.420 --> 00:28:43.420]   [BLANK_AUDIO]
[00:28:43.420 --> 00:28:53.420]   [BLANK_AUDIO]
[00:28:53.420 --> 00:29:03.420]   [BLANK_AUDIO]
[00:29:03.420 --> 00:29:13.420]   [BLANK_AUDIO]
[00:29:13.420 --> 00:29:23.420]   [BLANK_AUDIO]
[00:29:23.420 --> 00:29:33.420]   [BLANK_AUDIO]
[00:29:33.420 --> 00:29:43.420]   [BLANK_AUDIO]
[00:29:43.420 --> 00:29:53.420]   [BLANK_AUDIO]
[00:29:53.420 --> 00:30:03.420]   [BLANK_AUDIO]
[00:30:03.420 --> 00:30:13.420]   [BLANK_AUDIO]
[00:30:13.420 --> 00:30:23.420]   [BLANK_AUDIO]
[00:30:23.420 --> 00:30:33.420]   [BLANK_AUDIO]
[00:30:33.420 --> 00:30:43.420]   [BLANK_AUDIO]
[00:30:43.420 --> 00:30:53.420]   [BLANK_AUDIO]
[00:30:53.420 --> 00:31:03.420]   [BLANK_AUDIO]
[00:31:03.420 --> 00:31:13.420]   [BLANK_AUDIO]
[00:31:13.420 --> 00:31:23.420]   [BLANK_AUDIO]
[00:31:23.420 --> 00:31:33.420]   [BLANK_AUDIO]
[00:31:33.420 --> 00:31:43.420]   [BLANK_AUDIO]
[00:31:43.420 --> 00:31:53.420]   [BLANK_AUDIO]
[00:31:53.420 --> 00:32:03.420]   [BLANK_AUDIO]
[00:32:03.420 --> 00:32:23.420]   [BLANK_AUDIO]
[00:32:23.420 --> 00:32:33.420]   [BLANK_AUDIO]
[00:32:33.420 --> 00:32:43.420]   [BLANK_AUDIO]
[00:32:43.420 --> 00:32:53.420]   [BLANK_AUDIO]
[00:32:53.420 --> 00:33:03.420]   [BLANK_AUDIO]
[00:33:03.420 --> 00:33:13.420]   [BLANK_AUDIO]
[00:33:13.420 --> 00:33:23.420]   [BLANK_AUDIO]
[00:33:23.420 --> 00:33:33.420]   [BLANK_AUDIO]
[00:33:33.420 --> 00:33:43.420]   [BLANK_AUDIO]
[00:33:43.420 --> 00:33:53.420]   [BLANK_AUDIO]
[00:33:53.420 --> 00:34:03.420]   [BLANK_AUDIO]
[00:34:03.420 --> 00:34:13.420]   [BLANK_AUDIO]
[00:34:13.420 --> 00:34:23.420]   [BLANK_AUDIO]
[00:34:23.420 --> 00:34:33.420]   [BLANK_AUDIO]
[00:34:33.420 --> 00:34:43.420]   [BLANK_AUDIO]
[00:34:43.420 --> 00:34:53.420]   [BLANK_AUDIO]
[00:34:53.420 --> 00:35:03.420]   [BLANK_AUDIO]
[00:35:03.420 --> 00:35:13.420]   [BLANK_AUDIO]
[00:35:13.420 --> 00:35:23.420]   [BLANK_AUDIO]
[00:35:23.420 --> 00:35:33.420]   [BLANK_AUDIO]
[00:35:33.420 --> 00:35:43.420]   [BLANK_AUDIO]
[00:35:43.420 --> 00:35:53.420]   [BLANK_AUDIO]
[00:35:53.420 --> 00:36:03.420]   [BLANK_AUDIO]
[00:36:03.420 --> 00:36:13.420]   [BLANK_AUDIO]
[00:36:13.420 --> 00:36:23.420]   [BLANK_AUDIO]
[00:36:23.420 --> 00:36:33.420]   [BLANK_AUDIO]
[00:36:33.420 --> 00:36:43.420]   [BLANK_AUDIO]
[00:36:43.420 --> 00:36:53.420]   [BLANK_AUDIO]
[00:36:53.420 --> 00:37:03.420]   [BLANK_AUDIO]
[00:37:03.420 --> 00:37:13.420]   [BLANK_AUDIO]
[00:37:13.420 --> 00:37:23.420]   [BLANK_AUDIO]
[00:37:23.420 --> 00:37:33.420]   [BLANK_AUDIO]
[00:37:33.420 --> 00:37:43.420]   [BLANK_AUDIO]
[00:37:43.420 --> 00:37:53.420]   [BLANK_AUDIO]
[00:37:53.420 --> 00:38:03.420]   [BLANK_AUDIO]
[00:38:03.420 --> 00:38:13.420]   [BLANK_AUDIO]
[00:38:13.420 --> 00:38:33.420]   [BLANK_AUDIO]
[00:38:33.420 --> 00:38:43.420]   [BLANK_AUDIO]
[00:38:43.420 --> 00:38:53.420]   [BLANK_AUDIO]
[00:38:53.420 --> 00:39:03.420]   [BLANK_AUDIO]
[00:39:03.420 --> 00:39:13.420]   [BLANK_AUDIO]
[00:39:13.420 --> 00:39:23.420]   [BLANK_AUDIO]
[00:39:23.420 --> 00:39:33.420]   [BLANK_AUDIO]
[00:39:33.420 --> 00:39:43.420]   [BLANK_AUDIO]
[00:39:43.420 --> 00:39:53.420]   [BLANK_AUDIO]
[00:39:53.420 --> 00:40:03.420]   [BLANK_AUDIO]
[00:40:03.420 --> 00:40:13.420]   [BLANK_AUDIO]
[00:40:13.420 --> 00:40:23.420]   [BLANK_AUDIO]
[00:40:23.420 --> 00:40:33.420]   [BLANK_AUDIO]
