
[00:00:00.000 --> 00:00:00.540]   Let's try.
[00:02:26.420 --> 00:02:27.420]   Is anyone worthy of a blessing and honor?
[00:02:27.420 --> 00:02:28.420]   Is anyone worthy of a blessing and honor?
[00:02:28.420 --> 00:02:29.420]   Is anyone worthy of a blessing and honor?
[00:02:29.420 --> 00:02:29.420]   Is anyone worthy of a blessing and honor?
[00:02:29.420 --> 00:02:30.420]   Is anyone worthy of a blessing and honor?
[00:02:30.420 --> 00:02:31.420]   Is anyone worthy of a blessing and honor?
[00:02:31.420 --> 00:02:32.420]   Is anyone worthy of a blessing and honor?
[00:02:32.420 --> 00:02:33.420]   Is anyone worthy of a blessing and honor?
[00:02:33.420 --> 00:02:34.420]   Is anyone worthy of a blessing and honor?
[00:02:34.420 --> 00:02:34.420]   Is anyone worthy of a blessing and honor?
[00:02:34.420 --> 00:02:35.420]   Is anyone worthy of a blessing and honor?
[00:02:35.420 --> 00:02:36.420]   Is anyone worthy of a blessing and honor?
[00:02:36.420 --> 00:02:36.420]   Is anyone worthy of a blessing and honor?
[00:02:36.420 --> 00:02:37.420]   Is anyone worthy of a blessing?
[00:02:37.420 --> 00:02:38.420]   Is anyone worthy of a blessing and honor?
[00:02:38.420 --> 00:02:39.420]   Is anyone worthy of a blessing and honor?
[00:02:39.420 --> 00:02:40.420]   Is anyone worthy of a blessing and honor?
[00:02:40.420 --> 00:02:41.420]   Is anyone worthy of a blessing and honor?
[00:02:41.420 --> 00:02:42.420]   Is anyone worthy of a blessing and honor?
[00:02:42.420 --> 00:02:43.420]   Is anyone worthy of a blessing and honor?
[00:02:43.420 --> 00:02:44.420]   Is anyone worthy of a blessing and honor?
[00:02:44.420 --> 00:02:45.420]   Is anyone worthy of a blessing and honor?
[00:02:45.420 --> 00:02:46.420]   Is anyone worthy of a blessing and honor?
[00:02:46.420 --> 00:02:47.420]   Is anyone worthy of a blessing and honor?
[00:02:47.420 --> 00:02:48.420]   Is anyone worthy of a blessing and honor?
[00:02:48.420 --> 00:02:49.420]   Is anyone worthy of a blessing and honor?
[00:02:49.420 --> 00:02:50.420]   Is anyone worthy of a blessing and honor?
[00:02:50.420 --> 00:02:51.420]   Is anyone worthy of a blessing and honor?
[00:02:51.420 --> 00:02:51.420]   Is anyone worthy of a blessing and honor?
[00:02:51.420 --> 00:02:52.420]   Is anyone worthy of a blessing and honor?
[00:02:52.420 --> 00:02:53.420]   Is anyone worthy of a blessing and honor?
[00:02:53.420 --> 00:02:54.420]   Is anyone worthy of a blessing and honor?
[00:02:54.420 --> 00:02:55.420]   Is anyone worthy of a blessing and honor?
[00:02:55.420 --> 00:02:56.420]   Is anyone worthy of a blessing and honor?
[00:02:56.420 --> 00:02:57.420]   Is anyone worthy of a blessing and honor?
[00:02:57.420 --> 00:02:58.420]   Is anyone worthy of a blessing and honor?
[00:02:58.420 --> 00:02:59.420]   Is anyone worthy of a blessing and honor?
[00:02:59.420 --> 00:03:00.420]   Is anyone worthy of a blessing and honor?
[00:03:00.420 --> 00:03:01.420]   Is anyone worthy of a blessing and honor?
[00:03:01.420 --> 00:03:02.420]   Is anyone worthy of a blessing and honor?
[00:03:02.420 --> 00:03:03.420]   Is anyone worthy of a blessing and honor?
[00:03:03.420 --> 00:03:03.420]   Is anyone worthy of a blessing and honor?
[00:03:03.420 --> 00:03:04.420]   Is anyone worthy of a blessing and honor?
[00:03:04.420 --> 00:03:05.420]   Is anyone worthy of a blessing and honor?
[00:03:05.420 --> 00:03:06.420]   Is anyone worthy of a blessing and honor?
[00:03:06.420 --> 00:03:07.420]   Is anyone worthy of a blessing and honor?
[00:03:07.420 --> 00:03:08.420]   Is anyone worthy of a blessing and honor?
[00:03:08.420 --> 00:03:10.420]   Is anyone worthy of a blessing and honor?
[00:03:10.420 --> 00:03:11.420]   Is anyone worthy of a blessing and honor?
[00:03:11.420 --> 00:03:12.420]   Is anyone worthy of a blessing and honor?
[00:03:12.420 --> 00:03:13.420]   Is anyone worthy of a blessing and honor?
[00:03:13.420 --> 00:03:14.420]   Is anyone worthy of a blessing and honor?
[00:03:14.420 --> 00:03:15.420]   Is anyone worthy of a blessing and honor?
[00:03:15.420 --> 00:03:16.420]   Is anyone worthy of a blessing and honor?
[00:03:16.420 --> 00:03:17.420]   Is anyone worthy of a blessing and honor?
[00:03:17.420 --> 00:03:18.420]   Is anyone worthy of a blessing and honor?
[00:03:18.420 --> 00:03:19.420]   Is anyone worthy of a blessing and honor?
[00:03:19.420 --> 00:03:20.420]   Is anyone worthy of a blessing and honor?
[00:03:20.420 --> 00:03:21.420]   Is anyone worthy of a blessing and honor?
[00:03:21.420 --> 00:03:22.420]   Is anyone worthy of a blessing and honor?
[00:03:22.420 --> 00:03:23.420]   Is anyone worthy of a blessing and honor?
[00:03:23.420 --> 00:03:24.420]   Is anyone worthy of a blessing?
[00:03:24.420 --> 00:03:25.420]   Is anyone worthy of a blessing and honor?
[00:03:25.420 --> 00:03:26.420]   Is anyone worthy of a blessing and honor?
[00:03:26.420 --> 00:03:27.420]   Is anyone worthy of a blessing?
[00:03:27.420 --> 00:03:28.420]   Is anyone worthy of a blessing?
[00:03:28.420 --> 00:03:29.420]   Is anyone worthy of a blessing?
[00:03:29.420 --> 00:03:30.420]   Is anyone worthy of a blessing?
[00:03:30.420 --> 00:03:31.420]   Is anyone worthy of a blessing and honor?
[00:03:31.420 --> 00:03:32.420]   Is anyone worthy of a blessing and honor?
[00:03:32.420 --> 00:03:33.420]   Is anyone worthy of a blessing and honor?
[00:03:33.420 --> 00:03:34.420]   Is anyone worthy of a blessing and honor?
[00:03:34.420 --> 00:03:35.420]   Is anyone worthy of a blessing and honor?
[00:03:35.420 --> 00:03:36.420]   Is anyone worthy of a blessing and honor?
[00:03:36.420 --> 00:03:37.420]   Is anyone worthy of a blessing and honor?
[00:03:37.420 --> 00:03:38.420]   Is anyone worthy of a blessing and honor?
[00:03:38.420 --> 00:03:39.420]   Is anyone worthy of a blessing and honor?
[00:03:39.420 --> 00:03:40.420]   Is anyone worthy of a blessing and honor?
[00:03:40.420 --> 00:03:41.420]   Is anyone worthy of a blessing and honor?
[00:03:41.420 --> 00:03:42.420]   Is anyone worthy of a blessing and honor?
[00:03:42.420 --> 00:03:43.420]   Is anyone worthy of a blessing and honor?
[00:03:43.420 --> 00:03:44.420]   Is anyone worthy of a blessing and honor?
[00:03:44.420 --> 00:03:45.420]   Is anyone worthy of a blessing and honor?
[00:03:45.420 --> 00:03:46.420]   Is anyone worthy of a blessing and honor?
[00:03:46.420 --> 00:03:47.420]   Is anyone worthy of a blessing?
[00:03:47.420 --> 00:03:48.420]   Is anyone worthy of a blessing?
[00:03:48.420 --> 00:03:49.420]   Is anyone worthy of a blessing?
[00:03:49.420 --> 00:03:50.420]   Is anyone worthy of a blessing and honor?
[00:03:50.420 --> 00:03:51.420]   Is anyone worthy of a blessing and honor?
[00:03:51.420 --> 00:03:52.420]   Is anyone worthy of a blessing and honor?
[00:03:52.420 --> 00:03:53.420]   Is anyone worthy of a blessing and honor?
[00:03:53.420 --> 00:03:54.420]   Is anyone worthy of a blessing and honor?
[00:03:54.420 --> 00:03:55.420]   Is anyone worthy of a blessing and honor?
[00:03:55.420 --> 00:03:56.420]   Is anyone worthy of a blessing and honor?
[00:03:56.420 --> 00:03:57.420]   Is anyone worthy of a blessing and honor?
[00:03:57.420 --> 00:03:58.420]   Is anyone worthy of a blessing and honor?
[00:03:58.420 --> 00:03:59.420]   Is anyone worthy of a blessing and honor?
[00:03:59.420 --> 00:03:59.420]   Is anyone worthy of a blessing and honor?
[00:03:59.420 --> 00:04:00.420]   Is anyone worthy of a blessing and honor?
[00:04:00.420 --> 00:04:01.420]   Is anyone worthy of a blessing and honor?
[00:04:01.420 --> 00:04:02.420]   Is anyone worthy of a blessing and honor?
[00:04:02.420 --> 00:04:03.420]   Is anyone worthy of a blessing and honor?
[00:04:03.420 --> 00:04:04.420]   Is anyone worthy of a blessing and honor?
[00:04:04.420 --> 00:04:05.420]   Is anyone worthy of a blessing and honor?
[00:04:05.420 --> 00:04:06.420]   Is anyone worthy of a blessing and honor?
[00:04:06.420 --> 00:04:07.420]   Is anyone worthy of a blessing and honor?
[00:04:07.420 --> 00:04:08.420]   Is anyone worthy of a blessing and honor?
[00:04:08.420 --> 00:04:32.960]   Any questions, ma'am? No. Are you nervous? No. What? No. When do I usually pray? At the end?
[00:04:32.960 --> 00:04:39.960]   It's open and fair and then we start.
[00:04:39.960 --> 00:04:46.960]   It's open and fair.
[00:04:46.960 --> 00:04:54.960]   It's open and fair.
[00:04:54.960 --> 00:05:04.960]   It's open and fair.
[00:05:04.960 --> 00:05:09.960]   It's open and fair.
[00:05:09.960 --> 00:05:24.960]   It's open and fair.
[00:05:24.960 --> 00:05:41.960]   It's open and fair.
[00:05:41.960 --> 00:05:46.960]   It's open and fair.
[00:05:46.960 --> 00:05:56.960]   It's open and fair.
[00:05:56.960 --> 00:06:01.960]   It's open and fair.
[00:06:01.960 --> 00:06:06.960]   It's open and fair.
[00:06:06.960 --> 00:06:20.960]   It's open and fair.
[00:06:20.960 --> 00:06:23.960]   It's open and fair.
[00:06:23.960 --> 00:06:28.960]   It's open and fair.
[00:06:28.960 --> 00:06:58.940]   Thank you.
[00:06:58.940 --> 00:07:28.920]   Thank you.
[00:07:28.920 --> 00:07:58.900]   Thank you.
[00:07:58.900 --> 00:08:14.680]   Pastor Peter, I forget, did you want me to, were you going to come up and then we start?
[00:08:14.680 --> 00:08:16.900]   Format, format what?
[00:08:16.900 --> 00:08:18.560]   Pray and start?
[00:08:18.840 --> 00:08:25.340]   Okay, pray and start and pray, or just, and then you'll come up.
[00:08:25.340 --> 00:08:26.340]   Okay.
[00:08:26.340 --> 00:08:30.840]   Thank you.
[00:08:30.840 --> 00:08:30.840]   Okay.
[00:08:30.840 --> 00:08:30.840]   Okay.
[00:08:30.840 --> 00:08:32.900]   Okay.
[00:08:32.900 --> 00:09:02.880]   Thank you.
[00:09:02.880 --> 00:09:03.880]   Thank you.
[00:09:03.880 --> 00:09:03.880]   Thank you.
[00:09:03.880 --> 00:09:09.880]   Thank you.
[00:09:09.880 --> 00:09:11.880]   Thank you.
[00:09:11.880 --> 00:09:11.880]   Thank you.
[00:09:11.880 --> 00:09:20.880]   Thank you.
[00:09:20.880 --> 00:09:50.860]   Thank you.
[00:09:50.860 --> 00:10:20.840]   Thank you.
[00:10:20.840 --> 00:10:41.520]   All right, everyone.
[00:10:41.520 --> 00:10:42.860]   We're going to get started.
[00:10:42.860 --> 00:10:53.280]   We'll start with a word of prayer before we get into a couple songs.
[00:10:58.740 --> 00:11:03.060]   Father, you are worthy of praise and glory and honor.
[00:11:03.060 --> 00:11:10.380]   Lord, you are the beginning and you are the end, the alpha and omega, and we praise you.
[00:11:10.380 --> 00:11:20.520]   Lord, as we delve into your word in Genesis, where we learn about creation, where we learn
[00:11:20.520 --> 00:11:26.100]   of how you created all things for your good, that you made man in your own image.
[00:11:26.100 --> 00:11:30.320]   But Lord, we have sinned against you.
[00:11:30.320 --> 00:11:41.520]   Through reading of redemption history, we quickly learn that though we mean evil, you mean things
[00:11:41.520 --> 00:11:48.480]   for good, and that you have a redemptive plan in motion, ultimately in the coming of Christ
[00:11:48.480 --> 00:11:52.060]   and the future coming of Christ.
[00:11:52.060 --> 00:12:01.460]   Lord, we want to, in present, join in the song where we could echo and sing,
[00:12:01.780 --> 00:12:07.760]   worthy are you to take the scroll and to open its seals, because you were slain and purchased
[00:12:07.760 --> 00:12:14.460]   for God with your blood, people from every tribe and tongue and people and nation, and you made
[00:12:14.460 --> 00:12:19.240]   them to be a kingdom and priest to our God, and they will reign upon the earth.
[00:12:20.100 --> 00:12:26.360]   We thank you for giving Christ, giving your son for his death and resurrection.
[00:12:26.360 --> 00:12:38.280]   I pray, Lord, that we as a church would take in deep your word and give you worship in response
[00:12:38.280 --> 00:12:39.840]   to what we know about you.
[00:12:39.840 --> 00:12:41.140]   We thank you in Jesus' name.
[00:12:41.140 --> 00:12:58.020]   Man of sorrows.
[00:12:58.020 --> 00:13:11.120]   Man of sorrows, what a name for the Son of God.
[00:13:11.120 --> 00:13:27.420]   God who came, ruined sinners to reclaim, hallelujah, what a Savior.
[00:13:27.420 --> 00:13:50.660]   Bearing shame and scoffing rude, in my place condemned he stood.
[00:13:50.660 --> 00:14:05.140]   Sealed my pardon with his blood, hallelujah, what a Savior.
[00:14:05.140 --> 00:14:27.960]   Guilty, vile, and helpless we, spotless Lamb of God was he.
[00:14:27.960 --> 00:14:34.960]   A full atonement, can it be hallelujah.
[00:14:34.960 --> 00:14:37.960]   Hallelujah, what a Savior.
[00:14:37.960 --> 00:14:39.960]   What a Savior.
[00:14:39.960 --> 00:14:42.960]   What a Savior.
[00:14:42.960 --> 00:14:51.960]   Lifted up was he to die.
[00:14:51.960 --> 00:14:56.960]   Lifted up was he to die.
[00:14:56.960 --> 00:15:03.960]   It is finished, was his pride.
[00:15:03.960 --> 00:15:05.960]   It is finished, was his pride.
[00:15:05.960 --> 00:15:10.960]   Now in heaven exalted high.
[00:15:10.960 --> 00:15:15.960]   Hallelujah, what a Savior.
[00:15:15.960 --> 00:15:17.960]   What a Savior.
[00:15:17.960 --> 00:15:34.960]   When he comes.
[00:15:34.960 --> 00:15:36.960]   When he comes.
[00:15:36.960 --> 00:15:43.960]   When he comes, our glorious King.
[00:15:43.960 --> 00:15:51.960]   All his ransom home to bring.
[00:15:51.960 --> 00:15:57.960]   Then anew this song will sing.
[00:15:57.960 --> 00:16:04.960]   Hallelujah, what a Savior.
[00:16:04.960 --> 00:16:06.960]   Hallelujah, what a Savior.
[00:16:06.960 --> 00:16:12.960]   Hallelujah, what a Savior.
[00:16:12.960 --> 00:16:33.960]   Do you feel?
[00:16:33.960 --> 00:16:34.960]   Do you feel?
[00:16:34.960 --> 00:16:40.960]   Do you feel the world is broken?
[00:16:40.960 --> 00:16:44.960]   Do you feel the shadows deepen?
[00:16:44.960 --> 00:16:45.960]   We do.
[00:16:45.960 --> 00:16:45.960]   We do.
[00:16:45.960 --> 00:16:54.960]   Do you know that all the dark won't stop the life from getting through?
[00:16:54.960 --> 00:16:55.960]   We do.
[00:16:55.960 --> 00:16:56.960]   We do.
[00:16:56.960 --> 00:17:05.960]   Do you wish that you could see it all be new?
[00:17:05.960 --> 00:17:06.960]   We do.
[00:17:06.960 --> 00:17:06.960]   We do.
[00:17:06.960 --> 00:17:07.960]   Is all creation groaning?
[00:17:07.960 --> 00:17:08.960]   It is.
[00:17:08.960 --> 00:17:09.960]   Is a new creation coming?
[00:17:09.960 --> 00:17:10.960]   It is.
[00:17:10.960 --> 00:17:11.960]   Is all creation groaning?
[00:17:11.960 --> 00:17:12.960]   It is.
[00:17:12.960 --> 00:17:13.960]   Is a new creation coming?
[00:17:13.960 --> 00:17:14.960]   It is.
[00:17:14.960 --> 00:17:31.960]   Is the glory of the Lord to be the light within our midst?
[00:17:31.960 --> 00:17:36.960]   It is.
[00:17:36.960 --> 00:17:43.960]   Is it good that we remind ourselves of this?
[00:17:43.960 --> 00:17:46.960]   It is.
[00:17:46.960 --> 00:17:50.960]   Is anyone worthy?
[00:17:50.960 --> 00:17:53.960]   Is anyone worthy?
[00:17:53.960 --> 00:17:57.960]   Is anyone whole?
[00:17:57.960 --> 00:18:04.960]   Is anyone able to break the seal and open the scroll?
[00:18:04.960 --> 00:18:10.960]   The line of Judah who conquered the grave?
[00:18:10.960 --> 00:18:17.960]   He is David's rune and the lamb who died to ransom the slave.
[00:18:17.960 --> 00:18:21.960]   Is he worthy?
[00:18:21.960 --> 00:18:29.960]   Is he worthy of all blessing and honor and glory?
[00:18:29.960 --> 00:18:30.960]   Is he worthy of all blessing and glory?
[00:18:30.960 --> 00:18:30.960]   Is he worthy of all blessing and glory?
[00:18:30.960 --> 00:18:31.960]   Is he worthy of all blessing and glory?
[00:18:31.960 --> 00:18:32.960]   Is he worthy of all blessing and glory?
[00:18:32.960 --> 00:18:34.960]   Is he worthy of all blessing and glory?
[00:18:34.960 --> 00:18:35.960]   Is he worthy of all blessing and glory?
[00:18:35.960 --> 00:18:36.960]   Is he worthy of all blessing and glory?
[00:18:36.960 --> 00:18:37.960]   Is he worthy of all blessing and glory?
[00:18:37.960 --> 00:18:38.960]   Is he worthy of all blessing and glory?
[00:18:38.960 --> 00:18:39.960]   Is he worthy of all blessing and glory?
[00:18:39.960 --> 00:18:40.960]   Is he worthy of all blessing and glory?
[00:18:40.960 --> 00:18:41.960]   Is he worthy of all blessing and glory?
[00:18:41.960 --> 00:18:42.960]   Does the Father truly love us?
[00:18:42.960 --> 00:18:45.960]   Does the Father truly love us?
[00:18:45.960 --> 00:18:58.960]   Does the Spirit move among us?
[00:18:58.960 --> 00:19:05.960]   And does Jesus our Messiah hold forever those he loves?
[00:19:05.960 --> 00:19:07.960]   He does.
[00:19:07.960 --> 00:19:15.320]   Does our God intend to dwell again with us?
[00:19:15.320 --> 00:19:18.080]   He does.
[00:19:18.080 --> 00:19:25.460]   Is anyone worthy?
[00:19:25.460 --> 00:19:28.740]   Is anyone whole?
[00:19:28.740 --> 00:19:35.460]   Is anyone able to break the seal and open the scroll?
[00:19:35.460 --> 00:19:43.000]   The line of Judah who conquered the grave.
[00:19:43.000 --> 00:19:49.860]   He is David's fruit and the lamb who died to ransom the slave.
[00:19:49.860 --> 00:19:56.700]   From every people and tribe, from every nation and tongue.
[00:19:56.700 --> 00:20:03.520]   He has made us a kingdom and priest to God to reign with the Son.
[00:20:04.220 --> 00:20:07.320]   He is worthy.
[00:20:07.320 --> 00:20:10.760]   He is worthy.
[00:20:10.760 --> 00:20:16.420]   Of all blessing and honor and glory.
[00:20:16.420 --> 00:20:20.020]   Is he worthy?
[00:20:20.020 --> 00:20:23.680]   Is he worthy?
[00:20:23.680 --> 00:20:26.880]   Is he worthy?
[00:20:26.880 --> 00:20:30.220]   Is he worthy of this?
[00:20:30.220 --> 00:20:42.320]   He is, he is.
[00:20:42.320 --> 00:20:44.980]   Is he worthy?
[00:20:45.220 --> 00:20:48.600]   Is he worthy, is he worthy?
[00:20:48.600 --> 00:20:55.760]   He is, he is.
[00:20:55.760 --> 00:20:58.820]   Is he worthy?
[00:20:58.820 --> 00:21:02.280]   Is he worthy?
[00:21:02.280 --> 00:21:04.280]   He is
[00:21:04.280 --> 00:21:06.280]   He is
[00:21:06.280 --> 00:21:08.280]   He is
[00:21:08.280 --> 00:21:10.280]   He is
[00:21:10.280 --> 00:21:10.280]   He is
[00:21:10.280 --> 00:21:12.280]   He is
[00:21:12.280 --> 00:21:14.280]   He is
[00:21:14.280 --> 00:21:16.280]   He is
[00:21:16.280 --> 00:21:18.280]   He is
[00:21:18.280 --> 00:21:48.260]   Thank you.
[00:21:48.260 --> 00:22:17.880]   Well, the people out on the door, you guys can come in and find a seat.
[00:22:17.880 --> 00:22:25.560]   All right, let me get you guys started.
[00:22:25.560 --> 00:22:32.700]   Okay, for those of you who are new to the Bible study, the Bible study format is when you come in, we're going to start with worship.
[00:22:33.140 --> 00:22:38.760]   Then after the worship, you're going to go and discuss the study questions that you have.
[00:22:38.760 --> 00:22:43.020]   And then at 8 o'clock, we come back, and then I will review those questions, go over the text.
[00:22:43.340 --> 00:22:51.280]   And then afterwards, around 30, 35, 40 minutes, you'll be back and have some time to discuss the application of that, okay?
[00:22:51.280 --> 00:22:55.100]   So that's kind of like the format of the Wednesday Bible study for those of you who are new.
[00:22:55.520 --> 00:23:04.820]   And so we want to encourage you to try to make it as close to 7 o'clock as possible because the longer we linger, obviously, it's going to take longer to finish.
[00:23:05.820 --> 00:23:15.100]   Okay, so how many of you, most of you must have gotten the questions, right?
[00:23:15.100 --> 00:23:19.580]   I think Justin emailed it or texted it, right?
[00:23:20.540 --> 00:23:22.100]   If you have it, can you raise your hand?
[00:23:22.100 --> 00:23:25.820]   If you don't have it, raise your hand.
[00:23:25.820 --> 00:23:30.400]   Okay, so most of you are just, I'm not going to cooperate.
[00:23:30.400 --> 00:23:30.900]   Okay.
[00:23:30.900 --> 00:23:34.160]   Do you have the discussion questions?
[00:23:34.160 --> 00:23:34.700]   Raise your hand.
[00:23:34.700 --> 00:23:37.040]   Okay, all right.
[00:23:37.040 --> 00:23:39.320]   So at least there's people, huh?
[00:23:39.320 --> 00:23:48.600]   You can keep talking.
[00:23:48.880 --> 00:23:58.020]   All right, so let me, why don't you guys just get into your group.
[00:23:58.020 --> 00:24:00.820]   The pre-discussion questions were given to you.
[00:24:00.820 --> 00:24:09.460]   So if you guys can go over that, go over the outline of the 11 chapters, what is the major themes, and so go over those questions.
[00:24:09.460 --> 00:24:16.720]   And I'll be back at 8 o'clock to do an introductory study on it, and then we'll follow after that, okay?
[00:24:16.720 --> 00:24:44.260]   Hey, if we can't, if we can't get it to work, if we can't get it to work, I'm going to, let me email it to you, and then we'll work it from there.
[00:24:44.260 --> 00:25:14.240]   Let's go over it.
[00:25:14.240 --> 00:25:20.120]   I know, but the, how come the internet's not working?
[00:25:20.120 --> 00:25:20.140]   I know, but the, how come the internet's not working?
[00:25:24.140 --> 00:25:36.800]   Why is this?
[00:25:36.800 --> 00:25:36.800]   Why is this?
[00:25:36.800 --> 00:25:36.800]   Why is this?
[00:25:36.800 --> 00:25:49.460]   Why is this?
[00:25:49.460 --> 00:26:02.120]   Why is this?
[00:26:02.120 --> 00:26:03.120]   Why is this?
[00:26:03.120 --> 00:26:04.120]   Why is this?
[00:26:04.120 --> 00:26:05.340]   Why is this?
[00:26:05.340 --> 00:26:19.000]   Why is this?
[00:26:19.000 --> 00:26:33.440]   Are you trying to send it to AB team?
[00:26:33.440 --> 00:26:34.440]   Yeah.
[00:26:34.440 --> 00:26:34.440]   Yeah.
[00:26:34.440 --> 00:26:34.440]   Okay.
[00:26:34.440 --> 00:26:49.180]   So you know, Doka, she forgot to sign up for Bible study.
[00:26:49.180 --> 00:26:50.180]   Okay.
[00:26:50.180 --> 00:26:53.340]   But then she wants to go back and start these groups, but it's full.
[00:26:53.340 --> 00:26:56.060]   But then there's no other group to put her in.
[00:26:56.060 --> 00:27:01.960]   There's no other group to put her in, but there's no other group to put her in.
[00:27:01.960 --> 00:27:03.940]   There's no other group to put her in.
[00:27:03.940 --> 00:27:04.520]   There's no other group to put her in.
[00:27:04.520 --> 00:27:05.960]   There's no other group to put her in.
[00:27:05.960 --> 00:27:07.460]   There's no other group to put her in.
[00:27:07.460 --> 00:27:08.360]   There's no other group to put her in.
[00:27:08.360 --> 00:27:09.440]   There's no other group to put her in.
[00:27:09.440 --> 00:27:09.900]   There's no other group to put her in.
[00:27:09.900 --> 00:27:10.440]   There's no other group to put her in.
[00:27:10.440 --> 00:27:11.940]   There's no other group to put her in.
[00:27:11.940 --> 00:27:12.480]   There's no other group to put her in.
[00:27:12.480 --> 00:27:13.480]   There's no other group to put her in.
[00:27:13.480 --> 00:27:13.980]   There's no other group to put her in.
[00:27:13.980 --> 00:27:14.980]   There's no other group to put her in.
[00:27:14.980 --> 00:27:15.980]   There's no other group to put her in.
[00:27:15.980 --> 00:27:16.980]   There's no other group to put her in.
[00:27:16.980 --> 00:27:17.980]   There's no other group to put her in.
[00:27:17.980 --> 00:27:18.980]   There's no other group to put her in.
[00:27:18.980 --> 00:27:19.980]   There's no other group to put her in.
[00:27:19.980 --> 00:27:20.980]   There's no other group to put her in.
[00:27:20.980 --> 00:27:21.980]   There's no other group to put her in.
[00:27:21.980 --> 00:27:22.980]   There's no other group to put her in.
[00:27:22.980 --> 00:27:23.980]   There's no other group to put her in.
[00:27:23.980 --> 00:27:24.980]   There's no other group to put her in.
[00:27:24.980 --> 00:27:25.980]   There's no other group to put her in.
[00:27:25.980 --> 00:27:26.980]   There's no other group to put her in.
