
[00:00:00.000 --> 00:00:14.600]   Cast all your burdens now on Him, O praise Him, O praise Him.
[00:05:55.500 --> 00:06:25.480]   Thank you.
[00:06:25.480 --> 00:06:55.460]   Thank you.
[00:06:55.460 --> 00:07:25.440]   Thank you.
[00:07:25.440 --> 00:07:55.420]   Thank you.
[00:07:55.420 --> 00:08:25.400]   Thank you.
[00:08:25.400 --> 00:08:55.380]   Thank you.
[00:08:55.380 --> 00:09:25.360]   Thank you.
[00:09:25.360 --> 00:09:55.340]   Thank you.
[00:09:55.340 --> 00:10:25.320]   Thank you.
[00:10:25.320 --> 00:10:55.300]   Thank you.
[00:10:55.300 --> 00:11:25.280]   Thank you.
[00:11:25.280 --> 00:11:55.260]   Thank you.
[00:11:55.260 --> 00:12:25.240]   Thank you.
[00:12:25.240 --> 00:12:55.220]   Thank you.
[00:12:55.220 --> 00:13:25.200]   Thank you.
[00:13:25.200 --> 00:13:55.180]   Thank you.
[00:13:55.180 --> 00:14:25.160]   Thank you.
[00:14:25.160 --> 00:14:55.140]   Thank you.
[00:14:55.140 --> 00:15:25.120]   Thank you.
[00:15:25.120 --> 00:15:55.100]   Thank you.
[00:15:55.100 --> 00:16:25.080]   Thank you.
[00:16:25.080 --> 00:16:55.060]   All the redeemed.
[00:16:55.060 --> 00:17:25.040]   Thank you.
[00:17:25.040 --> 00:17:55.020]   Thank you.
[00:17:55.020 --> 00:18:25.000]   Thank you.
[00:18:25.000 --> 00:18:54.980]   Thank you.
[00:18:54.980 --> 00:19:24.960]   Thank you.
[00:19:24.960 --> 00:19:54.940]   Thank you.
[00:19:54.940 --> 00:20:24.920]   Thank you.
[00:20:24.920 --> 00:20:54.900]   Thank you.
[00:20:54.900 --> 00:21:24.880]   Thank you.
[00:21:24.880 --> 00:21:54.860]   Thank you.
[00:21:54.860 --> 00:22:24.840]   Thank you.
[00:22:24.840 --> 00:22:54.820]   Amen.
[00:22:54.820 --> 00:23:24.800]   Amen.
[00:23:24.800 --> 00:23:54.780]   Thank you.
[00:23:54.780 --> 00:24:24.760]   Amen.
[00:24:24.760 --> 00:24:54.740]   Thank you.
[00:24:54.740 --> 00:25:24.720]   Thank you.
[00:25:24.720 --> 00:25:54.700]   Thank you.
[00:25:54.700 --> 00:26:24.680]   Thank you.
[00:26:24.680 --> 00:26:54.660]   Thank you.
[00:26:54.660 --> 00:27:24.640]   Thank you.
[00:27:24.640 --> 00:27:54.620]   Thank you.
[00:27:54.620 --> 00:28:24.600]   Thank you.
[00:28:24.600 --> 00:28:54.580]   Thank you.
[00:28:54.580 --> 00:29:24.560]   Thank you.
[00:29:24.560 --> 00:29:54.540]   Thank you.
[00:29:54.540 --> 00:30:24.520]   Thank you.
[00:30:24.520 --> 00:30:54.500]   Thank you.
[00:30:54.500 --> 00:31:24.480]   Thank you.
[00:31:24.480 --> 00:31:54.460]   Thank you.
[00:31:54.460 --> 00:32:24.440]   Thank you.
[00:32:24.440 --> 00:32:54.420]   Thank you.
[00:32:54.420 --> 00:33:24.400]   Thank you.
[00:33:24.400 --> 00:33:54.380]   Thank you.
[00:33:54.380 --> 00:34:24.360]   Thank you.
[00:34:24.360 --> 00:34:54.340]   Thank you.
[00:34:54.340 --> 00:35:24.320]   Thank you.
[00:35:24.320 --> 00:35:54.300]   Thank you.
[00:35:54.300 --> 00:36:24.280]   Thank you.
[00:36:24.280 --> 00:36:54.260]   Thank you.
[00:36:54.260 --> 00:37:24.240]   Thank you.
[00:37:24.240 --> 00:37:54.220]   Thank you.
[00:37:54.220 --> 00:38:24.200]   Thank you.
[00:38:24.200 --> 00:38:54.180]   Thank you.
[00:38:54.180 --> 00:39:24.160]   Thank you.
[00:39:24.160 --> 00:39:54.140]   Thank you.
[00:39:54.140 --> 00:40:24.120]   Thank you.
[00:40:24.120 --> 00:40:54.100]   Thank you.
[00:40:54.100 --> 00:41:24.080]   Thank you.
[00:41:24.080 --> 00:41:54.060]   Thank you.
[00:41:54.060 --> 00:42:24.040]   Thank you.
[00:42:24.040 --> 00:42:54.020]   Thank you.
[00:42:54.020 --> 00:43:24.000]   Thank you.
[00:43:24.000 --> 00:43:53.980]   Thank you.
[00:43:53.980 --> 00:44:23.960]   Thank you.
[00:44:23.960 --> 00:44:53.940]   Thank you.
[00:44:53.940 --> 00:45:23.920]   Thank you.
[00:45:23.920 --> 00:45:53.900]   Thank you.
[00:45:53.900 --> 00:46:23.880]   Thank you.
[00:46:23.880 --> 00:46:53.860]   Thank you.
[00:46:53.860 --> 00:47:23.840]   Thank you.
[00:47:23.840 --> 00:47:53.820]   Thank you.
[00:47:53.820 --> 00:48:23.800]   Thank you.
[00:48:23.800 --> 00:48:53.780]   Thank you.
[00:48:53.780 --> 00:49:23.760]   Thank you.
[00:49:23.760 --> 00:49:53.740]   Thank you.
[00:49:53.740 --> 00:50:23.720]   Thank you.
[00:50:23.720 --> 00:50:53.700]   Thank you.
[00:50:53.700 --> 00:51:23.680]   Thank you.
[00:51:23.680 --> 00:51:53.660]   Thank you.
[00:51:53.660 --> 00:52:23.640]   Thank you.
[00:52:23.640 --> 00:52:53.620]   Thank you.
[00:52:53.620 --> 00:53:23.600]   Thank you.
[00:53:23.600 --> 00:53:53.580]   Thank you.
[00:53:53.580 --> 00:54:23.560]   Thank you.
[00:54:23.560 --> 00:54:53.540]   Thank you.
[00:54:53.540 --> 00:55:23.520]   Thank you.
[00:55:23.520 --> 00:55:53.500]   Thank you.
[00:55:53.500 --> 00:56:23.480]   Thank you.
[00:56:23.480 --> 00:56:53.460]   Thank you.
[00:56:53.460 --> 00:57:23.440]   Thank you.
[00:57:23.440 --> 00:57:53.420]   Thank you.
[00:57:53.420 --> 00:58:23.400]   Thank you.
[00:58:23.400 --> 00:58:53.380]   Thank you.
[00:58:53.380 --> 00:59:23.360]   Thank you.
[00:59:23.360 --> 00:59:53.340]   Thank you.
[00:59:53.340 --> 01:00:23.320]   Thank you.
[01:00:23.320 --> 01:00:53.300]   Thank you.
[01:00:53.300 --> 01:01:23.280]   Thank you.
[01:01:23.280 --> 01:01:53.260]   Thank you.
[01:01:53.260 --> 01:02:23.240]   Thank you.
[01:02:23.240 --> 01:02:53.220]   Thank you.
[01:02:53.220 --> 01:03:23.200]   Thank you.
[01:03:23.200 --> 01:03:53.180]   Thank you.
[01:03:53.180 --> 01:04:23.160]   Thank you.
[01:04:23.160 --> 01:04:53.140]   Thank you.
[01:04:53.140 --> 01:05:23.120]   Thank you.
[01:05:23.120 --> 01:05:53.100]   Thank you.
[01:05:53.100 --> 01:06:23.080]   Thank you.
[01:06:23.080 --> 01:06:53.060]   Thank you.
[01:06:53.060 --> 01:07:23.040]   Thank you.
[01:07:23.040 --> 01:07:53.020]   Thank you.
[01:07:53.020 --> 01:08:23.000]   Thank you.
[01:08:23.000 --> 01:08:52.980]   Thank you.
[01:08:52.980 --> 01:09:22.960]   Thank you.
[01:09:22.960 --> 01:09:52.940]   Thank you.
[01:09:52.940 --> 01:10:22.920]   Thank you.
[01:10:22.920 --> 01:10:52.900]   Thank you.
[01:10:52.900 --> 01:11:22.880]   Thank you.
[01:11:22.880 --> 01:11:52.860]   Thank you.
[01:11:52.860 --> 01:12:22.840]   Thank you.
[01:12:22.840 --> 01:12:52.820]   Thank you.
[01:12:52.820 --> 01:13:22.800]   Thank you.
[01:13:22.800 --> 01:13:52.780]   Thank you.
[01:13:52.780 --> 01:14:22.760]   Thank you.
[01:14:22.760 --> 01:14:52.740]   Thank you.
[01:14:52.740 --> 01:15:22.720]   Thank you.
[01:15:22.720 --> 01:15:52.700]   Thank you.
[01:15:52.700 --> 01:16:22.680]   Thank you.
[01:16:22.680 --> 01:16:52.660]   Thank you.
[01:16:52.660 --> 01:17:22.640]   Thank you.
[01:17:22.640 --> 01:17:52.620]   Thank you.
[01:17:52.620 --> 01:18:22.600]   Thank you.
[01:18:22.600 --> 01:18:52.580]   Thank you.
[01:18:52.580 --> 01:19:22.560]   Thank you.
[01:19:22.560 --> 01:19:52.540]   Thank you.
[01:19:52.540 --> 01:20:22.520]   Thank you.
[01:20:22.520 --> 01:20:52.500]   Thank you.
[01:20:52.500 --> 01:21:22.480]   Thank you.
[01:21:22.480 --> 01:21:52.460]   Thank you.
[01:21:52.460 --> 01:22:22.440]   Thank you.
[01:22:22.440 --> 01:22:52.420]   Thank you.
[01:22:52.420 --> 01:23:22.400]   Thank you.
[01:23:22.400 --> 01:23:52.380]   Thank you.
[01:23:52.380 --> 01:24:22.360]   Thank you.
[01:24:22.360 --> 01:24:52.340]   Thank you.
[01:24:52.340 --> 01:25:22.320]   Thank you.
[01:25:22.320 --> 01:25:52.300]   Thank you.
[01:25:52.300 --> 01:26:22.280]   Thank you.
[01:26:22.280 --> 01:26:52.260]   Thank you.
[01:26:52.260 --> 01:27:22.240]   Thank you.
[01:27:22.240 --> 01:27:52.220]   Thank you.
[01:27:52.220 --> 01:28:22.200]   Thank you.
[01:28:22.200 --> 01:28:52.180]   Thank you.
[01:28:52.180 --> 01:29:22.160]   Thank you.
[01:29:22.160 --> 01:29:52.140]   Thank you.
[01:29:52.140 --> 01:30:22.120]   Thank you.
[01:30:22.120 --> 01:30:52.100]   Thank you.
[01:30:52.100 --> 01:31:22.080]   Thank you.
[01:31:22.080 --> 01:31:52.060]   Thank you.
[01:31:52.060 --> 01:32:22.040]   Thank you.
[01:32:22.040 --> 01:32:52.020]   Thank you.
[01:32:52.020 --> 01:33:22.000]   You don't sacrifice.
[01:33:22.000 --> 01:33:51.980]   Thank you.
[01:33:51.980 --> 01:34:21.960]   Thank you.
[01:34:21.960 --> 01:34:51.940]   Thank you.
[01:34:51.940 --> 01:35:21.920]   Thank you.
[01:35:21.920 --> 01:35:25.980]   in the cloud, and it shall be for a sign of his covenant between me and the earth, and it shall
[01:35:25.980 --> 01:35:30.100]   come about when I bring a cloud over the earth, and the bow will be seen
[01:35:30.100 --> 01:35:33.960]   in the cloud. That's where we get rainbow, right?
[01:35:33.960 --> 01:35:36.520]   At least in the Bible, it's not one word,
[01:35:36.520 --> 01:35:41.240]   right? It was a bow that was created by the rain, so it's rainbow,
[01:35:41.240 --> 01:35:46.000]   right? And then Genesis 9, 16, 17, when the bow is in the cloud,
[01:35:46.000 --> 01:35:49.660]   then I will look upon it to remember the everlasting covenant between God and
[01:35:49.660 --> 01:35:53.900]   every living creature of all the flesh. And God said to Noah, this is the sign of the
[01:35:53.900 --> 01:35:57.580]   covenant which I have established between me and all flesh that is on the earth.
[01:35:57.580 --> 01:36:01.220]   Okay? So let me ask you again.
[01:36:01.220 --> 01:36:05.340]   He says, when it rains, and you see
[01:36:05.340 --> 01:36:09.140]   the bow, right? The rainbow, or bow of the rain,
[01:36:09.140 --> 01:36:13.460]   right? I will not destroy the earth like I did in chapter 7
[01:36:13.460 --> 01:36:16.980]   and 8. So what is the purpose of this rainbow?
[01:36:17.380 --> 01:36:21.120]   why does he give this covenant to them? Because we know judgment
[01:36:21.120 --> 01:36:22.980]   is coming, right?
[01:36:22.980 --> 01:36:29.360]   Think like you are
[01:36:29.360 --> 01:36:30.800]   Noah and his descendants.
[01:36:30.800 --> 01:36:33.180]   What would that
[01:36:33.180 --> 01:36:34.200]   rainbow mean to you?
[01:36:42.800 --> 01:36:45.640]   Let me ask you again, because I want you to do some critical thinking, okay?
[01:36:45.640 --> 01:36:52.060]   What would that covenant, when you see the rain coming, and you see the, you see the rainbow,
[01:36:52.060 --> 01:36:57.200]   what would that mean to you if you just experienced the flood?
[01:36:57.200 --> 01:37:00.160]   Huh?
[01:37:00.160 --> 01:37:03.740]   Mercy?
[01:37:03.740 --> 01:37:05.340]   What would it have done?
[01:37:05.340 --> 01:37:08.640]   If you didn't see that, and every time it rains, what would it do to you?
[01:37:11.120 --> 01:37:11.980]   Where is the boat?
[01:37:11.980 --> 01:37:14.900]   Right?
[01:37:14.900 --> 01:37:16.660]   We got some holes.
[01:37:16.660 --> 01:37:18.980]   Get the animals back on the boat.
[01:37:18.980 --> 01:37:20.040]   Right?
[01:37:20.040 --> 01:37:21.600]   Every time it rains.
[01:37:21.600 --> 01:37:25.000]   Because just the whole earth got wiped out.
[01:37:25.000 --> 01:37:26.040]   Right?
[01:37:26.040 --> 01:37:28.160]   But rain is necessary.
[01:37:28.160 --> 01:37:31.060]   So he says, every time it rains,
[01:37:31.060 --> 01:37:33.000]   you're going to, when you see the bow,
[01:37:33.000 --> 01:37:35.260]   this is a reminder to you that I will remember
[01:37:35.260 --> 01:37:35.840]   my covenant,
[01:37:35.840 --> 01:37:37.300]   this is not going to happen again.
[01:37:37.300 --> 01:37:39.600]   How can you possibly live?
[01:37:39.600 --> 01:37:40.660]   Right?
[01:37:40.660 --> 01:37:42.420]   You can't live.
[01:37:42.420 --> 01:37:44.520]   I mean, we're so many years removed from that.
[01:37:44.520 --> 01:37:45.140]   The flood is,
[01:37:45.140 --> 01:37:46.960]   it actually happened?
[01:37:46.960 --> 01:37:47.660]   Is this real?
[01:37:47.660 --> 01:37:48.460]   Right?
[01:37:48.460 --> 01:37:50.080]   But imagine if it actually happened to you.
[01:37:50.080 --> 01:37:51.980]   Imagine if you were a flood,
[01:37:51.980 --> 01:37:52.940]   you survived the flood.
[01:37:52.940 --> 01:37:53.280]   You're going to,
[01:37:53.280 --> 01:37:54.980]   you're going to move away as far as you can
[01:37:54.980 --> 01:37:56.140]   from any body of water.
[01:37:56.140 --> 01:37:57.240]   Right?
[01:37:57.240 --> 01:37:58.440]   Because you're afraid
[01:37:58.440 --> 01:38:00.460]   that, that you experienced tsunami,
[01:38:00.580 --> 01:38:01.940]   so you don't go to the beach anymore.
[01:38:01.940 --> 01:38:03.600]   But the thing is,
[01:38:03.600 --> 01:38:05.660]   the earth needs rain to live.
[01:38:05.660 --> 01:38:06.860]   So he says,
[01:38:06.860 --> 01:38:08.100]   every time it rains,
[01:38:08.100 --> 01:38:10.040]   God's going to put a rainbow on there
[01:38:10.040 --> 01:38:11.780]   to remind you,
[01:38:11.780 --> 01:38:12.340]   right,
[01:38:12.340 --> 01:38:14.120]   that your confidence is not going to come
[01:38:14.120 --> 01:38:16.860]   because you're measuring the rain.
[01:38:16.860 --> 01:38:18.120]   Your confidence comes because God said,
[01:38:18.120 --> 01:38:18.820]   I will remember.
[01:38:18.820 --> 01:38:20.180]   Right?
[01:38:20.180 --> 01:38:22.000]   That's what the,
[01:38:22.000 --> 01:38:23.780]   that's what the rainbow was for,
[01:38:23.780 --> 01:38:25.520]   is to give us peace.
[01:38:25.520 --> 01:38:26.720]   Right?
[01:38:26.720 --> 01:38:27.740]   And confidence,
[01:38:27.740 --> 01:38:29.120]   so that we can live
[01:38:29.120 --> 01:38:30.680]   based upon God's promise.
[01:38:30.680 --> 01:38:32.600]   And then they turned it
[01:38:32.600 --> 01:38:33.420]   into what it is today.
[01:38:33.420 --> 01:38:34.620]   So when you see a rainbow today,
[01:38:34.620 --> 01:38:35.760]   what does it remind you of?
[01:38:35.760 --> 01:38:37.780]   Obviously.
[01:38:37.780 --> 01:38:38.640]   Right?
[01:38:38.640 --> 01:38:39.520]   Yeah,
[01:38:39.520 --> 01:38:40.340]   the gay community,
[01:38:40.340 --> 01:38:40.620]   they,
[01:38:40.620 --> 01:38:41.800]   they perverted that.
[01:38:41.800 --> 01:38:42.440]   Now,
[01:38:42.440 --> 01:38:44.420]   as sick as that is,
[01:38:44.420 --> 01:38:46.820]   that's basically,
[01:38:46.820 --> 01:38:48.940]   that's basically a sign of mankind.
[01:38:48.940 --> 01:38:50.900]   That every good gift
[01:38:50.900 --> 01:38:51.640]   that God has given,
[01:38:51.640 --> 01:38:52.580]   mankind spit,
[01:38:52.580 --> 01:38:53.300]   spit on it.
[01:38:53.300 --> 01:38:54.860]   He didn't just disobey.
[01:38:54.860 --> 01:38:57.880]   Mankind turned it into something,
[01:38:57.880 --> 01:38:59.000]   right?
[01:38:59.000 --> 01:38:59.940]   So perverted.
[01:38:59.940 --> 01:39:01.220]   Right?
[01:39:01.220 --> 01:39:02.440]   But it's not just a rainbow.
[01:39:02.440 --> 01:39:04.640]   We pervert marriage.
[01:39:04.640 --> 01:39:05.640]   We pervert sex.
[01:39:05.640 --> 01:39:06.780]   We pervert leadership.
[01:39:06.780 --> 01:39:08.040]   Right?
[01:39:08.040 --> 01:39:09.520]   We pervert masculinity.
[01:39:09.520 --> 01:39:10.980]   We pervert femininity.
[01:39:10.980 --> 01:39:12.440]   We pervert work.
[01:39:12.440 --> 01:39:14.600]   Every good thing God gives us
[01:39:14.600 --> 01:39:15.680]   to remind us of him,
[01:39:15.680 --> 01:39:18.020]   mankind not only rebels against it,
[01:39:18.020 --> 01:39:18.860]   but perverts it.
[01:39:18.860 --> 01:39:19.700]   Right?
[01:39:19.700 --> 01:39:23.020]   There's other covenant symbols
[01:39:23.020 --> 01:39:23.740]   that God has given us.
[01:39:23.740 --> 01:39:25.200]   Circumcision as a covenant symbol
[01:39:25.200 --> 01:39:26.240]   of Abraham and Israel.
[01:39:26.240 --> 01:39:27.340]   Right?
[01:39:27.380 --> 01:39:29.620]   Every time that they circumsigned
[01:39:29.620 --> 01:39:30.200]   the child,
[01:39:30.200 --> 01:39:32.040]   it was an act of dedication
[01:39:32.040 --> 01:39:33.820]   that this child belongs to God,
[01:39:33.820 --> 01:39:34.600]   part of Israel.
[01:39:34.600 --> 01:39:35.840]   The Sabbath,
[01:39:35.840 --> 01:39:38.220]   every time they observed Sabbath,
[01:39:38.220 --> 01:39:39.540]   was to get alongside them
[01:39:39.540 --> 01:39:40.220]   and to remember,
[01:39:40.220 --> 01:39:41.180]   remind themselves
[01:39:41.180 --> 01:39:42.360]   of the covenant relationship.
[01:39:42.360 --> 01:39:43.680]   And the reason why
[01:39:43.680 --> 01:39:44.980]   they had to constantly
[01:39:44.980 --> 01:39:45.700]   remind themselves
[01:39:45.700 --> 01:39:46.700]   of the covenant relationship
[01:39:46.700 --> 01:39:47.880]   is because they were
[01:39:47.880 --> 01:39:49.840]   constantly living in danger.
[01:39:49.840 --> 01:39:50.240]   Right?
[01:39:50.240 --> 01:39:52.780]   it was a reminder to them
[01:39:52.780 --> 01:39:53.760]   that God is with them.
[01:39:53.760 --> 01:39:55.560]   And that's what the covenant symbol
[01:39:55.560 --> 01:39:56.020]   was for.
[01:39:56.020 --> 01:39:57.780]   So we go to the New Testament.
[01:39:57.780 --> 01:39:59.320]   Baptism is a covenant symbol
[01:39:59.320 --> 01:40:00.660]   of our union with Christ.
[01:40:00.660 --> 01:40:03.800]   So when we get baptized,
[01:40:03.800 --> 01:40:05.100]   we are dead in Christ.
[01:40:05.100 --> 01:40:06.520]   We arise with Christ.
[01:40:06.520 --> 01:40:08.200]   And so everything that happens
[01:40:08.200 --> 01:40:08.860]   in life now
[01:40:08.860 --> 01:40:09.800]   is because we're united
[01:40:09.800 --> 01:40:10.440]   with Christ.
[01:40:11.280 --> 01:40:13.260]   So if you are a child with God
[01:40:13.260 --> 01:40:14.540]   who is united with Christ,
[01:40:14.540 --> 01:40:16.080]   everything that happens to you
[01:40:16.080 --> 01:40:18.500]   happens in the context
[01:40:18.500 --> 01:40:20.780]   of Christ in the middle.
[01:40:20.780 --> 01:40:21.880]   Right?
[01:40:21.880 --> 01:40:23.880]   So if you really think about
[01:40:23.880 --> 01:40:25.260]   what that covenant symbol
[01:40:25.260 --> 01:40:26.040]   is for a Christian,
[01:40:26.040 --> 01:40:27.400]   is that,
[01:40:27.400 --> 01:40:28.760]   and I mentioned,
[01:40:28.760 --> 01:40:29.980]   I don't know if I mentioned it here,
[01:40:29.980 --> 01:40:31.520]   but just like the disciples,
[01:40:31.520 --> 01:40:32.680]   when they're on that boat
[01:40:32.680 --> 01:40:33.920]   and they think it's going to sink.
[01:40:33.920 --> 01:40:35.140]   Right?
[01:40:35.700 --> 01:40:37.020]   They think it's going to sink.
[01:40:37.020 --> 01:40:39.120]   But Jesus is on that boat.
[01:40:39.120 --> 01:40:40.780]   And so they say,
[01:40:40.780 --> 01:40:41.240]   we're going to die,
[01:40:41.240 --> 01:40:41.600]   we're going to die.
[01:40:41.600 --> 01:40:42.280]   Jesus wakes up,
[01:40:42.280 --> 01:40:43.080]   remember what he says?
[01:40:43.080 --> 01:40:44.340]   You of little faith.
[01:40:44.340 --> 01:40:45.440]   Right?
[01:40:45.440 --> 01:40:47.160]   Why are you afraid
[01:40:47.160 --> 01:40:48.120]   when I am with you?
[01:40:48.120 --> 01:40:49.400]   Right?
[01:40:49.400 --> 01:40:50.400]   So no matter what happens
[01:40:50.400 --> 01:40:51.020]   in this life,
[01:40:51.020 --> 01:40:52.300]   the covenant symbol
[01:40:52.300 --> 01:40:53.320]   that God has given us
[01:40:53.320 --> 01:40:54.400]   is a reminder to us
[01:40:54.400 --> 01:40:56.180]   that whatever happens
[01:40:56.180 --> 01:40:56.740]   in your life,
[01:40:56.740 --> 01:40:57.760]   Christ is in the middle.
[01:40:57.760 --> 01:40:59.720]   So that covenant symbol
[01:40:59.720 --> 01:41:01.340]   is to give us peace,
[01:41:01.340 --> 01:41:05.280]   to remind us
[01:41:05.280 --> 01:41:06.160]   of God's promise.
[01:41:06.160 --> 01:41:08.780]   It reveals God's nature
[01:41:08.780 --> 01:41:10.720]   and it gives us
[01:41:10.720 --> 01:41:11.620]   eternal security
[01:41:11.620 --> 01:41:12.580]   in Christ.
[01:41:12.580 --> 01:41:13.200]   Right?
[01:41:13.200 --> 01:41:15.740]   So Hebrews 6, 17, 19,
[01:41:15.740 --> 01:41:16.400]   in the same way,
[01:41:16.400 --> 01:41:17.560]   God desiring even more
[01:41:17.560 --> 01:41:18.100]   to show
[01:41:18.100 --> 01:41:19.940]   to the heirs of the promise
[01:41:19.940 --> 01:41:20.940]   the unchangeableness
[01:41:20.940 --> 01:41:22.000]   of his purpose
[01:41:22.000 --> 01:41:23.120]   interposed with an oath
[01:41:23.120 --> 01:41:24.340]   so that by two
[01:41:24.340 --> 01:41:25.080]   unchangeable things
[01:41:25.080 --> 01:41:26.060]   in which it is impossible
[01:41:26.060 --> 01:41:27.140]   for God to lie,
[01:41:27.140 --> 01:41:29.460]   we who have taken refuge
[01:41:29.460 --> 01:41:30.560]   would have strong encouragement
[01:41:30.560 --> 01:41:31.240]   to take hold
[01:41:31.240 --> 01:41:32.500]   of the hope set before us.
[01:41:32.500 --> 01:41:33.800]   This hope we have
[01:41:33.800 --> 01:41:34.860]   as an anchor of the soul,
[01:41:34.860 --> 01:41:36.240]   a hope both sure
[01:41:36.240 --> 01:41:37.000]   and steadfast
[01:41:37.000 --> 01:41:38.940]   and which enters
[01:41:38.940 --> 01:41:40.500]   within the veil.
[01:41:40.500 --> 01:41:41.540]   So that's what
[01:41:41.540 --> 01:41:42.320]   the covenant symbol
[01:41:42.320 --> 01:41:42.820]   was for,
[01:41:42.820 --> 01:41:43.860]   is to fulfill this,
[01:41:43.860 --> 01:41:45.440]   Hebrews 6, 17, 19,
[01:41:45.440 --> 01:41:47.100]   so that we can live
[01:41:47.100 --> 01:41:47.800]   with confidence
[01:41:47.800 --> 01:41:49.120]   that what God promised
[01:41:49.120 --> 01:41:50.420]   he will do.
[01:41:50.420 --> 01:41:53.460]   And that's why he says
[01:41:53.460 --> 01:41:54.220]   the word remember
[01:41:54.220 --> 01:41:54.940]   is so important.
[01:41:54.940 --> 01:41:56.080]   If God said it,
[01:41:56.080 --> 01:41:57.260]   he will fulfill it
[01:41:57.260 --> 01:41:58.520]   and you can bank on it
[01:41:58.520 --> 01:41:59.500]   so that we can anchor
[01:41:59.500 --> 01:42:00.960]   our souls on this.
[01:42:00.960 --> 01:42:01.900]   And the covenant symbol,
[01:42:01.900 --> 01:42:03.620]   symbols are to remind us
