
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:09:21.400 --> 00:09:25.560]   ♪ Hosanna ♪
[00:09:25.560 --> 00:09:29.240]   ♪ Hosanna ♪
[00:09:29.240 --> 00:09:33.360]   ♪ You are the God who saves us ♪
[00:09:33.360 --> 00:09:38.120]   ♪ Worthy of all our praises ♪
[00:09:38.120 --> 00:09:42.400]   ♪ Hosanna ♪
[00:09:42.400 --> 00:09:46.000]   ♪ Hosanna ♪
[00:09:46.000 --> 00:09:50.000]   ♪ Come have your way among us ♪
[00:09:50.000 --> 00:09:55.000]   ♪ We welcome you, Lord Jesus ♪
[00:09:55.000 --> 00:09:57.680]   - Hear the sound.
[00:09:57.680 --> 00:10:02.680]   ♪ Hear the sound of hearts returning to you ♪
[00:10:02.680 --> 00:10:14.040]   ♪ We turn to you ♪
[00:10:14.040 --> 00:10:19.520]   ♪ In your kingdom broken lives are made new ♪
[00:10:25.880 --> 00:10:30.080]   ♪ You make us new ♪
[00:10:30.080 --> 00:10:32.400]   ♪ 'Cause when we see you ♪
[00:10:32.400 --> 00:10:37.400]   ♪ We find strength to face the day ♪
[00:10:37.400 --> 00:10:43.680]   ♪ In your presence all our fears are washed away ♪
[00:10:43.680 --> 00:10:47.680]   ♪ Washed away ♪
[00:10:47.680 --> 00:10:51.840]   ♪ Hosanna ♪
[00:10:51.840 --> 00:10:55.560]   ♪ Hosanna ♪
[00:10:55.560 --> 00:10:59.680]   ♪ You are the God who saves us ♪
[00:10:59.680 --> 00:11:04.480]   ♪ Worthy of all our praises ♪
[00:11:04.480 --> 00:11:08.720]   ♪ Hosanna ♪
[00:11:08.720 --> 00:11:12.360]   ♪ Hosanna ♪
[00:11:12.360 --> 00:11:16.320]   ♪ Come have your way among us ♪
[00:11:16.320 --> 00:11:21.320]   ♪ We welcome you here, Lord Jesus ♪
[00:11:21.320 --> 00:11:22.920]   ♪ 'Cause when we see you ♪
[00:11:22.920 --> 00:11:25.040]   ♪ When we see you ♪
[00:11:25.040 --> 00:11:30.040]   ♪ We find strength to face the day ♪
[00:11:30.040 --> 00:11:36.360]   ♪ In your presence all our fears are washed away ♪
[00:11:36.360 --> 00:11:41.920]   ♪ 'Cause when we see you ♪
[00:11:41.920 --> 00:11:46.920]   ♪ We find strength to face the day ♪
[00:11:46.920 --> 00:11:53.200]   ♪ In your presence all our fears are washed away ♪
[00:11:54.520 --> 00:11:59.320]   ♪ Washed away ♪
[00:11:59.320 --> 00:12:03.480]   ♪ Hosanna ♪
[00:12:03.480 --> 00:12:07.120]   ♪ Hosanna ♪
[00:12:07.120 --> 00:12:11.240]   ♪ You are the God who saves us ♪
[00:12:11.240 --> 00:12:16.080]   ♪ Worthy of all our praises ♪
[00:12:16.080 --> 00:12:20.280]   ♪ Hosanna ♪
[00:12:20.280 --> 00:12:23.960]   ♪ Hosanna ♪
[00:12:23.960 --> 00:12:27.880]   ♪ Come have your way among us ♪
[00:12:27.880 --> 00:12:32.040]   ♪ We welcome you here, Lord Jesus ♪
[00:12:32.040 --> 00:12:42.760]   Today we will be introducing a new song called "He Will Be,"
[00:12:42.760 --> 00:12:46.320]   which is a song about how God has been, how he is,
[00:12:46.320 --> 00:12:49.040]   and how he will continue to be faithful and gracious
[00:12:49.040 --> 00:12:51.120]   in our lives and over all time.
[00:12:52.000 --> 00:12:55.320]   So may we reflect on this truth as we sing the song
[00:12:55.320 --> 00:12:58.400]   and declare that he has been and will be
[00:12:58.400 --> 00:13:00.560]   worthy of all glory, honor, and praise.
[00:13:00.560 --> 00:13:06.760]   ("He Will Be")
[00:13:06.760 --> 00:13:11.760]   the Lord is faithful to his word ♪
[00:13:11.760 --> 00:13:16.760]   ♪ He will be ♪
[00:13:16.760 --> 00:13:21.760]   ♪ He will be ♪
[00:13:21.760 --> 00:13:26.760]   ♪ He will be ♪
[00:13:26.760 --> 00:13:30.840]   ♪ He will be ♪
[00:13:30.840 --> 00:13:35.840]   ♪ God is faithful to his word ♪
[00:13:36.840 --> 00:13:41.840]   ♪ Even when there seems no way ♪
[00:13:41.840 --> 00:13:45.840]   ♪ Though time may pass ♪
[00:13:45.840 --> 00:13:49.840]   ♪ His memory will not fail ♪
[00:13:49.840 --> 00:13:54.840]   ♪ His promises will never fail ♪
[00:13:54.840 --> 00:13:57.840]   ♪ Faithful he has been ♪
[00:13:57.840 --> 00:14:00.840]   ♪ Faithful he will be ♪
[00:14:00.840 --> 00:14:04.840]   ♪ Time and time again ♪
[00:14:04.840 --> 00:14:08.840]   ♪ His word returns complete ♪
[00:14:08.840 --> 00:14:11.840]   ♪ To his truth I cling ♪
[00:14:11.840 --> 00:14:14.840]   ♪ When the night is deep ♪
[00:14:14.840 --> 00:14:18.840]   ♪ Faithful he has been ♪
[00:14:18.840 --> 00:14:21.840]   ♪ Faithful he will be ♪
[00:14:33.840 --> 00:14:38.840]   ♪ God is gracious when I doubt ♪
[00:14:38.840 --> 00:14:45.840]   ♪ He draws near though I retreat ♪
[00:14:45.840 --> 00:14:51.840]   ♪ Though I may wander through the wilderness ♪
[00:14:51.840 --> 00:14:58.840]   ♪ He goes with me and gives me peace ♪
[00:14:58.840 --> 00:15:01.840]   ♪ Fervent he has been ♪
[00:15:01.840 --> 00:15:04.840]   ♪ Gracious he will be ♪
[00:15:04.840 --> 00:15:07.840]   ♪ What I don't deserve ♪
[00:15:07.840 --> 00:15:11.840]   ♪ The Father gives to me ♪
[00:15:11.840 --> 00:15:14.840]   ♪ Where he leads my feet ♪
[00:15:14.840 --> 00:15:18.840]   ♪ I shall not wander near ♪
[00:15:18.840 --> 00:15:21.840]   ♪ Gracious he has been ♪
[00:15:21.840 --> 00:15:24.840]   ♪ Gracious he will be ♪
[00:15:25.840 --> 00:15:28.840]   (upbeat music)
[00:15:28.840 --> 00:15:42.840]   ♪ God is worthy of my song ♪
[00:15:42.840 --> 00:15:48.840]   ♪ Countless are his awesome deeds ♪
[00:15:49.840 --> 00:15:54.840]   ♪ His mighty hand has parted raging seas ♪
[00:15:54.840 --> 00:16:00.840]   ♪ For those he loves he has redeemed ♪
[00:16:00.840 --> 00:16:04.840]   ♪ Worthy he has been ♪
[00:16:04.840 --> 00:16:07.840]   ♪ Worthy he will be ♪
[00:16:07.840 --> 00:16:10.840]   ♪ Crowned in endless praise ♪
[00:16:10.840 --> 00:16:14.840]   ♪ All earth and heaven sing ♪
[00:16:14.840 --> 00:16:19.840]   ♪ Worthy is the Lord who reigns in majesty ♪
[00:16:19.840 --> 00:16:24.840]   ♪ Worthy he has been ♪
[00:16:24.840 --> 00:16:27.840]   ♪ Worthy he will be ♪
[00:16:27.840 --> 00:16:30.840]   (upbeat music)
[00:16:30.840 --> 00:16:41.840]   ♪ He is my provider ♪
[00:16:41.840 --> 00:16:44.840]   ♪ Covenant protector ♪
[00:16:44.840 --> 00:16:49.840]   ♪ All my hope is in the Lord my God ♪
[00:16:49.840 --> 00:16:54.840]   ♪ He is my sustainer ♪
[00:16:54.840 --> 00:16:57.840]   ♪ Merciful redeemer ♪
[00:16:57.840 --> 00:17:02.840]   ♪ All my hope is in the Lord my God ♪
[00:17:02.840 --> 00:17:07.840]   ♪ He is my provider ♪
[00:17:07.840 --> 00:17:11.840]   ♪ Covenant protector ♪
[00:17:11.840 --> 00:17:16.840]   ♪ All my hope is in the Lord my God ♪
[00:17:16.840 --> 00:17:21.840]   ♪ He is my sustainer ♪
[00:17:21.840 --> 00:17:24.840]   ♪ Merciful redeemer ♪
[00:17:24.840 --> 00:17:29.840]   ♪ All my hope is in the Lord my God ♪
[00:17:29.840 --> 00:17:34.840]   ♪ Worthy he has been ♪
[00:17:34.840 --> 00:17:37.840]   ♪ Worthy he will be ♪
[00:17:37.840 --> 00:17:40.840]   ♪ Crowned in endless praise ♪
[00:17:40.840 --> 00:17:44.840]   ♪ All earth and heaven sing ♪
[00:17:44.840 --> 00:17:49.840]   ♪ Worthy is the Lord who reigns in majesty ♪
[00:17:49.840 --> 00:17:54.840]   ♪ Worthy he has been ♪
[00:17:54.840 --> 00:17:57.840]   ♪ Worthy he will be ♪
[00:17:57.840 --> 00:18:00.840]   ♪ Worthy he has been ♪
[00:18:00.840 --> 00:18:04.840]   ♪ Worthy he will be ♪
[00:18:04.840 --> 00:18:07.840]   ♪ Worthy he has been ♪
[00:18:07.840 --> 00:18:10.840]   ♪ Worthy he will be ♪
[00:18:10.840 --> 00:18:14.840]   - Amen, you may be seated.
[00:18:14.840 --> 00:18:17.340]   (bell chimes)
[00:18:17.340 --> 00:18:40.840]   - Hi, my name is Gianna,
[00:18:40.840 --> 00:18:43.840]   and this is my testimony on how I came to know Jesus Christ
[00:18:43.840 --> 00:18:45.840]   as my Lord and Savior.
[00:18:45.840 --> 00:18:47.840]   So I grew up in a Christian household,
[00:18:47.840 --> 00:18:49.840]   and I was taught what it meant to be Christian.
[00:18:49.840 --> 00:18:50.840]   Yet all throughout my life,
[00:18:50.840 --> 00:18:52.840]   or all throughout my childhood, I was afraid.
[00:18:52.840 --> 00:18:54.840]   Though I told myself I believed,
[00:18:54.840 --> 00:18:55.840]   I lacked assurance in my faith
[00:18:55.840 --> 00:18:58.840]   and feared death and hell from a very young age.
[00:18:58.840 --> 00:18:59.840]   As I grew older,
[00:18:59.840 --> 00:19:01.840]   I began to doubt whether or not these things
[00:19:01.840 --> 00:19:03.840]   I was taught as a child were even true.
[00:19:03.840 --> 00:19:04.840]   I learned the ways of the world
[00:19:04.840 --> 00:19:05.840]   and sought out the Bible
[00:19:05.840 --> 00:19:07.840]   as a means of confirming the morals
[00:19:07.840 --> 00:19:09.840]   that the world had taught me.
[00:19:09.840 --> 00:19:10.840]   But I quickly found it impossible
[00:19:10.840 --> 00:19:13.840]   to resolve the differences between the two.
[00:19:13.840 --> 00:19:15.840]   I found myself rejecting God's very existence
[00:19:15.840 --> 00:19:18.840]   in favor of my own wisdom to discern right and wrong.
[00:19:18.840 --> 00:19:21.840]   Looking back, I can see how hardened my heart was,
[00:19:21.840 --> 00:19:22.840]   how foolish and prideful I was
[00:19:22.840 --> 00:19:25.840]   to reject the very existence of the creator of the universe
[00:19:25.840 --> 00:19:29.840]   simply because I believed myself to be more wise than he.
[00:19:29.840 --> 00:19:31.840]   Yet there was another part of me that fearfully persisted.
[00:19:31.840 --> 00:19:33.840]   What if Christianity really was true,
[00:19:33.840 --> 00:19:34.840]   and I end up in hell?
[00:19:34.840 --> 00:19:36.840]   I thought, maybe I can just believe,
[00:19:36.840 --> 00:19:37.840]   just in case it all is true.
[00:19:37.840 --> 00:19:38.840]   Then I'll be spared, right?
[00:19:38.840 --> 00:19:40.840]   But I despaired as I recognized
[00:19:40.840 --> 00:19:42.840]   that I could never truly believe in this way,
[00:19:42.840 --> 00:19:44.840]   and I found myself disappointed and ashamed
[00:19:44.840 --> 00:19:46.840]   at my fear-driven pursuit of religion.
[00:19:46.840 --> 00:19:49.840]   I graduated high school and found myself in college
[00:19:49.840 --> 00:19:51.840]   seeking out a Christian community.
[00:19:51.840 --> 00:19:53.840]   At this point, I knew I didn't believe,
[00:19:53.840 --> 00:19:56.840]   but I wanted so desperately to believe out of fear.
[00:19:56.840 --> 00:19:58.840]   I ended up joining different campus fellowships
[00:19:58.840 --> 00:19:59.840]   and visiting churches,
[00:19:59.840 --> 00:20:01.840]   and it was the first time that I'd met people my age
[00:20:01.840 --> 00:20:04.840]   whose lives so clearly reflected a transformed heart in Christ.
[00:20:04.840 --> 00:20:07.840]   And I began to learn it once again with renewed interest.
[00:20:07.840 --> 00:20:09.840]   It wasn't until the latter half of last year
[00:20:09.840 --> 00:20:10.840]   that I began to reflect upon
[00:20:10.840 --> 00:20:13.840]   how the message of the gospel impacted my life,
[00:20:13.840 --> 00:20:15.840]   as I observed that even though I could acknowledge
[00:20:15.840 --> 00:20:17.840]   the existence of God and his son, Jesus,
[00:20:17.840 --> 00:20:19.840]   my life remained the same.
[00:20:19.840 --> 00:20:21.840]   I couldn't comprehend why the life I lived
[00:20:21.840 --> 00:20:23.840]   was so grossly sinful before a holy God,
[00:20:23.840 --> 00:20:26.840]   and I couldn't understand why Jesus had to die on the cross for me
[00:20:26.840 --> 00:20:28.840]   and why I needed him too.
[00:20:28.840 --> 00:20:29.840]   As I pondered about these things,
[00:20:29.840 --> 00:20:31.840]   I found myself in Philippians 2,
[00:20:31.840 --> 00:20:32.840]   and it was through this that the Lord
[00:20:32.840 --> 00:20:34.840]   began to so graciously open my eyes
[00:20:34.840 --> 00:20:37.840]   to truly understand the message of the gospel.
[00:20:37.840 --> 00:20:39.840]   In it, Paul instructs the Philippians
[00:20:39.840 --> 00:20:41.840]   to follow in the example of Christ's humility,
[00:20:41.840 --> 00:20:44.840]   and through this I realized two things.
[00:20:44.840 --> 00:20:46.840]   One, that Jesus' perfect life was intended
[00:20:46.840 --> 00:20:48.840]   to be an example for us of how we ought to live,
[00:20:48.840 --> 00:20:51.840]   and two, that I fell so incredibly short
[00:20:51.840 --> 00:20:53.840]   of this perfect standard.
[00:20:53.840 --> 00:20:55.840]   I realized how selfish and prideful I was
[00:20:55.840 --> 00:20:57.840]   beside our perfect Savior.
[00:20:57.840 --> 00:20:59.840]   As Paul states in his letters to the Philippians,
[00:20:59.840 --> 00:21:02.840]   Jesus, though existing in the form of God,
[00:21:02.840 --> 00:21:04.840]   did not regard equality with God a thing to be grasped,
[00:21:04.840 --> 00:21:06.840]   but emptied himself and humbled himself
[00:21:06.840 --> 00:21:09.840]   by becoming obedient to the point of death on a cross.
[00:21:09.840 --> 00:21:11.840]   I was in utter awe and despair
[00:21:11.840 --> 00:21:13.840]   as I suddenly became aware of my wretched self.
[00:21:13.840 --> 00:21:15.840]   I found myself grieving over this sin
[00:21:15.840 --> 00:21:17.840]   which so clearly reigned over my life.
[00:21:17.840 --> 00:21:19.840]   How quickly my thoughts and my words
[00:21:19.840 --> 00:21:21.840]   could devolve into bitterness and anger
[00:21:21.840 --> 00:21:23.840]   at a slight disagreement.
[00:21:23.840 --> 00:21:24.840]   How often I would put myself before others
[00:21:24.840 --> 00:21:27.840]   and how selfish my intentions were in the way I lived,
[00:21:27.840 --> 00:21:30.840]   and how purposeless was the life I sought after.
[00:21:30.840 --> 00:21:32.840]   Within this, I quickly realized that
[00:21:32.840 --> 00:21:34.840]   Jesus' example of humility was impossible
[00:21:34.840 --> 00:21:36.840]   to perfectly replicate in my sinful state
[00:21:36.840 --> 00:21:38.840]   and fell into deeper despair.
[00:21:38.840 --> 00:21:40.840]   It was then that I was reminded
[00:21:40.840 --> 00:21:42.840]   of the other part of the gospel,
[00:21:42.840 --> 00:21:44.840]   that Jesus died on the cross not only
[00:21:44.840 --> 00:21:46.840]   to exemplify humility for us,
[00:21:46.840 --> 00:21:48.840]   but to take on the sins of the world,
[00:21:48.840 --> 00:21:50.840]   my sin, and to bear God's wrath, our punishment,
[00:21:50.840 --> 00:21:53.840]   which we deserved, on our behalf.
[00:21:53.840 --> 00:21:55.840]   Romans 5 says, "But God demonstrates
[00:21:55.840 --> 00:21:57.840]   "his own love toward us in that while we were yet sinners,
[00:21:57.840 --> 00:21:59.840]   "Christ died for us, much more than that,
[00:21:59.840 --> 00:22:01.840]   "having now been justified by his blood.
[00:22:01.840 --> 00:22:03.840]   "We shall be saved from the wrath of God through him.
[00:22:03.840 --> 00:22:05.840]   "For if while we were enemies, we were reconciled to God
[00:22:05.840 --> 00:22:07.840]   "through the death of his Son much more,
[00:22:07.840 --> 00:22:11.840]   "having been reconciled, we shall be saved by his life."
[00:22:11.840 --> 00:22:13.840]   Over the course of a couple months,
[00:22:13.840 --> 00:22:15.840]   my knowledge of God's grace and mercy grew,
[00:22:15.840 --> 00:22:17.840]   yet it was only when the Lord drew my heart
[00:22:17.840 --> 00:22:19.840]   into surrender to his all-sufficient grace
[00:22:19.840 --> 00:22:21.840]   and forgiveness that I found peace,
[00:22:21.840 --> 00:22:23.840]   knowing that Christ had already taken the wrath
[00:22:23.840 --> 00:22:25.840]   upon himself so that we would no longer
[00:22:25.840 --> 00:22:27.840]   face the consequence we deserved.
[00:22:27.840 --> 00:22:29.840]   Through this, the Lord showed me the utter perfection
[00:22:29.840 --> 00:22:31.840]   of his plan, that knowing how helpless we were,
[00:22:31.840 --> 00:22:34.840]   he made a way for us to be saved from ourselves.
[00:22:34.840 --> 00:22:36.840]   I look back and realize how gracious
[00:22:36.840 --> 00:22:38.840]   the Lord has been to me, that it would take
[00:22:38.840 --> 00:22:40.840]   18 years of hearing the gospel before my eyes
[00:22:40.840 --> 00:22:42.840]   would be opened and my ears would hear
[00:22:42.840 --> 00:22:44.840]   that my heart would be softened.
[00:22:44.840 --> 00:22:46.840]   This can be nothing more than God's loving kindness,
[00:22:46.840 --> 00:22:49.840]   his grace and mercy upon this great sinner's heart.
[00:22:49.840 --> 00:22:51.840]   I've since continued to grow in my understanding
[00:22:51.840 --> 00:22:54.840]   of God's character and in my love for the Lord.
